,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"8,557","9,693","12,470","12,318","12,625","17,156","14,072","18,351","16,260","16,233","17,552"
Market Cap Growth,-1.21%,13.28%,28.65%,-1.22%,2.49%,35.89%,-17.98%,30.41%,-11.40%,-0.16%,-
Enterprise Value,"8,842","10,005","12,539","12,512","12,707","17,274","14,071","18,109","15,887",-,"17,494"
PE Ratio,16.30,15.29,21.10,11.79,43.99,8.59,11.57,6.23,-33.46,8.81,9.55
PS Ratio,1.73,1.89,2.29,2.15,2.33,2.17,1.87,1.91,2.48,1.62,1.75
PB Ratio,1.30,1.51,1.77,1.49,1.61,1.74,1.30,1.40,1.54,0,1.45
P/FCF Ratio,10.85,11.22,11.83,11.30,12.19,14.78,11.88,12.48,8.27,7.97,8.39
P/OCF Ratio,10.75,11.10,11.72,11.17,12.00,14.53,11.65,12.31,8.21,7.91,8.33
EV/Sales Ratio,1.79,1.95,2.30,2.18,2.35,2.18,1.87,1.88,2.42,-,1.75
EV/EBITDA Ratio,10.72,10.15,13.73,14.93,34.62,6.81,8.96,4.83,-30.97,-,7.41
EV/EBIT Ratio,11.41,10.70,14.56,15.84,40.73,6.99,9.39,4.93,-26.22,-,7.85
EV/FCF Ratio,11.21,11.58,11.90,11.48,12.27,14.88,11.88,12.31,8.08,-,8.36
Debt / Equity Ratio,0.13,0.13,0.12,0.10,0.11,0.09,0.08,0.07,0.08,0,0.07
Debt / EBITDA Ratio,1.14,0.89,0.94,1.01,2.32,0.34,0.56,0.24,-1.75,0.39,0.36
Debt / FCF Ratio,1.19,1.01,0.81,0.78,0.82,0.75,0.75,0.61,0.46,0.44,0.41
Quick Ratio,0.25,0.24,0.25,0.23,0.24,93.85,71.76,80.24,98.60,0,0
Current Ratio,0.05,0.05,0.06,0.05,0.06,86.26,65.31,74.15,89.56,0,0
Asset Turnover,0.26,0.27,0.27,0.26,0.25,0.31,0.27,0.31,0.22,0,0.32
Interest Coverage,14.60,17.62,16.32,14.77,5.74,46.47,27.57,69.06,-12.08,42.15,106.43
Return on Equity (ROE),8.65%,9.65%,9.20%,14.80%,3.48%,25.49%,12.33%,27.31%,-3.71%,17.50%,15.23%
Return on Assets (ROA),2.97%,3.38%,3.13%,5.13%,1.31%,9.10%,4.79%,10.70%,-1.55%,6.20%,5.62%
Return on Capital (ROIC),8.04%,9.02%,8.64%,14.18%,3.82%,22.87%,11.24%,25.14%,-4.57%,16.14%,14.31%
Earnings Yield,6.14%,6.54%,4.74%,8.48%,2.27%,11.64%,8.64%,16.05%,-2.99%,11.35%,10.50%
FCF Yield,10.10%,10.87%,8.74%,8.41%,9.20%,6.90%,10.45%,10.71%,12.53%,-,11.92%
Dividend Yield,3.25%,3.78%,2.45%,3.25%,2.66%,2.07%,2.66%,2.15%,2.60%,-,2.90%
Payout Ratio,52.95%,57.73%,51.78%,38.28%,117.07%,17.78%,30.84%,13.41%,-87.04%,-,27.67%
Buyback Yield / Dilution,0.37%,-0.30%,-0.54%,0.30%,0.90%,-0.36%,1.64%,-0.18%,2.40%,1.20%,0.82%
Total Shareholder Return,3.61%,3.47%,1.91%,3.55%,3.57%,1.70%,4.30%,1.97%,5.00%,1.20%,3.72%
