,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,"37,823","44,225","47,195","44,251","49,447","47,626","51,950","64,472","76,989","88,485","91,056","98,874","103,974","99,088","121,826","134,483","121,892","127,012","112,299","204,543","231,175","274,410","284,408","342,410","305,755","221,568","134,733","80,878","99,538","81,193","85,916","74,452","64,191","66,209","63,383"
Market Cap Growth,-,-,-,-,-,-,-,30.73%,7.69%,10.08%,45.69%,55.70%,85.79%,75.28%,53.36%,35.05%,11.98%,33.79%,36.01%,17.23%,28.18%,-7.82%,52.10%,89.66%,116.05%,153.26%,67.40%,32.26%,-19.26%,-52.63%,-76.38%,-67.45%,-63.36%,-36.23%,-7.95%,-35.51%,-18.46%,-
Enterprise Value,"-4,723",-,"-7,560","29,922","36,630","38,204","34,787","39,544","37,303","42,541","54,629","65,747","76,078","79,634","87,236","94,275","89,445","113,120","125,401","112,917","117,244","106,368","197,294","223,357","267,497","277,533","335,677","296,699","215,271","129,767","76,021","92,928","73,311","78,242","67,649","56,053","55,829","53,003"
PE Ratio,-,-,-,32.98,36.01,35.27,32.63,35.88,33.99,36.59,42.75,49.20,49.30,47.38,48.54,49.68,48.17,55.05,53.58,48.07,51.65,59.86,79.19,73.58,65.31,54.54,70.32,61.96,53.15,37.62,39.34,43.30,33.57,31.76,18.27,17.05,15.59,15.40
PS Ratio,-,-,-,4.26,4.78,4.89,4.42,4.75,4.39,4.61,5.48,6.24,6.76,6.60,6.81,6.95,6.41,7.67,8.23,7.16,7.15,6.15,10.64,11.39,12.79,12.44,14.36,12.45,8.73,5.22,3.07,3.68,2.95,3.06,2.61,2.20,2.22,2.13
PB Ratio,-,-,-,2.86,3.21,3.47,3.20,3.48,3.24,3.55,4.30,4.99,5.53,6.22,6.58,6.88,6.44,8.04,8.33,7.40,7.52,7.03,11.60,12.51,13.71,14.63,16.38,13.84,10.20,6.54,4.09,4.91,4.01,4.33,3.79,3.25,3.15,3.01
P/FCF Ratio,-,-,-,21.08,23.91,22.42,20.13,21.67,19.13,20.89,23.54,25.99,47.47,124.05,-540.29,30.38,21.26,20.32,18.68,33.00,37.53,28.73,45.92,50.40,50.14,50.11,66.41,56.93,45.27,30.72,18.37,21.23,15.88,16.90,20.14,19.89,15.52,14.86
P/OCF Ratio,-,-,-,15.44,17.37,17.22,15.73,16.69,15.08,16.38,18.98,21.38,34.96,63.63,183.78,24.74,18.08,17.77,16.81,27.53,31.20,25.15,40.40,43.77,44.12,43.38,56.22,48.62,38.22,25.63,15.55,18.29,13.97,14.90,17.25,16.80,13.67,13.09
Debt / Equity Ratio,0.13,-,-,-,-,-,-,-,-,-,-,-,0.06,0.20,0.13,0.13,0.13,0.13,0.15,0.30,0.29,0.50,0.51,0.48,0.45,0.46,0.43,0.36,0.37,0.40,0.52,0.51,0.51,0.53,0.54,0.54,0.46,0.46
Quick Ratio,1.29,-,1.52,1.52,1.47,1.49,1.49,1.50,1.48,1.42,1.41,1.39,1.40,1.32,1.33,1.24,1.24,1.18,1.19,1.40,1.40,1.35,1.35,1.36,1.30,1.26,1.26,1.27,1.19,1.16,1.18,1.22,1.23,1.24,1.24,1.25,1.24,1.24
Current Ratio,1.32,-,1.57,1.57,1.52,1.53,1.54,1.55,1.53,1.47,1.45,1.42,1.43,1.35,1.38,1.28,1.27,1.22,1.22,1.43,1.43,1.39,1.38,1.38,1.33,1.29,1.29,1.30,1.22,1.19,1.23,1.27,1.28,1.29,1.30,1.30,1.29,1.29
Return on Capital (ROIC),,3.07%,-,8.46%,8.56%,8.76%,9.57%,9.50%,9.45%,9.26%,9.49%,9.79%,9.80%,10.21%,10.51%,11.48%,11.67%,10.94%,10.99%,10.77%,10.59%,10.24%,7.86%,7.81%,8.32%,9.05%,13.40%,13.33%,13.58%,14.98%,12.92%,-8.60%,-8.55%,-9.02%,-8.58%,11.95%,11.94%,12.84%
Buyback Yield / Dilution,-,-,-,-0.25%,-0.90%,-0.08%,0.74%,1.06%,1.38%,0.73%,0.66%,-0.74%,-0.99%,-0.08%,1.07%,1.96%,2.93%,2.38%,1.25%,0.92%,0.50%,0.25%,0.25%,-0.17%,-0.17%,-0.42%,-0.17%,0.25%,0.59%,1.51%,2.36%,2.53%,3.38%,3.24%,3.80%,5.10%,5.25%,4.40%
Total Shareholder Return,-,-,-,-0.25%,-0.90%,-0.08%,0.74%,1.06%,1.38%,0.73%,0.66%,-0.74%,-0.99%,-0.08%,1.07%,1.96%,2.93%,2.38%,1.25%,0.92%,0.50%,0.25%,0.25%,-0.17%,-0.17%,-0.42%,-0.17%,0.25%,0.59%,1.51%,2.36%,2.53%,3.38%,3.24%,3.80%,5.10%,5.25%,4.40%
