,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,-,"1,983","1,975","2,193","2,137","2,297","2,258","2,556","2,544","2,650","2,667","2,981","2,975","3,136","3,239","3,744","3,685","3,857","3,683","4,226","4,128","4,305","4,378","4,961","4,618","5,261","5,459","6,116","6,033","6,238","6,182","6,918","6,483","6,806","6,846","7,383","7,040","7,287","7,418","8,026"
Revenue Growth (YoY),-,-,-,-,-,15.83%,14.33%,16.55%,19.05%,15.37%,18.11%,16.63%,16.94%,18.34%,21.45%,25.60%,23.87%,22.99%,13.71%,12.87%,12.02%,11.62%,18.87%,17.39%,11.87%,22.21%,24.69%,23.28%,30.64%,18.57%,13.24%,13.11%,7.46%,9.11%,10.74%,6.72%,8.59%,7.07%,8.36%,8.71%
Cost of Revenue,-,932,974,"1,003","1,002","1,097","1,136","1,294","1,303","1,383","1,426","1,589","1,604","1,707","1,811","1,573","1,922","2,034","2,011","2,295","2,278","2,344","2,431","2,732","2,729","2,706","2,815","3,203","3,066","3,214","3,336","3,834","3,720","4,028","3,864","4,253","4,213","4,431","4,523","4,819"
Gross Profit,-,"1,051","1,001","1,190","1,135","1,200","1,122","1,262","1,241","1,267","1,241","1,392","1,371","1,429","1,428","2,171","1,763","1,823","1,672","1,931","1,850","1,961","1,947","2,229","1,889","2,555","2,644","2,913","2,967","3,024","2,846","3,084","2,763","2,778","2,982","3,130","2,827","2,856","2,895","3,207"
"Selling, General & Admin",-,375,368,614,439,449,442,480,464,511,494,528,503,566,571,760,628,694,702,831,748,775,717,872,857,926,974,"1,174","1,126","1,150","1,047","1,236","1,201","1,109","1,007","1,039",943,956,949,"1,020"
Research & Development,-,221,232,96,185,202,197,208,195,209,215,215,214,232,240,"1,054",448,441,452,490,511,483,533,558,605,631,674,732,741,746,755,796,815,815,801,822,721,743,739,770
Other Operating Expenses,0,125,129,132,189,151,153,163,175,176,184,189,223,201,194,-486,153,116,28,12,73,-2,0,0,29,47,19,44,58,1,1,2,36,90,56,25,164,24,39,-311
Operating Expenses,-,721,729,842,813,802,792,851,834,896,893,932,940,999,"1,005","1,328","1,229","1,251","1,182","1,333","1,332","1,256","1,250","1,430","1,491","1,604","1,667","1,950","1,925","1,897","1,803","2,034","2,052","2,014","1,864","1,886","1,828","1,723","1,727","1,479"
Operating Income,-,330,272,348,322,398,330,411,407,371,348,460,431,430,423,843,534,572,490,598,518,705,697,799,398,951,977,963,"1,042","1,127","1,043","1,050",711,764,"1,118","1,244",999,"1,133","1,168","1,728"
Other Expense / Income,-,4,-4,1,1,-1,-20,-7,-15,-9,-12,-9,-7,-17,-28,-21,-14,-37,-43,-88,-199,-238,213,-55,135,-848,-167,-896,170,-229,-122,344,82,715,-460,134,-75,-170,-73,-65
Pretax Income,-,326,276,347,321,399,350,418,422,380,360,469,438,447,451,864,548,609,533,686,717,943,484,854,263,"1,799","1,144","1,859",872,"1,356","1,165",706,629,49,"1,578","1,110","1,074","1,303","1,241","1,793"
Income Tax,-,45,42,61,66,94,49,51,57,57,37,79,54,36,71,244,37,83,97,102,50,120,22,347,179,269,123,292,-225,172,78,-95,120,390,248,189,279,274,221,391
Net Income,-,281,234,286,255,305,301,367,365,323,323,390,384,411,380,620,511,526,436,584,667,823,462,507,84,"1,530","1,021","1,567","1,097","1,184","1,087",801,509,-341,"1,330",921,795,"1,029","1,020","1,402"
Net Income Growth,-,-,-,-,-,8.54%,28.63%,28.32%,43.14%,5.90%,7.31%,6.27%,5.21%,27.24%,17.65%,58.97%,33.07%,27.98%,14.74%,-5.81%,30.53%,56.46%,5.96%,-13.18%,-87.41%,85.91%,121.00%,209.07%,1205.95%,-22.61%,6.46%,-48.88%,-53.60%,-,22.36%,14.98%,56.19%,-,-23.31%,52.23%
Shares Outstanding (Basic),"1,218","1,218","1,218","1,218","1,218","1,218","1,221","1,225","1,216","1,210","1,207","1,207","1,203","1,202","1,202","1,203","1,192","1,187","1,181","1,175","1,171","1,175","1,175","1,174","1,173","1,173","1,172","1,173","1,173","1,174","1,174","1,174","1,163","1,158","1,154","1,139","1,129","1,111","1,094","1,079"
Shares Outstanding (Diluted),-,"1,224","1,224","1,224","1,224","1,224","1,227","1,235","1,225","1,215","1,214","1,218","1,216","1,215","1,223","1,230","1,217","1,202","1,199","1,194","1,188","1,187","1,188","1,188","1,185","1,184","1,190","1,190","1,190","1,186","1,187","1,183","1,172","1,158","1,157","1,143","1,134","1,114","1,098","1,083"
Shares Change,-,-,-,-,0.49%,-,0.25%,0.90%,0.08%,-0.74%,-1.06%,-1.38%,-0.73%,-,0.74%,0.99%,0.08%,-1.07%,-1.96%,-2.93%,-2.38%,-1.25%,-0.92%,-0.50%,-0.25%,-0.25%,0.17%,0.17%,0.42%,0.17%,-0.25%,-0.59%,-1.51%,-2.36%,-2.53%,-3.38%,-3.24%,-3.80%,-5.10%,-5.25%
EPS (Basic),-,0.23,0.19,0.23,0.21,0.25,0.25,0.29,0.30,0.27,0.27,0.33,0.32,0.34,0.32,0.51,0.43,0.44,0.37,0.50,0.57,0.70,0.39,0.43,0.07,1.30,0.87,1.33,0.94,1.01,0.93,0.68,0.44,-0.29,1.15,0.81,0.70,0.93,0.93,1.29
EPS (Diluted),-,0.23,0.19,0.23,0.21,0.25,0.25,0.30,0.30,0.27,0.27,0.32,0.32,0.34,0.31,0.51,0.42,0.44,0.36,0.49,0.56,0.69,0.39,0.43,0.07,1.29,0.86,1.32,0.92,1.00,0.92,0.68,0.43,-0.29,1.15,0.80,0.70,0.92,0.93,1.29
