,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,281,234,286,255,305,301,367,365,323,323,390,384,411,380,620,511,526,436,584,667,823,462,507,84,"1,530","1,021","1,567","1,097","1,184","1,087",801,509,-341,"1,330",921,795,"1,029","1,020","1,402"
Depreciation & Amortization,-,129,132,141,150,153,164,174,176,185,189,183,201,194,227,185,180,188,223,230,228,227,227,293,297,298,301,300,316,323,326,328,333,330,326,270,269,270,263
Share-Based Compensation,-,73,75,71,75,86,88,94,80,103,121,145,176,193,219,205,205,213,230,247,223,266,285,283,352,364,377,368,390,300,318,429,312,226,294,345,363,379,388
Other Operating Activities,-281,168,138,77,92,112,109,105,117,190,223,39,133,239,"-1,213","-1,250",-883,"3,833",94,-117,-100,141,-245,761,-407,-369,-533,-7,-584,-197,-225,-49,946,-131,50,-240,"-1,861",-410,561
Operating Cash Flow,-,604,631,544,622,652,728,738,696,801,923,751,921,"1,006",-147,-349,28,"4,670","1,131","1,027","1,174","1,096",774,"1,421","1,772","1,314","1,712","1,758","1,306","1,513","1,220","1,217","1,250","1,755","1,591","1,170",-200,"1,259","2,614"
Operating Cash Flow Growth,-,-,-,-,-,7.95%,15.37%,35.66%,11.90%,22.85%,26.79%,1.76%,32.33%,25.59%,-,-,-96.96%,364.21%,-,-,4092.86%,-76.53%,-31.56%,38.36%,50.94%,19.89%,121.19%,23.72%,-26.30%,15.14%,-28.74%,-30.77%,-4.29%,15.99%,30.41%,-3.86%,-,-28.26%,64.30%
Capital Expenditures,-,-173,-123,-194,-220,-118,-164,-133,-201,-183,-152,-148,-174,-165,-180,-178,-198,-223,-221,-218,-139,-156,-174,-87,-192,-241,-226,-221,-246,-225,-211,-188,-173,-182,-158,-169,-111,-154,-144
Acquisitions,-,0,-363,0,-273,-10,-367,-19,0,0,0,0,0,-323,0,0,-16,"-2,120",12,0,0,0,-70,"-3,612",0,3,0,0,-469,0,"-2,294",0,0,0,0,0,0,0,466
Change in Investments,-,-266,"-1,482",134,"-4,762","-1,193",-476,-15,"-1,335","-1,904",-881,"-1,662","-1,385",695,462,-246,299,"3,826","-1,241","-2,467",-919,-143,"-1,105","1,532","-6,580","-3,029","-2,561","-1,182",-691,715,-518,-325,"-3,124","1,758","1,597",-881,"1,912","1,629","1,061"
Other Investing Activities,-,-,-24,-527,"1,316",-475,-709,492,-270,398,"-1,701",567,-170,-858,"-1,144",429,473,"-1,329","1,554","-2,175",-39,922,941,-387,-758,67,-474,-180,307,-164,230,-239,-613,-203,"-1,478","1,084",-242,"-1,782","-1,917"
Investing Cash Flow,-,-439,"-1,992",-587,"-3,939","-1,796","-1,716",325,"-1,806","-1,689","-2,734","-1,243","-1,729",-651,-862,5,558,154,104,"-4,860","-1,097",623,-408,"-2,554","-7,530","-3,200","-3,261","-1,583","-1,099",326,"-2,793",-752,"-3,910","1,373",-39,34,"1,559",-307,-534
Share Issuance / Repurchase,-,0,0,0,0,36,39,-590,-249,-48,1,-505,-15,-86,-256,"-1,812",-435,-595,-534,-749,67,-346,-245,-799,-130,-369,-200,"-1,321",-113,-349,"-1,428","-1,497",-667,-939,-953,"-1,431","-1,448","-1,434",-562
Debt Issued / Paid,-,26,40,-119,-754,-4,15,-21,0,0,0,0,-6,626,200,"2,075","-1,076",-25,-14,0,500,"2,462",-7,"3,000",966,0,0,0,0,0,-89,182,"1,420",58,129,67,-289,109,588
Other Financing Activities,-,-11,"1,272",358,"4,261",446,450,724,793,286,"1,142",451,"1,063",899,"1,713",530,176,"1,669","-1,199","2,251",429,-777,602,109,"6,078","1,275","2,524","2,148",-84,-467,"1,146",646,902,"-2,090","1,606","-1,298","-1,655","1,386","2,974"
Financing Cash Flow,-,15,"1,312",239,"3,507",478,504,113,544,238,"1,143",-54,"1,042","1,439","1,657",793,"-1,335","1,049","-1,747","1,502",996,"1,339",350,"2,310","6,914",906,"2,324",827,-197,-816,-371,-669,"1,655","-2,971",782,"-2,662","-3,392",61,"3,000"
Exchange Rate Effect,-,-17,-9,-32,7,-16,-3,14,1,1,-16,11,12,12,1,-7,-56,-26,-24,1,-2,-48,43,-178,106,98,143,-42,8,-72,4,18,-154,-117,98,-4,-46,-45,171
Net Cash Flow,-,163,-58,164,197,-682,-487,"1,190",-565,-649,-684,-535,246,"1,806",649,442,-805,"5,847",-536,"-2,330","1,071","3,010",759,999,"1,262",-882,918,960,18,951,"-1,940",-186,"-1,159",40,"2,432","-1,462","-2,079",968,"5,251"
Free Cash Flow,-,431,508,350,402,534,564,605,495,618,771,603,747,841,-327,-527,-170,"4,447",910,809,"1,035",940,600,"1,334","1,580","1,073","1,486","1,537","1,060","1,288","1,009","1,029","1,077","1,573","1,433","1,001",-311,"1,105","2,470"
Free Cash Flow Growth,-,-,-,-,-,23.90%,11.02%,72.86%,23.13%,15.73%,36.70%,-0.33%,50.91%,36.08%,-,-,-,428.78%,-,-,-,-78.86%,-34.07%,64.89%,52.66%,14.15%,147.67%,15.22%,-32.91%,20.04%,-32.10%,-33.05%,1.60%,22.13%,42.02%,-2.72%,-,-29.75%,72.37%
Free Cash Flow Margin,-,21.82%,23.16%,16.38%,17.50%,23.65%,22.07%,23.78%,18.68%,23.17%,25.86%,20.27%,23.82%,25.96%,-8.73%,-14.30%,-4.41%,120.74%,21.53%,19.60%,24.04%,21.47%,12.09%,28.89%,30.03%,19.66%,24.30%,25.48%,16.99%,20.83%,14.59%,15.87%,15.82%,22.98%,19.41%,14.22%,-4.27%,14.90%,30.77%
Free Cash Flow Per Share,-,0.35,0.42,0.29,0.33,0.44,0.46,0.50,0.41,0.51,0.64,0.50,0.62,0.70,-0.27,-0.44,-0.14,3.77,0.77,0.69,0.88,0.80,0.51,1.14,1.35,0.92,1.27,1.31,0.90,1.10,0.86,0.89,0.93,1.36,1.26,0.89,-0.28,1.01,2.29
