,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"33,331","29,132","46,758","42,641","23,285","21,480","16,708","20,471","35,732","32,356","31,430"
Market Cap Growth,-22.57%,-12.60%,60.51%,-8.81%,-45.39%,-7.75%,-22.22%,22.53%,74.54%,-9.45%,-
Enterprise Value,"38,819","34,401","55,133","51,246","31,589","30,572","24,981","27,639","42,329","38,901","37,975"
PE Ratio,9.52,-43.42,-8.11,-92.10,14.06,-18.99,-5.67,14.05,22.73,12.27,12.09
PS Ratio,1.01,1.23,2.94,2.07,0.97,0.96,1.16,1.34,1.76,1.41,1.37
PB Ratio,2.05,1.88,4.97,5.12,2.44,2.68,3.36,3.05,4.50,3.45,3.35
P/FCF Ratio,29.84,32.73,-20.52,34.03,17.26,19.44,11.61,14.06,24.97,14.23,13.82
P/OCF Ratio,8.21,10.02,-27.46,17.28,7.38,8.79,8.88,10.71,15.94,9.36,9.09
EV/Sales Ratio,1.18,1.46,3.47,2.49,1.32,1.36,1.73,1.81,2.09,1.69,1.65
EV/EBITDA Ratio,5.33,25.73,-10.06,18.19,7.95,28.57,-15.05,10.37,12.13,8.22,8.03
EV/EBIT Ratio,7.53,-69.08,-7.90,40.64,13.35,-55.08,-9.19,15.70,16.60,10.42,10.17
EV/FCF Ratio,34.75,38.65,-24.19,40.90,23.42,27.67,17.36,18.98,29.58,17.11,16.70
Debt / Equity Ratio,0.48,0.99,1.32,1.31,1.08,1.42,2.18,1.52,1.13,0.94,0.94
Debt / EBITDA Ratio,1.07,11.48,-2.26,3.88,2.60,10.62,-6.53,3.83,2.56,1.86,1.86
Debt / FCF Ratio,6.96,17.24,-5.43,8.73,7.64,10.28,7.53,7.01,6.25,3.87,3.87
Quick Ratio,1.68,2.88,1.97,1.52,1.51,1.40,1.27,1.56,1.30,1.27,1.27
Current Ratio,2.50,3.76,2.90,2.22,2.32,2.30,2.14,2.31,2.05,2.06,2.06
Asset Turnover,1.07,0.74,0.55,0.82,0.94,0.85,0.67,0.72,0.90,0.95,0.95
Interest Coverage,13.47,-1.11,-10.93,2.13,4.27,-0.98,-5.38,3.39,5.51,9.45,9.45
Return on Equity (ROE),23.30%,-4.30%,-55.10%,-5.20%,18.60%,-12.30%,-53.10%,25.40%,21.20%,29.60%,29.60%
Return on Assets (ROA),11.30%,-2.10%,-20.00%,-1.80%,6.50%,-4.30%,-13.70%,6.90%,7.00%,10.90%,10.90%
Return on Capital (ROIC),15.54%,-0.54%,-31.07%,-4.94%,11.36%,-2.31%,-15.41%,12.49%,12.07%,17.72%,17.72%
Earnings Yield,10.50%,-2.30%,-12.33%,-1.09%,7.11%,-5.27%,-17.63%,7.12%,4.40%,8.15%,8.39%
FCF Yield,3.35%,3.06%,-4.87%,2.94%,5.79%,5.14%,8.61%,7.11%,4.00%,7.03%,7.24%
Dividend Yield,1.60%,2.10%,1.30%,1.50%,2.70%,2.90%,1.70%,0.80%,1.20%,1.80%,1.93%
Payout Ratio,15.30%,-91.10%,-10.80%,-135.80%,38.10%,-55.80%,-9.40%,11.00%,27.60%,21.80%,23.29%
Buyback Yield / Dilution,5.54%,-0.12%,-0.94%,-1.05%,-0.80%,0.23%,-0.69%,-1.25%,-1.79%,0.66%,0.66%
Total Shareholder Return,7.14%,1.98%,0.36%,0.45%,1.90%,3.13%,1.01%,-0.45%,-0.59%,2.46%,2.59%
