,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"46,242","39,687","43,635","45,007","51,257","39,726","49,506","30,550","31,745","49,192","63,270"
Market Cap Growth,39.16%,-14.18%,9.95%,3.14%,13.89%,-22.50%,24.62%,-38.29%,3.91%,54.96%,-
Enterprise Value,"46,997","43,115","49,448","52,434","58,248","47,867","59,655","43,929","43,046","60,249","79,175"
PE Ratio,12.41,8.33,10.32,28.94,10.04,7.10,16.09,-7.68,24.10,4.46,8.68
PS Ratio,0.27,0.24,0.43,0.53,0.49,0.35,0.45,0.47,0.28,0.28,0.42
PB Ratio,2.11,1.84,1.89,2.01,2.04,1.61,1.99,1.61,1.66,1.67,2.05
P/FCF Ratio,10.89,-162.65,-855.60,378.21,28.23,8.05,52.95,-37.76,7.64,5.71,8.92
P/OCF Ratio,7.67,11.25,7.64,15.19,14.05,5.25,10.30,14.47,5.28,4.55,6.60
EV/Sales Ratio,0.27,0.26,0.49,0.61,0.56,0.42,0.54,0.67,0.37,0.34,0.52
EV/EBITDA Ratio,6.92,5.62,6.70,14.53,11.27,5.30,10.51,-13.19,11.80,3.65,6.20
EV/EBIT Ratio,8.04,6.45,7.85,21.49,15.13,6.24,13.76,-9.30,21.06,4.05,7.33
EV/FCF Ratio,11.06,-176.70,-969.58,440.62,32.07,9.70,63.80,-54.30,10.36,6.99,11.16
Debt / Equity Ratio,0.28,0.40,0.38,0.45,0.40,0.45,0.47,0.84,0.75,0.58,0.63
Debt / EBITDA Ratio,0.91,1.12,1.20,2.81,1.96,1.24,2.07,-4.77,3.96,1.04,1.52
Debt / FCF Ratio,1.45,-35.39,-174.25,85.19,5.57,2.26,12.58,-19.65,3.48,1.99,2.74
Quick Ratio,1.16,1.12,1.10,0.96,1.05,1.03,0.87,0.95,0.83,1.08,0.89
Current Ratio,1.49,1.51,1.63,1.34,1.42,1.48,1.24,1.40,1.15,1.38,1.29
Asset Turnover,3.46,3.28,2.05,1.71,1.99,2.10,1.88,1.21,2.05,2.54,1.99
Interest Coverage,21.25,25.03,20.33,7.22,8.79,15.22,9.47,-9.47,3.52,24.06,12.39
Return on Equity (ROE),17.20%,22.10%,18.70%,6.80%,22.10%,24.20%,12.50%,-19.70%,7.20%,42.50%,25.40%
Return on Assets (ROA),7.40%,9.50%,8.60%,3.10%,9.70%,10.30%,5.30%,-7.30%,2.30%,15.90%,10.00%
Return on Capital (ROIC),13.77%,14.89%,14.17%,5.77%,17.07%,17.31%,10.09%,-12.70%,6.28%,25.27%,17.04%
Earnings Yield,8.06%,12.00%,9.69%,3.46%,9.96%,14.08%,6.21%,-13.01%,4.15%,22.41%,12.07%
FCF Yield,9.19%,-0.61%,-0.12%,0.26%,3.54%,12.42%,1.89%,-2.65%,13.10%,17.52%,11.21%
Dividend Yield,1.70%,2.60%,2.70%,2.80%,2.70%,3.60%,3.10%,5.10%,5.00%,3.70%,2.92%
Payout Ratio,21.90%,22.50%,28.00%,83.30%,27.60%,26.10%,51.50%,-39.70%,121.90%,16.40%,25.35%
Buyback Yield / Dilution,2.79%,7.67%,4.29%,3.09%,2.18%,8.57%,4.25%,3.16%,-0.19%,-7.58%,7.41%
Total Shareholder Return,4.49%,10.27%,6.99%,5.89%,4.88%,12.17%,7.35%,8.26%,4.81%,-3.88%,10.33%
