,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"38,427","37,896","29,389","33,478","44,279","51,556","115,199","138,800","179,068","163,004","209,293"
Market Cap Growth,17.69%,-1.38%,-22.45%,13.91%,32.26%,16.43%,123.45%,20.49%,29.01%,-8.97%,-
Enterprise Value,"47,100","47,028","38,473","42,469","52,662","62,386","126,455","151,200","190,452","175,482","222,739"
PE Ratio,21.90,22.37,19.00,22.32,35.51,11.77,50.42,55.50,46.80,39.31,34.28
PS Ratio,3.22,3.09,2.73,3.18,3.87,3.46,4.08,5.09,5.82,4.89,5.61
PB Ratio,5.81,6.74,6.70,6.67,7.36,1.00,2.35,2.93,4.07,4.07,5.27
P/FCF Ratio,42.84,32.14,25.76,25.60,25.59,28.34,45.97,34.45,26.97,28.64,37.93
P/OCF Ratio,13.17,13.21,10.96,12.07,14.56,13.93,18.62,18.68,18.41,18.39,22.49
EV/Sales Ratio,3.95,3.83,3.57,4.03,4.60,4.19,4.48,5.55,6.18,5.26,5.97
EV/EBITDA Ratio,12.51,12.01,11.23,12.64,14.29,15.24,16.91,18.61,19.41,17.89,18.56
EV/EBIT Ratio,17.73,17.13,16.58,18.98,21.05,27.57,45.15,43.21,36.80,31.30,27.20
EV/FCF Ratio,52.51,39.89,33.72,32.47,30.44,34.30,50.46,37.53,28.69,30.83,40.37
Debt / Equity Ratio,1.33,1.65,2.10,1.90,1.50,0.30,0.28,0.34,0.32,0.45,0.46
Debt / EBITDA Ratio,2.34,2.36,2.69,2.83,2.44,3.74,1.87,1.99,1.45,1.83,1.51
Debt / FCF Ratio,9.82,7.85,8.09,7.27,5.20,8.41,5.57,4.01,2.14,3.15,3.28
Quick Ratio,0.76,0.77,0.92,0.87,0.73,0.72,0.61,0.59,0.55,0.61,0.60
Current Ratio,1.09,1.14,1.39,1.16,0.99,1.33,0.85,0.80,0.74,0.79,0.80
Asset Turnover,0.59,0.62,0.59,0.54,0.56,0.16,0.33,0.31,0.38,0.42,0.47
Interest Coverage,14.75,12.24,14.42,11.78,15.20,25.98,77.18,28.89,64.73,85.22,28.56
Return on Equity (ROE),26.55%,30.13%,35.25%,29.87%,20.72%,8.49%,4.66%,5.29%,8.69%,10.36%,15.61%
Return on Assets (ROA),8.66%,8.55%,8.44%,7.76%,6.10%,4.69%,2.64%,2.83%,4.69%,5.21%,7.67%
Return on Capital (ROIC),12.51%,12.47%,12.21%,11.25%,8.99%,6.57%,3.43%,3.92%,6.44%,6.87%,10.73%
Earnings Yield,4.57%,4.47%,5.26%,4.48%,2.82%,8.50%,1.98%,1.80%,2.14%,2.54%,2.96%
FCF Yield,2.33%,3.11%,3.88%,3.91%,3.91%,3.53%,2.18%,2.90%,3.71%,3.49%,2.64%
Dividend Yield,1.84%,2.00%,2.79%,2.56%,2.03%,2.26%,1.64%,1.46%,1.22%,1.44%,1.18%
Payout Ratio,40.34%,44.81%,52.94%,57.07%,72.25%,26.61%,82.76%,81.09%,57.21%,56.52%,40.51%
Buyback Yield / Dilution,0.95%,1.12%,2.22%,0.45%,-0.47%,-15.57%,-63.16%,2.57%,1.75%,3.42%,1.94%
Total Shareholder Return,2.80%,3.13%,5.00%,3.01%,1.56%,-13.31%,-61.52%,4.03%,2.97%,4.86%,3.12%
