,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"25,689","21,131","26,922","25,551","21,294","31,295","30,869","43,478","34,175","46,695","49,819"
Market Cap Growth,17.26%,-17.74%,27.40%,-5.09%,-16.66%,46.97%,-1.36%,40.85%,-21.40%,36.64%,-
Enterprise Value,"36,547","30,599","32,355","31,483","28,092","39,695","39,064","51,602","42,468","55,824","58,948"
PE Ratio,38.17,15.05,79.65,23.57,27.87,35.52,-43.17,106.04,27.23,40.92,45.63
PS Ratio,2.45,2.96,4.09,3.14,2.39,3.31,7.17,7.51,3.90,4.56,4.87
PB Ratio,5.41,3.53,4.56,15.14,38.65,-64.93,-20.72,-52.96,-31.01,-19.79,-19.79
P/FCF Ratio,26.48,19.68,29.52,35.69,19.43,26.54,50.11,1449.26,21.64,27.48,29.32
P/OCF Ratio,19.65,14.61,20.55,30.10,16.97,22.61,43.60,398.88,20.33,24.00,25.60
EV/Sales Ratio,3.48,4.29,4.92,3.87,3.15,4.20,9.07,8.92,4.84,5.45,5.76
EV/EBITDA Ratio,15.33,14.40,17.01,21.94,15.88,19.86,-245.68,44.95,18.39,24.35,25.71
EV/EBIT Ratio,20.81,21.35,26.33,28.65,19.45,24.01,-79.72,53.75,19.78,26.01,27.47
EV/FCF Ratio,37.68,28.49,35.48,43.97,25.63,33.67,63.42,1720.06,26.90,32.86,34.70
Debt / Equity Ratio,2.46,1.75,1.12,3.91,13.22,-18.73,-7.69,-11.74,-8.69,-4.24,-4.24
Debt / EBITDA Ratio,4.90,4.92,3.48,4.60,4.12,4.52,-72.06,8.39,4.15,4.36,4.36
Debt / FCF Ratio,12.05,9.73,7.25,9.22,6.64,7.66,18.60,321.20,6.07,5.89,5.89
Quick Ratio,0.77,0.76,0.72,0.68,0.62,0.66,1.66,0.85,0.77,0.63,0.63
Current Ratio,1.11,1.06,1.33,0.82,0.76,0.73,1.73,0.95,0.85,0.70,0.70
Asset Turnover,0.40,0.28,0.25,0.57,0.63,0.63,0.26,0.38,0.57,0.67,0.67
Interest Coverage,2.84,3.80,3.68,3.13,3.89,3.99,-1.14,2.42,5.17,4.63,4.63
Return on Equity (ROE),14.20%,26.80%,5.40%,69.40%,89.30%,-568.40%,56.90%,-32.90%,-143.30%,-65.40%,-65.40%
Return on Assets (ROA),2.60%,5.40%,1.30%,7.60%,5.40%,5.90%,-4.30%,2.70%,8.10%,7.50%,7.50%
Return on Capital (ROIC),6.02%,7.28%,2.62%,19.79%,13.02%,13.78%,-4.19%,8.34%,17.90%,19.75%,19.75%
Earnings Yield,2.62%,6.64%,1.26%,4.24%,3.59%,2.82%,-2.32%,0.94%,3.67%,2.44%,2.29%
FCF Yield,3.78%,5.08%,3.39%,2.80%,5.15%,3.77%,2.00%,0.07%,4.62%,3.64%,3.41%
Dividend Yield,0.00%,0.70%,1.00%,0.80%,0.80%,0.50%,0.10%,0.00%,0.40%,0.30%,0.30%
Payout Ratio,0.00%,9.80%,81.60%,18.00%,23.70%,19.50%,-5.80%,0.00%,9.90%,13.80%,13.86%
Buyback Yield / Dilution,-0.00%,-0.29%,-0.24%,3.02%,7.31%,4.86%,1.67%,-0.46%,2.97%,5.18%,5.18%
Total Shareholder Return,-0.00%,0.41%,0.76%,3.82%,8.11%,5.36%,1.77%,-0.46%,3.37%,5.48%,5.49%
