,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"37,021","33,688","42,984","57,163","42,036","57,734","64,532","77,466","67,673","78,814","75,871"
Market Cap Growth,-0.79%,-9.00%,27.59%,32.99%,-26.46%,37.34%,11.77%,20.04%,-12.64%,16.46%,-
Enterprise Value,"40,450","38,020","48,341","62,397","47,912","63,511","70,090","83,626","74,728","85,913","82,970"
PE Ratio,12.57,17.74,21.12,33.88,16.40,22.90,30.60,28.76,22.31,26.65,26.07
PS Ratio,2.56,2.51,3.16,3.99,2.85,4.09,5.13,5.36,4.25,4.89,4.71
PB Ratio,5.43,6.45,10.10,12.47,12.92,19.08,20.29,21.37,21.92,26.17,25.19
P/FCF Ratio,28.86,16.47,21.02,26.98,17.00,21.43,25.00,34.14,34.69,25.39,24.44
P/OCF Ratio,22.91,14.65,18.67,23.80,14.95,19.28,22.99,30.30,28.82,22.27,21.44
EV/Sales Ratio,2.79,2.84,3.55,4.36,3.24,4.50,5.57,5.79,4.69,5.33,5.15
EV/EBITDA Ratio,8.97,11.11,13.37,15.63,11.65,16.14,21.00,21.24,16.77,19.16,18.50
EV/EBIT Ratio,10.10,12.91,15.37,17.68,13.12,18.10,24.09,23.70,18.47,21.01,20.29
EV/FCF Ratio,31.53,18.59,23.64,29.45,19.37,23.58,27.16,36.86,38.30,27.68,26.73
Debt / Equity Ratio,1.09,1.42,1.84,1.82,2.27,2.56,2.55,2.12,2.51,2.71,2.71
Debt / EBITDA Ratio,1.64,2.17,2.17,2.09,1.79,1.97,2.43,1.95,1.74,1.82,1.82
Debt / FCF Ratio,5.78,3.63,3.83,3.93,2.98,2.88,3.15,3.39,3.98,2.63,2.63
Quick Ratio,1.78,2.24,1.75,1.87,1.16,2.06,1.96,1.26,0.87,0.90,0.90
Current Ratio,2.23,2.84,2.22,2.38,1.63,2.90,2.52,1.84,1.41,1.33,1.33
Asset Turnover,0.76,0.84,0.88,0.89,0.96,0.93,0.85,0.92,1.02,1.03,1.03
Interest Coverage,16.02,13.03,13.27,13.58,14.21,15.88,14.13,17.47,19.93,15.37,15.37
Return on Equity (ROE),37.30%,36.90%,42.40%,35.80%,69.60%,82.10%,80.20%,77.50%,92.90%,96.90%,96.90%
Return on Assets (ROA),15.40%,11.80%,13.20%,10.50%,16.60%,16.70%,14.30%,17.10%,19.40%,18.90%,18.90%
Return on Capital (ROIC),15.91%,15.83%,17.70%,13.92%,25.45%,24.19%,19.89%,24.90%,27.58%,27.96%,27.96%
Earnings Yield,7.96%,5.64%,4.73%,2.95%,6.10%,4.37%,3.27%,3.48%,4.48%,3.75%,3.90%
FCF Yield,3.47%,6.07%,4.76%,3.71%,5.88%,4.67%,4.00%,2.93%,2.88%,3.94%,4.09%
Dividend Yield,1.90%,2.20%,2.00%,1.70%,2.80%,2.30%,2.20%,1.90%,2.30%,2.10%,2.21%
Payout Ratio,24.70%,40.10%,41.90%,58.40%,46.50%,53.20%,66.40%,55.20%,51.60%,55.50%,57.49%
Buyback Yield / Dilution,11.92%,7.02%,3.44%,2.39%,3.15%,3.13%,1.52%,0.83%,2.13%,2.05%,2.05%
Total Shareholder Return,13.82%,9.22%,5.44%,4.09%,5.95%,5.43%,3.72%,2.73%,4.43%,4.15%,4.26%
