,2015-05-28,2015-11-29,2016-02-28,2016-05-28,2016-08-28,2016-11-27,2017-02-26,2017-05-28,2017-08-27,2017-11-26,2018-02-25,2018-05-27,2018-08-26,2018-11-25,2019-02-24,2019-05-26,2019-08-25,2019-11-24,2020-02-23,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30,2021-08-29,2021-11-28,2022-02-27,2022-05-29,2022-08-28,2022-11-27,2023-02-26,2023-05-28,2023-08-27,2023-11-26
Net Income,-,73.3,107.4,42.6,79.6,87.2,84.2,75.9,83.4,76.6,156.8,100,107.8,119,141.4,110.4,115.7,140.4,111.4,-1.6,89.3,96.9,66.1,65.5,29.8,32.5,106.6,32,231.9,103.1,175.1,498.8,234.8,215
Depreciation & Amortization,-,-,23.6,24.4,25.5,26.6,27.5,29.5,31,35.6,37.5,39.2,38.6,38.6,40.3,44.9,46,45.7,45.8,44.8,46.9,47.8,47.6,45.5,47.3,47.6,47.5,49.7,49.8,52.2,51.3,69.5,70.1,70.6
Share-Based Compensation,-,-,1.9,-3,2.7,2.5,4.6,-4.1,2.6,3.9,3.6,3.4,4.2,5,4.5,5.1,5.4,7.2,5.6,4.6,6,5.3,6.3,3,5.2,4.4,5.9,5.8,7.6,10,10.4,10.5,9.9,12.3
Other Operating Activities,-,-73.3,-84.7,97.2,7.2,-68.9,-24.6,91.5,26.5,-77.4,-69.9,28.4,77.3,-73.7,-58.6,76.1,71.4,-86.5,-72.4,90.5,108.4,-81.8,-64,63.9,79.5,-38.8,-193.5,157.1,-97.2,-69.4,-189.7,-152.2,19.8,-177.3
Operating Cash Flow,-,-,48.2,161.2,115,47.4,91.7,192.8,143.5,38.7,128,171,227.9,88.9,127.6,236.5,238.5,106.8,90.4,138.3,250.6,68.2,56,177.9,161.8,45.7,-33.5,244.6,192.1,95.9,47.1,426.6,334.6,120.6
Operating Cash Flow Growth,-,-,-,-,-,-,90.25%,19.60%,24.78%,-18.35%,39.59%,-11.31%,58.82%,129.72%,-0.31%,38.30%,4.65%,20.13%,-29.15%,-41.52%,5.07%,-36.14%,-38.05%,28.63%,-35.43%,-32.99%,-,37.49%,18.73%,109.85%,-,74.41%,74.18%,25.76%
Capital Expenditures,-,-,-39.8,-40.9,-58.3,-67.5,-76.7,-84.9,-104.4,-49.6,-50.4,-102.4,-87,-83.4,-73.8,-90,-50.3,-37.8,-39.7,-39.9,-20.6,-21.7,-49.8,-55.1,-78.9,-68.2,-70.7,-72.3,-101.2,-131.7,-196.5,-224.6,-267.3,-240.3
Acquisitions,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-88.6,0,-116.9,-16.9,-5.5,22.6,0,0,0,0,0,0,0,0,-42.3,0,0,-568.1,0,-11.2
Other Investing Activities,-,-,-,-,-,-,-,2.1,-,-1.7,-0.7,2.4,0.2,1.5,-2.8,0.9,-9.5,-8.8,-4.4,-38.9,-12.5,1.5,-3.1,-1.2,0.1,-0.6,-7.9,-12,-23.4,-12.4,-28.2,-12.5,-37.5,-14.5
Investing Cash Flow,-,-,-39.8,-40.9,-58.3,-67.5,-76.7,-82.8,-104.4,-51.3,-51.1,-100,-86.8,-81.9,-165.2,-89.1,-176.7,-63.5,-49.6,-56.2,-33.1,-20.2,-52.9,-56.3,-78.8,-68.8,-78.6,-84.3,-166.9,-144.1,-224.7,-805.2,-304.8,-266
