,2014-05-25,2015-05-28,2015-11-29,2016-02-28,2016-05-28,2016-08-28,2016-11-27,2017-02-26,2017-05-28,2017-08-27,2017-11-26,2018-02-25,2018-05-27,2018-08-26,2018-11-25,2019-02-24,2019-05-26,2019-08-25,2019-11-24,2020-02-23,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30,2021-08-29,2021-11-28,2022-02-27,2022-05-29,2022-08-28,2022-11-27,2023-02-26,2023-05-28,2023-08-27,2023-11-26,Current
Market Capitalization,-,-,-,-,-,-,"4,760","5,781","6,669","6,581","7,959","8,000","9,568","9,809","11,885","10,328","9,088","9,991","12,110","13,855","8,771","9,376","10,711","11,675","12,067","9,584","7,705","9,851","9,821","11,603","12,391","14,384","15,947","14,035","14,378","14,615"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-,67.20%,38.38%,43.46%,49.06%,49.33%,29.10%,-5.02%,1.86%,1.90%,34.16%,-3.49%,-6.16%,-11.56%,-15.74%,37.58%,2.23%,-28.06%,-15.62%,-18.61%,21.06%,60.82%,46.02%,62.38%,20.96%,16.04%,-
Enterprise Value,100,99,-,-,107,-,"7,217","8,257","9,037","8,942","10,369","10,366","11,897","12,035","14,138","12,735","11,402","12,219","14,336","16,078","10,947","11,377","12,698","13,705","14,021","11,525","9,808","12,151","12,024","13,859","14,714","16,928","19,105","17,316","17,902","18,138"
PE Ratio,-,-,-,-,-,-,15.03,19.69,20.40,19.90,24.86,20.37,22.96,22.23,24.58,22.06,18.99,20.54,23.84,28.99,23.97,27.62,36.18,46.57,37.97,37.11,39.74,42.03,48.89,28.79,26.16,26.53,15.81,13.87,12.80,13.13
PS Ratio,-,-,-,-,-,-,1.55,1.86,2.11,2.05,2.45,2.40,2.80,2.79,3.29,2.81,2.42,2.61,3.08,3.51,2.31,2.55,3.02,3.33,3.29,2.53,1.98,2.49,2.40,2.74,2.75,2.99,2.98,2.38,2.27,2.30
PB Ratio,-,-,-,-,-,-,-6.27,-8.24,-10.30,-11.43,-14.98,-20.40,-28.58,-39.97,-71.12,-183.77,-1975.65,108.25,60.22,51.24,36.55,28.24,26.19,25.85,25.11,22.43,21.10,25.11,27.24,22.75,21.63,20.12,11.30,9.34,8.62,8.76
P/FCF Ratio,-,-,-,-,-,-,28.80,33.63,41.81,46.37,52.67,37.44,54.86,35.51,40.62,38.42,26.21,25.36,26.47,30.49,21.59,20.92,25.17,30.63,29.76,37.09,40.68,124.69,76.43,85.01,100.58,184.41,148.07,166.88,71891.06,73074.39
P/OCF Ratio,-,-,-,-,-,-,12.80,13.92,14.92,13.84,17.05,15.90,19.88,17.34,19.30,16.78,13.35,14.45,17.07,20.61,15.28,16.00,19.56,22.75,21.83,20.66,17.46,27.99,23.46,25.85,24.83,24.81,20.94,15.52,15.48,15.73
Debt / Equity Ratio,0.10,0.10,-,-,0.10,-,-3.33,-3.58,-3.75,-4.22,-4.67,-6.16,-7.12,-9.69,-14.21,-43.14,-505.78,24.34,11.19,8.33,14.75,9.14,6.73,6.08,5.70,6.39,7.46,6.96,7.57,5.38,4.79,4.50,2.45,2.29,2.16,2.16
Quick Ratio,0.61,0.52,-,-,0.54,-,0.50,0.44,0.44,0.55,0.46,0.49,0.54,0.93,0.66,0.56,0.64,0.72,0.63,0.67,1.66,2.49,1.82,1.85,1.86,1.83,1.51,1.40,1.39,1.20,1.01,1.44,0.76,0.69,0.52,0.52
