,2014-05-25,2015-05-28,2015-11-29,2016-02-28,2016-05-28,2016-08-28,2016-11-27,2017-02-26,2017-05-28,2017-08-27,2017-11-26,2018-02-25,2018-05-27,2018-08-26,2018-11-25,2019-02-24,2019-05-26,2019-08-25,2019-11-24,2020-02-23,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30,2021-08-29,2021-11-28,2022-02-27,2022-05-29,2022-08-28,2022-11-27,2023-02-26,2023-05-28,2023-08-27,2023-11-26
Cash & Equivalents,27,30.6,-,-,36.4,-,69.4,37.5,57.1,69.8,71.1,49.4,55.6,150.5,121.6,17.2,12.2,19,23.8,30.1,"1,364","1,033",763.9,714.3,783.5,789.7,621.9,428.6,525,485.3,419.4,675,304.8,163.3,78.3
Cash & Cash Equivalents,27,30.6,0,0,36.4,0,69.4,37.5,57.1,69.8,71.1,49.4,55.6,150.5,121.6,17.2,12.2,19,23.8,30.1,"1,364","1,033",763.9,714.3,783.5,789.7,621.9,428.6,525,485.3,419.4,675,304.8,163.3,78.3
Cash Growth,-,-,-,-,34.81%,-,-,-,56.87%,-,2.45%,31.73%,-2.63%,115.62%,71.03%,-65.18%,-78.06%,-87.38%,-80.43%,75.00%,11080.33%,5334.21%,3109.66%,2273.09%,-42.56%,-23.52%,-18.59%,-40.00%,-32.99%,-38.55%,-32.56%,57.49%,-41.94%,-66.35%,-81.33%
Receivables,167.8,171.4,-,-,186.5,-,232.2,218.1,185.2,213.7,224.4,236.6,225.9,331.1,340.1,359.3,340.1,371.1,399.7,368.8,342.1,334.8,353.2,375.6,366.9,401.3,423.2,430.6,447.3,449.5,508.9,500.5,724.2,725.7,766.2
Inventory,440.7,488.2,-,-,498.9,-,615.9,572.4,525,494.4,662.9,630.5,549.7,447.7,628.2,588.2,498.3,466.5,636,597.3,486.7,470.6,630.5,571.5,513.5,469.2,613.9,634.5,574.4,635.5,822.1,837.4,932,872.9,"1,154"
Other Current Assets,89.2,61.5,-,-,58.2,-,18.5,84.1,90.9,60.5,45.9,81.7,99.2,55.5,44.7,103.3,110.9,49.6,47.8,101.3,109.8,53.1,38.2,98,117.8,74.8,58.8,117,112.9,59.9,50.7,105,166.2,84.4,82.8
Total Current Assets,724.7,751.7,-,-,780,-,936,912.1,858.2,838.4,"1,004",998.2,930.4,984.8,"1,135","1,068",961.5,906.2,"1,107","1,098","2,303","1,891","1,786","1,759","1,782","1,735","1,718","1,611","1,660","1,630","1,801","2,118","2,127","1,846","2,081"
"Property, Plant & Equipment",926.8,"1,001",-,-,"1,043",-,"1,134","1,186","1,271","1,310","1,332","1,357","1,421","1,468","1,521","1,557","1,598","1,715","1,715","1,726","1,702","1,670","1,640","1,647","1,666","1,701","1,704","1,684","1,698","1,803","1,872","2,018","2,954","3,154","3,314"
Long-Term Investments,0,0,-,-,155.2,-,150.8,155.6,178.6,196,198.6,217.4,219.8,221.7,218.2,222.8,224.6,225.5,257.9,253.4,250.2,275,291.4,303.1,310.2,298.8,294.7,312.8,257.4,372.5,263.7,243.6,0,0,0
Goodwill and Intangibles,153.5,176.6,-,-,173.5,-,170,170.4,170.2,170.9,170.7,171.6,170.5,168.1,167,247.1,243.5,346.8,347,342,342.1,361.8,363,371.2,371.4,359.3,353.6,356.3,351.7,385,379.5,379.1,"1,151","1,151","1,174"
