,2015-05-28,2015-11-29,2016-02-28,2016-05-28,2016-08-28,2016-11-27,2017-02-26,2017-05-28,2017-08-27,2017-11-26,2018-02-25,2018-05-27,2018-08-26,2018-11-25,2019-02-24,2019-05-26,2019-08-25,2019-11-24,2020-02-23,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30,2021-08-29,2021-11-28,2022-02-27,2022-05-29,2022-08-28,2022-11-27,2023-02-26,2023-05-28,2023-08-27,2023-11-26
Revenue,-,740.3,728.7,777,776.3,790.7,768.5,832.5,817.5,824.6,863.4,918.2,914.9,911.4,926.8,"1,003",989,"1,019",937.3,846.9,871.5,896.1,895.8,"1,008",984.2,"1,007",955,"1,153","1,126","1,277","1,254","1,695","1,665","1,732"
Revenue Growth (YoY),-,-,-,-,-,6.81%,5.46%,7.14%,5.31%,4.29%,12.35%,10.29%,11.91%,10.53%,7.34%,9.28%,8.10%,11.83%,1.13%,-15.60%,-11.88%,-12.08%,-4.43%,18.96%,12.93%,12.33%,6.61%,14.45%,14.37%,26.81%,31.27%,46.99%,47.95%,35.69%
Cost of Revenue,-,578.5,546.8,600.2,595.7,591.8,561.5,640.2,621.2,616.4,621.1,685.5,684.3,662.4,653.4,752.9,740.4,734.1,686.9,735.8,657.7,672.6,699.1,809.5,832.9,801.1,734,898.9,852.3,894.9,855.8,"1,316","1,166","1,257"
Gross Profit,-,161.8,181.9,176.8,180.6,198.9,207,192.3,196.3,208.2,242.3,232.7,230.6,249,273.4,250.5,248.6,285.1,250.4,111.1,213.8,223.5,196.7,198,151.3,205.5,221,254.2,273.3,381.6,397.8,379.4,499.5,475.6
"Selling, General & Admin",-,52.3,54.6,124.9,55.6,73.4,61.8,69.7,58.7,68.4,73.1,99.2,78,75,79.6,102.5,78.6,91.6,87.9,80.2,78.1,83.9,96.1,99.1,91.1,91.1,87.2,118.2,116.3,109.8,131.5,192.4,176.2,170
Operating Expenses,-,52.3,54.6,124.9,55.6,73.4,61.8,69.7,58.7,68.4,73.1,99.2,78,75,79.6,102.5,78.6,91.6,87.9,80.2,78.1,83.9,96.1,99.1,91.1,91.1,87.2,118.2,116.3,109.8,131.5,192.4,176.2,170
Operating Income,-,109.5,127.3,51.9,125,125.5,145.2,122.6,137.6,139.8,169.2,133.5,152.6,174,193.8,148,170,193.5,162.5,30.9,135.7,139.6,100.6,98.9,60.2,114.4,133.8,136,157,271.8,266.3,187,323.3,305.6
Interest Expense / Income,-,1.5,1.5,1.6,1.5,6.8,26.3,26.7,25.2,27.4,28.5,27.7,26.8,26.2,27,27.1,28.2,25.4,25.2,29.2,30.3,30,29.3,28.7,27.9,82.4,25.8,24.9,26,24.6,25.8,32.8,30.7,29.1
Other Expense / Income,-,-4,-34.8,-12.6,-7.1,-2.4,-9.3,-21.2,-15.1,-5.7,-23.6,-22.3,-16.3,-5.2,-14.2,-15.2,-10.6,-15,-9.8,6.1,-11.9,-19.2,-11.1,-9.6,-6.2,-10.1,-29.7,56.7,-174.6,107.3,23.3,-416.6,-12.1,-4.7
Pretax Income,-,112,160.6,62.9,130.6,121.1,128.2,117.1,127.5,118.1,164.3,128.1,142.1,153,181,136.1,152.4,183.1,147.1,-4.4,117.3,128.8,82.4,79.8,38.5,42.1,137.7,54.4,305.6,139.9,217.2,570.8,304.7,281.2
