,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"14,953","17,947","19,526","21,278","23,561","30,832","25,928","36,447","44,705","37,828","44,395"
Market Cap Growth,10.37%,20.02%,8.80%,8.98%,10.73%,30.86%,-15.91%,40.57%,22.66%,-15.38%,-
Enterprise Value,"14,402","17,411","19,174","20,955","23,137","30,879","25,845","36,261","44,312","37,049","43,815"
PE Ratio,23.83,26.59,25.80,25.75,23.70,29.81,23.61,33.21,32.10,24.29,27.42
PS Ratio,5.94,6.55,6.62,6.75,6.98,8.17,6.42,8.98,9.69,7.56,8.61
PB Ratio,8.41,10.05,10.21,10.88,10.00,11.77,9.32,12.36,14.49,10.83,12.60
P/FCF Ratio,18.77,22.65,21.21,24.57,20.99,26.86,19.73,31.81,32.56,24.05,23.76
P/OCF Ratio,16.98,20.05,19.18,22.16,18.46,24.25,17.99,28.92,29.69,22.26,22.00
EV/Sales Ratio,5.72,6.36,6.50,6.65,6.85,8.19,6.40,8.94,9.61,7.40,8.50
EV/EBITDA Ratio,13.18,14.92,15.14,15.06,16.09,19.93,15.69,22.30,21.98,16.65,18.87
EV/EBIT Ratio,14.58,16.43,16.66,16.57,17.80,22.57,17.98,25.28,24.29,18.09,20.40
EV/FCF Ratio,18.07,21.97,20.83,24.19,20.61,26.90,19.67,31.65,32.28,23.55,23.45
Debt / Equity Ratio,-,-,-,-,-,0.31,0.32,0.30,0.29,0.25,0.25
Debt / EBITDA Ratio,-,-,-,-,-,0.52,0.55,0.55,0.44,0.39,0.37
Debt / FCF Ratio,-,-,-,-,-,0.71,0.68,0.78,0.64,0.55,0.46
Quick Ratio,0.16,0.16,0.17,0.18,0.17,0.33,0.39,0.43,0.49,0.52,0.42
Current Ratio,1.13,1.11,1.11,1.12,1.11,1.17,1.23,1.25,1.25,1.30,1.23
Asset Turnover,0.40,0.42,0.46,0.49,0.45,0.46,0.46,0.45,0.47,0.51,0.45
Interest Coverage,-,-,-,243.13,-,-,-,-,-,-,-
Return on Equity (ROE),35.50%,37.10%,40.70%,43.20%,47.80%,41.30%,41.30%,37.90%,44.40%,47.10%,46.50%
Return on Assets (ROA),9.80%,10.20%,11.90%,12.70%,13.20%,12.50%,12.40%,12.20%,14.30%,15.80%,14.40%
Return on Capital (ROIC),35.12%,37.57%,39.43%,42.08%,41.90%,30.24%,30.32%,29.07%,35.41%,35.46%,36.43%
Earnings Yield,4.20%,3.76%,3.88%,3.88%,4.22%,3.35%,4.24%,3.01%,3.12%,4.12%,3.67%
FCF Yield,5.33%,4.42%,4.71%,4.07%,4.76%,3.72%,5.07%,3.14%,3.07%,4.16%,4.21%
Dividend Yield,3.40%,3.10%,3.10%,3.10%,3.10%,2.70%,3.40%,2.50%,2.20%,3.10%,2.88%
Payout Ratio,81.40%,81.70%,80.00%,80.00%,74.40%,79.90%,81.00%,82.60%,71.80%,75.50%,79.11%
Buyback Yield / Dilution,-0.38%,0.41%,0.58%,-0.03%,0.30%,-0.08%,0.22%,-0.30%,-0.28%,0.22%,0.06%
Total Shareholder Return,3.02%,3.51%,3.68%,3.07%,3.40%,2.62%,3.62%,2.20%,1.92%,3.32%,2.94%
