,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,69.64,84.46,99.27,72.76,240.26,261.06,327.16,481.65,419.42,417.08
Depreciation & Amortization,17.48,17.4,23.39,28.56,36.64,101.18,129.24,145.15,140.05,0
Share-Based Compensation,24.62,45.83,49.24,52.41,59.19,72.04,75.24,111.66,99.91,0
Other Operating Activities,-6.87,-71.29,-7.08,41.64,-43.87,-146.82,12.77,-166.13,-195.27,-417.08
Operating Cash Flow,104.87,76.39,164.82,195.36,292.22,287.45,544.41,572.33,464.1,0
Operating Cash Flow Growth,80.12%,-27.16%,115.75%,18.53%,49.58%,-1.63%,89.39%,5.13%,-18.91%,-
Capital Expenditures,-15.84,-17.96,-29.32,-29.81,-37.57,-99.31,-68.79,-111.5,-81.63,0
Acquisitions,-37.09,-76.91,-5.5,-6.84,-74.27,-39.32,-18.89,-314.96,-10.64,0
Change in Investments,-,-0.17,-,-,-0.42,-,-200.51,-62.54,-61.63,-
Other Investing Activities,0,-30.46,25.5,0.47,0.14,-6.74,121.04,120.08,-29.03,-
Investing Cash Flow,-52.93,-125.49,-9.32,-36.17,-112.12,-145.37,-167.15,-368.92,-182.93,0
Common Stock Issued,0,0,0,0,0,0,0,0,50.66,0
Share Repurchases,0,0,-0.54,-3.19,-7.75,0,0,0,-26.56,0
Other Financing Activities,10.35,33.76,9.93,46.55,15.25,20.36,-0.77,-59.56,-79.24,-
Financing Cash Flow,10.35,33.76,10.47,49.75,23,20.36,-0.77,-59.56,-2.02,0
Net Cash Flow,51.33,-21.09,162.58,220.56,188.86,165.98,385.85,125.81,234.29,0
Free Cash Flow,89.03,58.43,135.5,165.56,254.64,188.15,475.61,460.83,382.48,0
Free Cash Flow Growth,110.46%,-34.37%,131.91%,22.18%,53.81%,-26.11%,152.79%,-3.11%,-17.00%,-
Free Cash Flow Margin,12.20%,6.39%,11.68%,11.41%,13.82%,8.20%,17.88%,12.26%,7.93%,-
Free Cash Flow Per Share,1.79,1.12,2.55,3.01,4.49,3.26,8.14,7.80,6.46,-
