,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"1,599","2,253","3,830","3,235","5,595","6,221","11,609","19,970","37,775","18,777","18,065"
Market Cap Growth,119.76%,40.95%,69.99%,-15.54%,72.92%,11.19%,86.62%,72.02%,89.16%,-50.29%,-
Enterprise Value,"1,429","2,033","3,666","2,898","5,037","5,475","10,936","18,914","36,567","17,288","11,438"
PE Ratio,25.79,32.36,45.35,32.59,76.89,25.89,44.47,61.04,78.43,44.77,44.13
PS Ratio,2.19,2.46,3.30,2.23,3.04,2.71,4.37,5.31,7.83,4.00,3.85
PB Ratio,4.25,4.86,6.25,4.14,5.74,4.93,7.27,10.07,15.19,6.26,3.99
P/FCF Ratio,17.96,38.56,28.27,19.54,21.97,33.06,24.41,43.33,98.76,-,100.51
P/OCF Ratio,15.24,29.50,23.24,16.56,19.15,21.64,21.32,34.89,81.39,-,92.87
EV/Sales Ratio,1.96,2.22,3.16,2.00,2.73,2.39,4.11,5.03,7.58,3.69,2.44
EV/EBITDA Ratio,12.75,15.88,21.67,14.16,17.87,15.20,24.47,29.88,49.35,27.51,17.42
EV/EBIT Ratio,15.10,18.38,25.15,16.45,20.54,21.14,34.43,38.78,60.85,-,19.99
EV/FCF Ratio,16.05,34.79,27.06,17.51,19.78,29.10,22.99,41.04,95.61,-,63.64
Debt / Equity Ratio,0.12,0.18,0.25,0.17,0.18,0.07,0.17,0.13,0.10,0.06,0.06
Debt / EBITDA Ratio,-,-,0.21,0.12,0.09,0.07,0.59,0.42,0.32,0.31,-
Debt / FCF Ratio,-,-,0.26,0.15,0.10,0.13,0.55,0.58,0.63,-,-
Quick Ratio,5.69,3.22,3.93,5.41,5.18,4.46,3.71,4.04,2.90,3.58,4.74
Current Ratio,6.05,3.31,4.14,5.56,5.31,4.56,3.81,4.11,2.97,3.69,4.92
Asset Turnover,1.28,1.23,1.17,1.25,1.16,1.14,1.02,0.98,1.07,1.20,1.22
Interest Coverage,0,0,0,0,0,0,0,0,314.02,57.15,0
Return on Equity (ROE),18.52%,18.20%,16.19%,9.31%,24.64%,20.68%,20.50%,24.29%,16.86%,13.90%,-
Return on Assets (ROA),16.09%,14.22%,12.75%,7.86%,19.22%,16.20%,14.58%,17.70%,11.90%,10.40%,1836.00%
Return on Capital (ROIC),18.35%,18.18%,16.19%,8.95%,23.64%,20.50%,17.63%,21.77%,17.38%,12.20%,-
Earnings Yield,3.88%,3.09%,2.20%,3.07%,1.30%,3.86%,2.25%,1.64%,1.28%,2.23%,2.31%
FCF Yield,2.65%,3.95%,1.53%,4.19%,2.96%,4.09%,1.62%,2.38%,1.22%,2.04%,0.99%
Buyback Yield / Dilution,-2.82%,-4.55%,-2.36%,-3.32%,-3.07%,-1.76%,-1.35%,-1.06%,-0.18%,0.14%,0.73%
Total Shareholder Return,-2.82%,-4.55%,-2.36%,-3.32%,-3.07%,-1.76%,-1.35%,-1.06%,-0.18%,0.14%,0.73%
