,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"5,433","6,945","7,115","6,594","4,469","5,996","4,737","4,314","6,660","6,968","4,957","4,042","3,335","2,820","4,159","4,791","7,051","7,416","5,517","5,075","4,450","5,543","6,920","6,114","5,899","3,803","5,242","7,015","10,483","9,253","9,622","10,149","9,267","8,904","7,262","14,099","15,968","23,187","20,306","17,263","16,772"
Market Cap Growth,102.31%,195.56%,80.86%,67.93%,-17.74%,-13.66%,-33.43%,-34.58%,49.01%,16.20%,4.65%,-6.29%,-49.93%,-59.54%,-16.09%,18.52%,111.46%,163.00%,32.65%,5.92%,-36.89%,-25.26%,25.43%,20.48%,32.55%,-31.39%,-24.24%,14.74%,77.72%,143.31%,83.55%,44.68%,-11.60%,-3.76%,-24.53%,38.92%,72.31%,160.41%,179.64%,22.44%,-
Enterprise Value,"3,613","5,460","5,590","5,207","2,285","4,333","2,884","2,386","4,785","4,985","3,109","2,329","1,197",296,"1,867","2,007","4,031","4,621","2,506","2,470","2,051","3,607","5,043","4,748","4,206","2,767","4,160","5,645","9,015","7,974","8,136","8,506","7,681","7,607","5,592","12,432","13,575","21,237","18,860","15,940","15,449"
PE Ratio,15.49,17.21,19.00,24.48,11.29,26.44,14.98,7.49,11.22,8.20,6.66,7.41,-8.01,-4.68,-7.71,-9.90,-42.58,-80.79,-28.70,-14.91,30.83,-890.52,291.73,-1793.47,-51.32,87.68,53.05,31.42,26.32,17.89,17.10,22.40,19.77,41.27,38.40,148.80,-361.55,556.72,129.82,36.42,35.51
PS Ratio,1.64,1.98,2.02,2.09,1.32,2.06,1.45,1.18,1.62,1.54,1.07,1.00,1.15,0.97,1.65,1.63,2.40,2.83,2.40,2.68,1.98,2.51,2.79,2.60,1.93,1.24,1.68,2.00,3.87,3.10,3.24,3.87,3.17,3.58,2.93,5.59,6.10,8.28,6.79,5.46,5.30
PB Ratio,1.21,1.50,1.52,1.38,0.90,1.20,0.94,0.80,1.20,1.21,0.85,0.68,0.64,0.54,0.79,0.87,1.38,1.44,1.08,0.98,0.85,1.08,1.35,1.18,1.16,0.74,1.00,1.30,1.90,1.63,1.66,1.74,1.56,1.52,1.23,2.42,2.74,3.95,3.36,2.74,2.66
P/FCF Ratio,7.88,21.29,29.04,-36.86,9.35,16.34,18.09,12.12,-13.55,335.39,-70.70,-22.98,-146.90,8.68,21.58,5.94,8.53,33.23,12.84,-9.81,-4.17,-4.28,-4.96,-4.27,-11.93,-5.77,-11.53,47.70,-27.62,-70.23,-113.90,-223.85,-30.61,-39.28,-17.13,-21.40,-528.13,-163.07,-40.30,-32.55,-32.55
P/OCF Ratio,6.35,14.73,19.36,-120.32,6.08,9.53,9.47,7.59,-20.48,37.95,37.45,148.97,16.13,4.58,8.16,4.08,5.26,9.24,5.02,17.34,-13.62,-9.48,-9.88,-7.71,33.86,-139.69,49.01,11.09,282.41,35.25,32.95,26.06,39.01,23.54,25.13,125.19,18.28,23.72,25.39,20.64,20.05
Debt / Equity Ratio,0.05,0.04,0.04,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.04,0.13,0.04,0.05,0.06,0.06,0.08,0.08,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.05,0.07,0.08,0.08
Quick Ratio,1.70,2.45,2.08,2.65,2.63,2.33,2.79,3.13,2.86,2.57,2.78,2.19,3.16,5.87,6.53,6.90,5.95,6.73,4.65,4.21,4.11,3.80,3.27,3.13,2.14,2.62,2.54,2.65,2.41,3.51,3.58,3.07,3.14,2.55,2.91,2.80,2.83,2.21,2.34,2.18,2.18
Current Ratio,2.39,3.04,2.62,3.54,3.08,3.20,3.45,3.63,3.48,3.08,3.23,2.46,4.17,6.32,6.82,6.85,5.89,6.81,4.89,4.48,4.57,4.38,4.05,4.00,2.73,3.75,3.66,3.83,3.56,4.69,4.77,4.26,4.39,4.08,4.21,4.09,3.65,3.08,3.36,3.19,3.19
Interest Coverage,-,344.56,3.54,932.29,369.65,-343.83,74.30,225.10,57.06,49.18,0.42,15.79,-217.33,2.62,2.87,52.42,-4.55,19.25,-8.01,19.81,5.16,-5.82,0.24,10.18,-28.62,1.22,15.48,18.60,17.34,86.50,23.24,16.56,67.07,-20.90,44.14,-19.62,-1.10,48.69,134.20,78.79,57.26
Return on Capital (ROIC),Upgrade,7.22%,8.22%,7.59%,5.30%,7.57%,4.08%,5.58%,9.81%,11.63%,15.01%,13.54%,8.95%,-9.80%,-12.57%,-11.25%,-9.66%,4.01%,5.19%,2.26%,-0.31%,0.52%,-1.97%,-0.30%,-0.80%,-3.15%,0.04%,0.89%,3.34%,7.63%,7.14%,7.83%,5.90%,5.82%,3.56%,1.45%,-0.63%,-3.66%,-2.25%,0.82%,5.58%
Buyback Yield / Dilution,-16.35%,-13.92%,-11.71%,-1.03%,-0.19%,1.42%,0.20%,-0.87%,-0.21%,-2.53%,-0.67%,-1.35%,-0.40%,-1.45%,-2.27%,-1.91%,-0.50%,-1.81%,-0.16%,-0.48%,-3.09%,1.18%,-0.57%,-0.06%,0.37%,-1.28%,-1.05%,-0.49%,-1.62%,-0.47%,-0.34%,-0.14%,0.07%,0.45%,-0.21%,0.28%,0.42%,-0.70%,-0.21%,-0.85%,-0.85%
Total Shareholder Return,-16.35%,-13.92%,-11.71%,-1.03%,-0.19%,1.42%,0.20%,-0.87%,-0.21%,-2.53%,-0.67%,-1.35%,-0.40%,-1.45%,-2.27%,-1.91%,-0.50%,-1.81%,-0.16%,-0.48%,-3.09%,1.18%,-0.57%,-0.06%,0.37%,-1.28%,-1.05%,-0.49%,-1.62%,-0.47%,-0.34%,-0.14%,0.07%,0.45%,-0.21%,0.28%,0.42%,-0.70%,-0.21%,-0.85%,-0.85%
