,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"23,324","27,674","25,417","24,614","15,171","14,039","15,239","16,565","14,240","24,078","25,406"
Market Cap Growth,44.57%,18.65%,-8.16%,-3.16%,-38.36%,-7.46%,8.55%,8.70%,-14.03%,69.09%,-
Enterprise Value,"24,431","28,550","28,600","28,130","22,421","19,539","19,243","19,394","14,838","24,736","25,538"
PE Ratio,20.00,22.78,17.81,19.11,59.26,10.30,-4.12,27.11,-15.26,92.25,40.80
PS Ratio,0.26,0.27,0.21,0.19,0.11,0.10,0.10,0.10,0.08,0.12,0.12
PB Ratio,3.64,4.42,3.88,3.62,2.50,2.22,8.52,9.25,-20.08,-8.44,-7.20
P/FCF Ratio,10.25,12.07,10.14,30.88,6.36,5.86,9.60,8.16,5.15,10.16,7.40
P/OCF Ratio,9.24,10.90,8.55,20.79,5.48,5.16,7.77,6.82,4.56,8.48,6.43
EV/Sales Ratio,0.27,0.28,0.24,0.22,0.16,0.13,0.13,0.12,0.08,0.12,0.12
EV/EBITDA Ratio,10.21,11.14,9.25,9.92,19.84,6.42,-7.33,15.09,208.98,17.39,13.51
EV/EBIT Ratio,12.63,13.52,11.67,13.27,228.78,9.56,-5.44,38.63,-23.89,33.88,21.42
EV/FCF Ratio,10.74,12.45,11.41,35.29,9.40,8.16,12.13,9.56,5.36,10.44,7.44
Debt / Equity Ratio,0.62,0.88,0.85,1.53,1.49,1.27,3.79,3.48,-7.50,-1.65,-1.37
Debt / EBITDA Ratio,1.66,2.14,1.79,3.67,7.98,2.64,-2.58,4.85,74.86,3.31,2.50
Debt / FCF Ratio,1.75,2.40,2.21,13.04,3.78,3.35,4.27,3.07,1.92,1.98,1.38
Quick Ratio,0.55,0.65,0.50,0.70,0.42,0.46,0.47,0.45,0.50,0.46,0.43
Current Ratio,1.19,1.26,1.11,1.34,1.07,1.07,1.10,1.12,1.08,1.00,0.98
Asset Turnover,3.66,3.70,3.66,3.62,3.30,3.59,3.77,3.72,4.20,4.70,4.88
Interest Coverage,14.54,14.97,13.76,10.54,0.30,6.95,-14.86,2.79,-4.17,7.85,18.34
Return on Equity (ROE),18.10%,19.50%,21.60%,19.60%,3.70%,22.20%,-302.30%,35.00%,-378.90%,-11.50%,-21.30%
Return on Assets (ROA),4.70%,4.40%,4.30%,3.60%,0.60%,3.40%,-9.10%,1.40%,-2.20%,0.60%,1.40%
Return on Capital (ROIC),12.05%,11.38%,12.75%,8.30%,0.68%,11.10%,-47.84%,12.27%,-13.29%,16.20%,53.14%
Earnings Yield,5.00%,4.39%,5.61%,5.23%,1.69%,9.71%,-24.25%,3.69%,-6.55%,1.08%,2.52%
FCF Yield,9.75%,8.29%,9.86%,3.24%,15.71%,17.05%,10.41%,12.25%,19.42%,9.84%,13.51%
Dividend Yield,1.80%,1.70%,2.10%,2.30%,3.80%,4.10%,3.70%,3.40%,3.80%,2.10%,1.92%
Payout Ratio,36.50%,38.70%,36.90%,44.60%,227.10%,42.00%,-15.30%,93.30%,-58.70%,198.80%,78.22%
Buyback Yield / Dilution,-0.29%,2.90%,1.49%,3.03%,1.56%,4.44%,2.66%,-0.34%,5.10%,6.09%,5.75%
Total Shareholder Return,1.51%,4.60%,3.59%,5.33%,5.36%,8.54%,6.36%,3.06%,8.90%,8.19%,7.66%
