,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,255.8,225.58,245.7,303,393.3,353.8,337.8,269,221.2,263.7,317.5,406.4,505.5,555.7,"1,174","1,313","1,751","1,640","3,670","2,033","2,110","1,990","1,309","1,460","1,613","1,119","1,178","1,198","1,596"
Cash & Cash Equivalents,255.8,225.58,245.7,303,393.3,353.8,337.8,269,221.2,263.7,317.5,406.4,505.5,555.7,"1,174","1,313","1,751","1,640","3,670","2,033","2,110","1,990","1,309","1,460","1,613","1,119","1,178","1,198","1,596"
Cash Growth,-,-,-,-,53.75%,56.84%,37.48%,-11.22%,-43.76%,-25.47%,-6.01%,51.08%,128.53%,110.73%,269.64%,223.15%,246.37%,195.05%,212.70%,54.80%,20.49%,21.38%,-64.33%,-28.21%,-23.54%,-43.76%,-10.01%,-17.95%,-1.08%
Receivables,441.58,435.82,475.2,531.6,536.3,541.6,495.5,525,525.4,509.9,498.6,458.4,459.1,"1,028",922.2,934.6,966.6,978.1,935.8,927,948.6,"1,014","1,019","1,032","1,122","1,244","1,220","1,216","1,234"
Inventory,443.95,463.14,485.8,507.6,494.5,567.2,555.6,550.1,523.9,555.1,557.6,539.3,502.5,"1,088","1,026","1,007",943.6,832.5,796.8,863.6,854.2,954.9,"1,014","1,013","1,025","1,123","1,101","1,083","1,001"
Other Current Assets,47.18,58.22,59.8,61.2,39.5,50.8,56.7,63.4,60.7,69.6,90.2,90,76.8,258.1,204.6,204.5,201,703.7,309.9,207.3,202.5,227,213.7,240.5,206.9,186.9,227.8,236.9,219.6
Total Current Assets,"1,189","1,183","1,267","1,403","1,464","1,513","1,446","1,408","1,331","1,398","1,464","1,494","1,544","2,929","3,327","3,460","3,862","4,154","5,712","4,031","4,115","4,186","3,555","3,745","3,967","3,672","3,727","3,733","4,050"
"Property, Plant & Equipment",358.39,354.2,356.2,352,363.2,365.3,353.9,346.9,356.6,349.5,345.1,334,326.6,829,832,807.9,797.3,713.6,607.2,619.2,648.6,635.2,608.3,587.7,624.4,648.8,645.7,685.8,711.4
Goodwill,"1,155","1,167","1,200","1,217","1,228","1,308","1,276","1,268","1,290","1,283","1,285","1,266","1,288","5,503","6,055","6,206","6,304","6,155","5,637","6,101","5,982","5,981","5,872","5,789","6,064","6,386","6,427","6,490","6,610"
Intangible Assets,"1,470","1,457","1,460","1,450","1,431","1,449","1,392","1,357","1,368","1,335","1,304","1,266","1,255","5,680","4,849","4,784","4,733","4,499","3,726","3,696","3,913","3,816","3,677","3,534","3,579","3,739","3,660","3,673","3,611"
