,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,-9.62,-3.9,-12.9,-10.22,-7.02,-146.3,28,143.8,42.4,60.3,72.2,94.5,47.1,44.9,41.3,25.8,-36.8,-177.6,29.5,151.6,-90.4,233.9,126,293,103.7,138.5,145.1,217.4,161.1,179.5,208.3,229.8
Depreciation & Amortization,41.24,42.76,42.9,45.83,39.66,43.84,43.4,46.9,45,45.2,44.4,45.8,45.5,44.4,43,45.2,72.3,144.5,114.2,141.3,119,88.8,102.5,111.8,108.5,104.5,115,104.8,114,111.8,115.7,25.9
Share-Based Compensation,-8.8,-16.7,-10.1,4.35,-8.41,196.81,9.8,9,3.4,1.8,0.9,-3.3,7.5,6.1,-0.2,5.8,3.5,12.7,12.8,22.3,23.3,19.8,21.9,22.2,19.8,22.4,20.1,16.6,12.1,11.9,11.2,16.7
Other Operating Activities,7.92,16.1,17.9,18.89,-26.82,-71.77,-17.3,-83.1,-30.6,27,-13.7,9.2,-31.3,-34.1,30.1,22.2,29.4,267.8,30.2,96.6,70.4,-200.5,-134.4,-191.8,-186,-80.3,-5.7,15.9,-116.9,-74.8,62.1,309
Operating Cash Flow,30.74,38.26,37.8,58.84,-2.59,22.59,63.9,116.6,60.2,134.3,103.8,146.2,68.8,61.3,114.2,99,68.4,247.4,186.7,411.8,122.3,142,116,235.2,46,185.1,274.5,354.7,170.3,228.4,397.3,581.4
Operating Cash Flow Growth,-,-,-,-,-,-40.96%,69.05%,98.15%,-,494.62%,62.44%,25.39%,14.29%,-54.36%,10.02%,-32.28%,-0.58%,303.59%,63.49%,315.96%,78.80%,-42.60%,-37.87%,-42.88%,-62.39%,30.35%,136.64%,50.81%,270.22%,23.39%,44.74%,63.91%
Capital Expenditures,-10.68,-15.32,-20.3,-28.12,-16.39,-10.41,-9.6,-20.4,-10.1,-10.8,-11.2,-20.1,-14.2,-10.5,-9.1,-9.4,-8.3,-17.1,-8.1,-15.2,-15,-10.9,-15.3,-22.9,-17.9,-21.4,-21.8,-33.5,-22.4,-24.8,-28.6,29.6
Acquisitions,0,0,-13.9,0.02,-0.29,-18.51,0,0,-94.9,-18.7,0,-72.7,-0.5,0,-11.5,0,41.3,0,-31.9,-0.4,-202.5,-13.3,-593.5,-165.5,-30.3,0,-32.2,-184.3,-566.4,-49.4,-308,0
Other Investing Activities,0.16,0.04,0.2,5.82,0.13,4.87,7.1,2.7,3,0.1,-,0.4,-,0.7,-,0.2,0.1,1.3,0.2,0.2,9.3,"1,904",-1.3,41.2,-,4.1,4.4,-,7.3,0.3,0.3,-
Investing Cash Flow,-10.52,-15.28,-34,-22.28,-16.55,-24.05,-2.5,-17.7,-102,-29.4,-11.2,-92.4,-14.7,-9.8,-20.6,-9.2,33.1,-15.8,-39.8,-15.4,-208.2,"1,880",-610.1,-147.2,-48.2,-17.3,-49.6,-217.8,-581.5,-73.9,-336.3,29.6
Dividends Paid,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.2,-8.2,-8,-8.1,-8.1,-8.1,-8.1,-8.1,0
Common Stock Issued,0,0,0,0.36,0,0,-4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,6.4,"1,497",0
Share Repurchases,-10.49,-0.11,-2,-1.51,-2.55,-0.06,0,-1,-6.2,-3,-7.5,-24,-8.5,-8.6,-0.2,-1.3,-0.8,-0.5,-0.1,-0.7,-3,-0.2,-733.3,-0.3,-101.1,-152.6,-4.1,-3.3,-77,-55.8,-0.1,0
Other Financing Activities,-27.98,-5.12,-10.3,-14.06,-15.87,14.07,-5,-10.5,-14.4,-109.3,-165.8,-124.2,-25.8,-7.4,2.8,0.3,-42.7,378.3,-19.1,10.1,-10.8,-2.5,"-1,865.4",-15.1,-209,-943.3,-16,-14.4,-158.2,-130.5,"-1,516.8",-
Financing Cash Flow,-17.49,-5.01,-8.3,-12.2,-13.32,14.12,-9,-9.2,-8.2,-106.3,-158.3,-100.2,-17.3,1.2,3,1.6,-41.9,378.8,-19,10.8,-7.8,-2.3,"-1,132.1",-14.8,-116.1,-798.7,-20,-19.2,-89.3,-76.4,-28.1,0
Net Cash Flow,5,13.08,-4.2,13.6,-30.23,20.12,57.3,90.3,-39.5,-16,-68.8,-47.8,42.5,53.8,88.9,99.1,50.2,617.9,139.7,437.6,-111.3,"2,030","-1,636.9",76.6,-119.4,-681,150.3,153.5,-493.7,58.8,19.4,611
Free Cash Flow,20.06,22.94,17.5,30.73,-18.98,12.18,54.3,96.2,50.1,123.5,92.6,126.1,54.6,50.8,105.1,89.6,60.1,230.3,178.6,396.6,107.3,131.1,100.7,212.3,28.1,163.7,252.7,321.2,147.9,203.6,368.7,611
Free Cash Flow Growth,-,-,-,-,-,-46.92%,210.29%,213.07%,-,914.29%,70.53%,31.08%,8.98%,-58.87%,13.50%,-28.95%,10.07%,353.35%,69.93%,342.63%,78.54%,-43.07%,-43.62%,-46.47%,-73.81%,24.87%,150.94%,51.30%,426.33%,24.37%,45.90%,90.22%
