,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"16,778","16,778","16,778","16,778","16,778","3,823","5,540","6,872","6,185","5,931","5,655","4,112","5,637","7,084","5,777","7,512","6,877","11,726","14,867","19,062","20,629","20,495","20,784","25,231","20,523","17,021","17,477","21,161","23,563","26,438","25,775","36,217"
Market Cap Growth,-,-,-,-,0%,-77.22%,-66.98%,-59.04%,-63.14%,55.15%,2.08%,-40.17%,-8.87%,19.45%,2.15%,82.70%,22.00%,65.52%,157.35%,153.76%,199.97%,74.78%,39.80%,32.36%,-0.51%,-16.95%,-15.91%,-16.13%,14.81%,55.32%,47.48%,-
Enterprise Value,-,-,-,"19,300","19,334","5,560","7,265","8,519","7,886","7,505","7,142","5,563","7,022","8,398","6,972","8,618","9,784","14,448","17,431","21,211","22,853","20,689","22,213","26,562","21,948","18,469","18,770","22,301","25,186","27,990","27,310","37,345"
PE Ratio,-436.02,-1075.51,-325.16,-410.42,-597.93,-6.53,49.46,11.95,36.47,24.59,19.58,10.88,29.92,39.45,34.97,72.79,-46.72,-16.51,125.99,31.44,-57.05,21.91,41.24,21.53,49.48,30.72,30.11,24.33,36.57,36.82,30.93,47.09
PS Ratio,36.32,36.27,8.65,8.46,7.98,1.67,2.33,2.73,2.38,2.24,2.10,1.53,2.13,2.77,2.36,2.85,2.11,2.93,3.03,3.48,3.75,3.74,3.85,4.71,3.72,2.98,2.95,3.41,3.65,3.96,3.75,5.27
PB Ratio,0,0,0,63.10,59.14,3.16,4.36,4.65,3.95,3.78,3.48,2.45,3.24,3.97,3.23,4.02,0.79,1.37,1.69,2.09,2.30,2.21,2.40,2.80,2.28,1.94,2.00,2.30,2.53,2.81,2.70,3.70
P/FCF Ratio,731.36,958.74,183.91,321.46,404.99,48.87,38.55,32.30,19.08,16.37,14.42,10.36,17.39,21.05,19.25,24.58,14.18,20.99,17.17,20.88,25.36,27.86,37.69,53.43,40.66,25.92,22.82,23.90,25.46,25.39,19.36,27.21
P/OCF Ratio,438.55,443.86,101.29,126.80,143.84,26.78,27.63,26.10,16.49,14.29,12.72,9.07,14.83,18.14,16.83,21.91,13.00,19.49,16.26,19.69,23.91,25.87,33.77,46.79,35.24,22.98,20.32,21.49,22.92,22.98,18.71,26.29
Debt / Equity Ratio,0,0,0,10.45,9.81,1.64,1.59,1.38,1.31,1.22,1.08,1.00,0.95,0.91,0.89,0.86,0.40,0.45,0.44,0.43,0.43,0.42,0.40,0.38,0.38,0.31,0.31,0.30,0.29,0.29,0.29,0.29
Quick Ratio,0,0,0,1.40,1.37,1.44,1.49,1.65,1.47,1.46,1.35,1.25,1.26,1.38,1.45,1.68,1.14,1.42,1.58,1.81,1.70,2.53,1.81,2.08,2.07,1.59,1.64,1.63,1.39,1.48,1.46,1.46
Current Ratio,0,0,0,2.39,2.45,2.53,2.51,2.61,2.48,2.53,2.40,2.23,2.27,2.48,2.51,2.69,2.11,2.25,2.43,2.58,2.70,3.13,2.47,2.80,2.88,2.43,2.46,2.37,2.16,2.29,2.26,2.26
Asset Turnover,,0,0,0,0.13,0.11,0.13,0.14,0.14,0.13,0.15,0.15,0.16,0.14,0.14,0.13,0.13,0.05,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.10,0.11,0.11,0.11,0.11,0.11
Interest Coverage,0.45,0.61,0.47,0.93,0.80,-2.57,3.19,3.08,3.45,3.89,4.82,5.81,3.58,3.33,3.14,2.28,-2.46,-1.69,2.58,5.34,6.48,6.17,7.28,7.24,8.26,8.51,7.14,7.93,6.18,6.68,8.04,8.04
Return on Equity (ROE),,-,-,-13.78%,-12.00%,-14.59%,-10.66%,1.25%,4.33%,17.49%,19.63%,16.07%,15.77%,14.49%,12.72%,8.51%,0.87%,-1.72%,-1.81%,-0.37%,-0.97%,3.50%,4.87%,6.25%,8.41%,7.53%,7.77%,6.58%,7.11%,7.47%,8.02%,7.96%
Return on Assets (ROA),,-,-,-0.85%,-0.79%,-3.99%,-2.98%,0.40%,1.42%,5.96%,7.06%,6.00%,6.00%,5.63%,5.00%,3.44%,0.49%,-0.95%,-1.02%,-0.21%,-0.55%,2.01%,2.82%,3.71%,5.01%,4.65%,4.78%,4.10%,4.42%,4.68%,5.06%,5.00%
Return on Capital (ROIC),,-,-,3.43%,3.96%,-0.19%,1.71%,6.43%,6.82%,12.29%,12.86%,10.16%,10.22%,9.67%,8.86%,6.61%,0.82%,-0.13%,-0.23%,0.83%,2.37%,3.69%,4.95%,4.92%,4.87%,5.44%,5.42%,5.46%,5.94%,6.33%,7.00%,7.14%
Earnings Yield,-0.06%,-0.02%,-0.08%,-0.06%,-0.04%,-3.83%,0.51%,2.09%,0.69%,1.02%,1.28%,2.30%,0.84%,0.63%,0.71%,0.34%,-0.54%,-1.51%,0.20%,0.80%,-0.44%,1.14%,0.61%,1.16%,0.51%,0.81%,0.83%,1.03%,0.68%,0.68%,0.81%,2.15%
FCF Yield,0.12%,0.14%,0.10%,0.18%,-0.11%,0.32%,0.98%,1.40%,0.81%,2.08%,1.64%,3.07%,0.97%,0.72%,1.82%,1.19%,0.87%,1.96%,1.20%,2.08%,0.52%,0.64%,0.48%,0.84%,0.14%,0.96%,1.45%,1.52%,0.63%,0.77%,1.43%,3.68%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.04%,0.05%,0.05%,0.04%,0.03%,0.03%,0.03%,0.09%
Payout Ratio,0.00%,0.00%,0.00%,-0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.80%,7.91%,5.78%,5.58%,3.73%,5.03%,4.51%,3.89%,4.21%
Buyback Yield / Dilution,,-,-,-,-,6.76%,-9.68%,-9.84%,-10.63%,-18.49%,-0.48%,-0.76%,1.05%,0.33%,0.05%,0.29%,-33.51%,-99.62%,-101.91%,-102.72%,-53.59%,-2.35%,0.83%,2.61%,3.01%,4.08%,2.39%,0.99%,0.94%,0.27%,-0.02%,-
Total Shareholder Return,-,-,-,0.00%,6.76%,-9.68%,-9.84%,-10.63%,-18.49%,-0.48%,-0.76%,1.05%,0.33%,0.05%,0.29%,-33.51%,-99.62%,-101.91%,-102.72%,-53.59%,-2.35%,0.83%,2.61%,3.04%,4.12%,2.44%,1.04%,0.98%,0.30%,0.01%,0.03%,0.09%
