,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"4,312","3,751","4,049","5,619","4,979","4,406","5,142","9,009","8,295","14,975","17,665"
Market Cap Growth,-6.75%,-13.03%,7.96%,38.78%,-11.39%,-11.52%,16.71%,75.21%,-7.93%,80.55%,-
Enterprise Value,"4,995","4,495","5,257","6,480","6,240","5,739","6,889","10,761","10,228","16,419","19,356"
PE Ratio,17.87,13.21,15.94,43.53,57.68,15.35,95.22,12.94,8.33,18.31,23.59
PS Ratio,0.27,0.21,0.22,0.30,0.23,0.17,0.19,0.31,0.25,0.43,0.53
PB Ratio,1.92,1.62,1.66,2.39,2.55,2.33,2.84,4.22,3.38,5.23,6.97
P/FCF Ratio,117.45,12.79,224.96,-2.80,-2.78,10.85,11.15,14.08,10.24,14.60,14.76
P/OCF Ratio,8.63,3.02,4.42,-3.84,-4.50,3.69,4.09,6.29,5.02,8.64,8.76
EV/Sales Ratio,0.32,0.25,0.29,0.34,0.28,0.23,0.25,0.37,0.31,0.47,0.58
EV/EBITDA Ratio,5.37,4.17,4.31,5.60,4.82,4.07,5.61,5.54,4.44,6.86,8.58
EV/EBIT Ratio,11.27,8.18,10.06,16.35,11.97,9.01,15.95,10.10,7.43,11.18,13.93
EV/FCF Ratio,136.03,15.33,292.06,-3.23,-3.48,14.14,14.94,16.81,12.63,16.00,16.17
Debt / Equity Ratio,0.75,0.72,0.87,0.87,1.29,1.32,1.73,1.55,1.39,1.13,1.28
Debt / EBITDA Ratio,1.81,1.54,1.74,1.77,1.95,1.77,2.56,1.71,1.48,1.36,1.44
Debt / FCF Ratio,45.82,5.66,117.77,-1.02,-1.41,6.15,6.81,5.19,4.21,3.17,2.71
Quick Ratio,0.51,0.42,0.41,0.38,0.41,0.46,0.47,0.44,0.40,0.43,0.40
Current Ratio,1.24,1.03,1.05,0.96,1.04,0.98,1.01,1.02,1.01,1.16,1.13
Asset Turnover,1.86,1.99,1.82,1.82,1.91,1.99,1.97,1.89,1.84,1.76,1.72
Interest Coverage,3.46,4.29,3.83,2.87,3.50,3.39,2.48,8.60,9.43,7.13,7.24
Return on Equity (ROE),10.30%,12.50%,10.40%,5.50%,4.00%,15.30%,3.10%,33.40%,42.60%,30.30%,29.20%
Return on Assets (ROA),2.90%,3.20%,2.50%,1.20%,0.70%,2.30%,0.40%,4.50%,5.50%,4.10%,4.10%
Return on Capital (ROIC),3.99%,9.32%,7.43%,4.36%,2.62%,9.45%,1.98%,14.44%,19.06%,15.56%,16.00%
Earnings Yield,5.60%,7.57%,6.28%,2.30%,1.73%,6.51%,1.05%,7.73%,12.01%,5.46%,4.47%
FCF Yield,0.85%,7.82%,0.44%,-35.69%,-35.99%,9.22%,8.97%,7.10%,9.77%,6.85%,6.78%
Dividend Yield,1.50%,1.70%,1.50%,1.00%,1.10%,1.10%,0.90%,0.50%,0.50%,0.30%,0.23%
Payout Ratio,26.90%,21.80%,24.10%,45.10%,64.00%,17.30%,88.90%,6.80%,4.50%,5.20%,5.45%
Buyback Yield / Dilution,2.56%,3.21%,1.66%,3.59%,5.81%,9.39%,2.08%,2.06%,5.06%,5.89%,4.28%
Total Shareholder Return,4.06%,4.91%,3.16%,4.59%,6.91%,10.49%,2.98%,2.56%,5.56%,6.19%,4.51%
