,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"15,344","19,702","19,587","19,342","20,067","17,382","21,316","14,714","17,992","10,593","10,572"
Market Cap Growth,-3.87%,28.40%,-0.59%,-1.25%,3.75%,-13.38%,22.63%,-30.97%,22.27%,-41.12%,-
Enterprise Value,"24,444","27,539","27,978","28,718","29,833","27,751","32,860","26,481","30,836","24,551","25,197"
PE Ratio,20.46,44.41,33.59,37.72,43.39,29.82,40.87,16.86,35.61,12.48,54.76
PS Ratio,7.19,8.22,7.86,7.58,7.71,6.40,7.20,5.32,6.23,3.41,3.27
PB Ratio,2.67,3.46,3.43,3.34,3.45,2.96,3.75,2.45,3.08,1.73,1.83
P/FCF Ratio,-216.19,-14.11,25.44,97.68,-181.79,34.94,152.96,22.26,111.04,-106.93,23.95
P/OCF Ratio,19.72,28.33,24.50,18.70,22.00,15.11,18.05,12.72,15.88,8.26,8.23
EV/Sales Ratio,11.45,11.49,11.23,11.26,11.46,10.21,11.10,9.57,10.68,7.90,7.79
EV/EBITDA Ratio,13.87,18.02,16.91,17.73,20.51,17.27,20.35,13.30,18.70,12.04,16.25
EV/EBIT Ratio,20.43,30.62,27.56,31.02,35.65,28.88,35.17,20.30,33.21,19.09,34.21
EV/FCF Ratio,-344.39,-19.73,36.33,145.03,-270.27,55.79,235.80,40.06,190.32,-247.82,57.08
Debt / Equity Ratio,2.01,1.77,1.61,1.69,1.77,1.87,2.15,2.25,2.29,2.40,2.69
Debt / EBITDA Ratio,6.54,6.60,5.55,6.05,7.06,6.85,7.58,6.78,8.09,7.21,10.03
Debt / FCF Ratio,-162.33,-7.23,11.93,49.47,-93.06,22.13,87.80,20.40,82.37,-148.33,35.24
Asset Turnover,0.11,0.13,0.13,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.13
Interest Coverage,2.68,1.97,2.35,2.24,2.23,2.54,2.26,3.02,2.19,2.94,1.35
Return on Equity (ROE),13.40%,7.80%,10.10%,8.90%,8.00%,9.90%,9.10%,14.30%,8.80%,14.10%,3.20%
Return on Assets (ROA),4.00%,2.30%,3.10%,2.70%,2.40%,2.90%,2.50%,3.90%,2.30%,3.60%,0.80%
Return on Capital (ROIC),3.93%,5.08%,5.70%,5.31%,5.65%,5.48%,5.83%,4.65%,5.05%,5.08%,4.84%
Earnings Yield,4.89%,2.25%,2.98%,2.65%,2.30%,3.35%,2.45%,5.93%,2.81%,8.01%,1.82%
FCF Yield,-0.46%,-7.09%,3.93%,1.02%,-0.55%,2.86%,0.65%,4.49%,0.90%,-0.94%,4.18%
Dividend Yield,4.80%,2.00%,3.00%,2.10%,2.30%,3.10%,2.80%,4.10%,3.40%,5.80%,5.82%
Payout Ratio,99.60%,91.90%,103.20%,82.60%,104.10%,94.30%,115.70%,70.80%,123.30%,72.50%,318.70%
Buyback Yield / Dilution,-1.20%,-0.52%,-0.35%,-0.09%,-0.27%,-0.19%,-0.13%,-0.41%,-0.55%,-0.49%,0.16%
Total Shareholder Return,3.60%,1.48%,2.65%,2.01%,2.03%,2.91%,2.67%,3.69%,2.85%,5.31%,5.98%
