,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"158,050","144,535","143,080","157,106","163,926","156,304","167,606","149,318","154,163","123,084","124,412","137,221","169,359","165,744","184,138","198,184","196,740","177,463","170,642","180,541","127,138","146,312","161,942","156,056","174,415","88,725","106,380","89,749","128,374","151,852","146,244","142,240","119,830","105,780","89,309","80,703","87,604","91,141","89,628","79,204","104,976"
Market Cap Growth,36.24%,7.51%,-1.98%,6.50%,3.72%,8.14%,17.14%,-4.96%,-5.96%,-21.25%,-25.77%,-8.10%,9.86%,34.66%,48.01%,44.43%,16.17%,7.07%,-7.33%,-8.90%,-35.38%,-17.55%,-5.10%,-13.56%,37.19%,-39.36%,-34.31%,-42.49%,-26.40%,71.15%,37.47%,58.49%,-6.66%,-30.34%,-38.93%,-43.26%,-26.89%,-13.84%,0.36%,-1.86%,-
Enterprise Value,"442,732","412,461","424,425","442,474","458,582","425,826","428,272","394,373","389,916","350,731","358,136","372,933","387,565","368,586","414,534","444,179","453,662","420,550","421,623","426,210","381,146","413,679","434,463","408,128","440,644","346,178","332,260","283,974","319,484","334,760","364,860","315,573","331,429","322,285","301,230","284,961","266,725","339,734","367,695","400,913","426,886"
PE Ratio,11.57,10.48,14.61,16.70,22.43,19.21,13.09,10.48,8.94,7.71,8.23,9.35,11.36,10.69,11.98,12.65,-28.94,-28.31,-30.20,-34.98,7.05,8.07,8.78,8.33,8.99,5.15,7.89,7.66,11.62,9.23,6.77,6.16,5.46,5.78,5.36,5.21,5.90,6.02,6.63,5.83,8.69
PS Ratio,2.06,1.89,1.89,2.03,2.12,2.04,2.18,1.97,2.02,1.66,1.72,1.92,2.39,2.32,2.55,2.72,2.72,2.43,2.33,2.47,1.75,2.02,2.22,2.14,2.32,1.15,1.36,1.17,1.70,2.04,2.02,1.96,1.67,1.48,1.22,1.09,1.16,1.18,1.16,1.00,1.33
PB Ratio,0.77,0.69,0.68,0.74,0.78,0.73,0.76,0.68,0.70,0.54,0.54,0.59,0.75,0.73,0.80,0.87,0.98,0.88,0.85,0.92,0.65,0.75,0.82,0.80,0.90,0.46,0.56,0.46,0.64,0.75,0.72,0.71,0.59,0.54,0.45,0.41,0.44,0.44,0.43,0.38,0.50
P/FCF Ratio,2.61,2.23,3.53,4.24,3.76,9.63,4.56,3.05,4.15,3.56,3.11,5.61,3.28,3.39,21.61,10.29,-16.73,-90.31,9.45,8.41,3.81,-13.55,-11.23,-4.62,-9.74,-15.27,40.77,-31.97,-4.78,7.07,9.47,2.63,2.78,10.25,2.69,-17.09,2.44,6.39,-1.41,-1.71,-1.71
P/OCF Ratio,2.50,2.13,3.24,3.93,3.54,8.30,4.33,2.89,3.88,3.32,2.93,5.14,3.15,3.24,16.66,9.03,-22.42,143.81,8.07,7.29,3.44,-19.20,-17.75,-5.48,-13.59,-117.67,18.63,336.14,-5.47,6.02,7.58,2.45,2.54,7.22,2.36,501.26,2.11,4.50,-1.56,-2.00,-2.00
Debt / Equity Ratio,2.37,2.27,2.23,2.19,2.16,1.98,1.89,1.83,1.66,1.70,1.66,1.69,1.68,1.68,1.81,1.90,2.18,2.21,2.26,2.26,2.25,2.41,2.41,2.41,2.38,2.83,2.80,2.67,2.51,2.51,2.56,2.47,2.35,2.47,2.49,2.54,2.59,2.77,2.75,2.75,2.75
Return on Capital (ROIC),Upgrade,1.98%,2.01%,1.42%,1.39%,1.11%,1.29%,2.03%,2.29%,2.94%,2.62%,2.47%,2.37%,2.48%,2.55%,2.39%,2.38%,-1.14%,-1.04%,-0.94%,-0.87%,2.83%,2.71%,2.74%,2.81%,2.98%,2.35%,1.86%,1.65%,1.58%,2.33%,3.01%,3.32%,3.26%,2.67%,2.43%,2.24%,2.09%,1.96%,1.74%,1.74%
Dividend Yield,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.30%,0.50%,0.50%,0.70%,0.70%,0.90%,1.00%,1.10%,1.30%,1.60%,1.90%,2.00%,3.00%,2.70%,2.60%,2.70%,2.40%,4.70%,4.00%,4.70%,3.30%,2.80%,2.90%,2.90%,3.40%,3.80%,4.40%,4.90%,4.50%,4.40%,4.40%,5.00%,3.87%
Payout Ratio,1.30%,0.80%,33.30%,1.10%,14.30%,0.70%,3.30%,3.70%,4.90%,4.50%,4.00%,12.90%,14.00%,11.90%,12.50%,22.50%,-4.60%,19.00%,19.60%,26.00%,27.30%,23.90%,23.10%,24.40%,23.60%,48.10%,134.20%,37.20%,26.40%,14.00%,17.80%,23.50%,33.80%,25.10%,23.20%,31.10%,43.60%,23.10%,38.10%,32.30%,33.60%
Buyback Yield / Dilution,-0.57%,0.05%,0.26%,0.20%,0.09%,0.13%,0.44%,1.25%,2.05%,3.17%,3.61%,3.90%,5.23%,6.03%,6.06%,6.82%,7.42%,7.32%,7.55%,7.54%,7.78%,8.61%,9.61%,9.85%,9.83%,9.76%,8.94%,6.38%,3.27%,0.81%,0.54%,3.25%,4.49%,5.17%,5.54%,3.51%,2.29%,1.21%,-0.54%,0.17%,0.17%
Total Shareholder Return,-0.47%,0.15%,0.36%,0.30%,0.19%,0.23%,0.54%,1.45%,2.35%,3.67%,4.11%,4.60%,5.93%,6.93%,7.06%,7.92%,8.72%,8.92%,9.45%,9.54%,10.78%,11.31%,12.21%,12.55%,12.23%,14.46%,12.94%,11.08%,6.57%,3.61%,3.44%,6.15%,7.89%,8.97%,9.94%,8.41%,6.79%,5.61%,3.86%,5.17%,4.03%
