,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"76,781","74,593","83,312","91,120","97,381","98,505","96,184","106,662","114,131","122,684","134,915","123,542","131,877","138,513","143,850","121,676","136,264","118,436","107,484","113,695","92,806","107,649","88,588","76,405","93,238","71,863","72,941","71,808","76,195","95,091","88,238","83,942","87,055","94,952","75,627","72,717","81,920","79,672","80,862","74,622","70,856"
Market Cap Growth,20.59%,7.92%,18.54%,32.34%,26.83%,32.06%,15.45%,17.06%,17.20%,24.55%,40.27%,15.83%,15.55%,12.90%,6.62%,-1.51%,3.33%,-14.49%,-25.28%,-6.56%,-31.89%,-9.11%,-17.58%,-32.80%,0.47%,-33.24%,-17.66%,-6.02%,-18.28%,32.32%,20.97%,16.90%,14.25%,-0.15%,-14.29%,-13.37%,-5.90%,-16.09%,6.92%,2.62%,-
Enterprise Value,"88,123","84,965","96,112","102,872","108,753","108,732","108,981","117,676","124,609","131,719","146,933","135,122","141,189","147,169","155,482","132,984","148,905","130,142","119,954","125,205","117,219","133,465","116,032","102,704","119,163","96,218","97,157","96,940","100,721","118,979","114,602","109,112","110,555","117,521","100,740","96,525","104,570","101,146","107,183","98,183","94,417"
PE Ratio,16.93,17.25,19.28,21.08,19.21,20.05,18.86,20.39,21.78,22.55,23.90,23.71,9.26,9.60,9.75,7.83,13.33,11.05,10.14,10.65,13.33,17.39,14.04,43.27,-72.11,-83.46,-79.80,97.83,17.06,21.92,19.41,30.25,35.17,31.55,43.17,15.48,14.21,14.25,11.86,8.52,8.18
PS Ratio,3.14,3.05,3.41,3.74,3.97,3.97,3.82,4.20,4.49,4.77,5.27,4.79,5.12,5.38,5.55,4.73,5.33,4.63,4.26,4.49,3.66,4.33,3.52,3.03,3.71,2.78,2.85,2.78,2.91,3.68,3.34,3.22,3.35,3.67,2.97,2.88,3.26,3.20,3.25,3.03,2.88
PB Ratio,18.64,18.13,18.96,21.22,32.31,38.89,34.61,36.95,39.63,44.69,42.97,41.96,10.33,11.30,11.58,10.00,8.86,7.69,6.80,7.34,6.28,7.65,6.13,7.25,14.99,10.98,12.82,22.88,26.84,32.64,27.09,-66.25,-54.21,-53.95,-31.47,-17.18,-20.62,-20.55,-21.13,-21.90,-21.90
P/FCF Ratio,18.09,15.89,18.34,20.62,21.64,20.30,19.44,19.45,20.33,20.95,24.63,24.28,36.26,38.62,32.11,28.78,28.98,24.50,16.22,15.92,11.38,14.11,13.25,11.18,12.28,8.54,7.21,8.80,9.34,11.75,14.85,10.35,10.57,11.51,9.35,8.99,10.18,10.02,9.43,8.80,8.36
P/OCF Ratio,17.55,15.42,17.75,19.91,20.88,19.56,18.67,18.74,19.53,20.23,23.74,23.38,34.47,36.61,30.72,27.40,27.80,23.52,15.79,15.53,11.06,13.68,12.78,10.76,11.90,8.28,7.02,8.54,9.09,11.46,14.42,10.13,10.36,11.25,9.13,8.76,9.92,9.76,9.19,8.60,8.16
Debt / Equity Ratio,3.52,3.40,3.18,3.26,4.87,5.49,5.01,4.48,4.46,4.68,4.09,4.71,1.09,1.13,1.12,1.14,0.90,0.90,0.88,0.90,1.74,2.07,2.02,2.65,4.51,4.58,5.11,9.32,10.38,10.19,8.67,-22.20,-17.46,-15.86,-11.52,-6.21,-6.72,-6.55,-7.11,-7.37,-7.37
Quick Ratio,0.47,0.49,0.26,0.32,0.45,0.43,0.20,0.31,0.35,0.45,0.17,0.35,0.64,0.65,0.43,0.41,0.21,0.31,0.25,0.30,0.07,0.35,0.25,0.23,0.28,0.52,0.53,0.52,0.56,0.59,0.35,0.37,0.53,0.49,0.31,0.31,0.47,0.43,0.07,0.15,0.15
Current Ratio,0.93,0.92,0.89,0.77,0.90,0.81,0.74,0.84,0.70,0.87,0.84,0.93,0.98,0.92,0.83,0.77,0.64,0.65,0.65,0.60,0.20,0.62,0.56,0.56,0.59,0.71,0.75,0.77,0.79,0.80,0.72,0.74,0.71,0.62,0.49,0.50,0.84,0.78,0.37,0.33,0.33
Interest Coverage,3.80,12.80,9.46,10.92,10.00,8.47,12.55,12.17,10.48,10.41,14.19,10.64,90.24,12.68,17.44,16.64,13.12,15.85,15.36,17.40,11.55,4.95,9.33,-6.26,-3.19,8.67,9.34,-0.03,9.05,7.30,10.86,-11.42,8.78,10.51,6.73,2.50,12.96,11.83,11.92,11.69,12.07
Return on Capital (ROIC),Upgrade,28.52%,27.91%,27.44%,27.13%,28.06%,30.76%,31.16%,34.48%,34.68%,35.38%,35.43%,33.30%,21.25%,22.51%,22.97%,24.41%,34.68%,35.61%,35.47%,36.10%,16.76%,15.42%,15.84%,20.70%,26.59%,25.13%,26.50%,29.08%,27.68%,28.23%,29.98%,34.37%,34.90%,35.80%,34.56%,33.99%,36.79%,38.25%,37.21%,42.80%
Dividend Yield,4.80%,5.00%,4.60%,4.30%,4.10%,4.10%,4.30%,3.90%,3.70%,3.50%,3.30%,3.60%,3.50%,3.40%,3.30%,3.90%,3.60%,4.20%,4.80%,4.70%,6.10%,5.40%,6.80%,7.90%,6.60%,8.60%,8.60%,8.70%,8.30%,6.70%,7.20%,7.60%,7.40%,6.80%,8.60%,9.00%,8.10%,8.30%,8.30%,9.00%,9.76%
Payout Ratio,200.00%,81.40%,75.00%,74.30%,82.50%,100.00%,71.20%,72.40%,88.30%,91.10%,66.50%,110.90%,11.60%,84.70%,59.20%,68.00%,25.50%,70.00%,70.70%,77.70%,119.40%,133.30%,74.80%,-60.40%,-86.60%,101.20%,80.80%,-168.60%,83.50%,111.70%,74.10%,-60.80%,102.30%,83.30%,183.70%,783.30%,62.70%,94.00%,79.00%,80.30%,79.84%
Buyback Yield / Dilution,1.24%,0.85%,1.11%,1.05%,1.18%,1.18%,1.00%,1.15%,0.80%,0.58%,0.52%,0.35%,0.53%,0.95%,1.27%,1.81%,2.16%,2.01%,2.02%,1.74%,1.53%,1.37%,1.15%,0.91%,0.58%,0.86%,0.67%,0.52%,0.52%,-0.02%,0.42%,0.77%,1.15%,2.23%,2.17%,2.35%,2.44%,1.74%,1.41%,1.46%,1.46%
Total Shareholder Return,6.04%,5.85%,5.71%,5.35%,5.28%,5.28%,5.30%,5.05%,4.50%,4.08%,3.82%,3.95%,4.03%,4.35%,4.57%,5.71%,5.76%,6.21%,6.82%,6.44%,7.63%,6.77%,7.95%,8.81%,7.18%,9.46%,9.27%,9.22%,8.82%,6.68%,7.62%,8.37%,8.55%,9.03%,10.77%,11.35%,10.54%,10.04%,9.71%,10.46%,11.21%
