,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"9,097","8,611","8,407","9,553","11,496","11,752","13,287","16,099","22,749","16,537","18,051"
Market Cap Growth,10.06%,-5.34%,-2.37%,13.62%,20.34%,2.23%,13.06%,21.16%,41.31%,-27.31%,-
Enterprise Value,"7,823","7,644","7,599","8,578","10,444","10,828","12,448","15,009","21,488","15,022","16,932"
PE Ratio,26.10,22.85,18.39,22.17,23.49,19.01,22.51,23.13,16.07,12.18,23.29
PS Ratio,1.50,1.31,1.27,1.57,1.66,1.44,1.67,1.68,1.38,0.97,1.73
PB Ratio,4.36,4.61,4.97,5.18,5.77,5.92,6.05,6.05,6.51,5.32,7.25
P/FCF Ratio,25.69,26.06,16.09,20.31,24.05,22.37,18.34,26.50,27.33,8.10,13.53
P/OCF Ratio,22.32,21.80,14.84,18.04,23.53,20.52,17.22,24.58,26.19,7.77,13.07
EV/Sales Ratio,1.29,1.16,1.15,1.41,1.51,1.33,1.57,1.57,1.30,0.88,1.62
EV/EBITDA Ratio,12.63,11.62,9.74,11.72,13.62,12.44,14.73,14.84,10.89,7.85,13.94
EV/EBIT Ratio,13.70,12.57,10.35,12.52,14.56,13.26,15.67,15.72,11.18,8.09,14.68
EV/FCF Ratio,22.09,23.14,14.55,18.24,21.85,20.61,17.18,24.71,25.82,7.35,12.69
Debt / Equity Ratio,-,-,-,-,-,-,0.18,0.16,0.13,0.17,0.21
Debt / EBITDA Ratio,-,-,-,-,-,-,0.46,0.43,0.24,0.27,0.43
Debt / FCF Ratio,-,-,-,-,-,-,0.54,0.72,0.56,0.25,0.39
Quick Ratio,2.70,2.24,2.23,2.33,2.26,1.89,2.18,1.86,1.49,2.02,1.86
Current Ratio,2.78,2.33,2.30,2.39,2.33,2.06,2.37,2.09,1.78,2.20,2.11
Asset Turnover,1.99,2.25,2.35,2.22,2.29,2.51,2.16,2.31,2.53,2.48,2.09
Interest Coverage,-,-,-,-,-,-,-,4359.40,4675.61,79.73,41.32
Return on Equity (ROE),16.40%,19.80%,24.90%,23.80%,24.80%,31.70%,27.50%,29.80%,44.00%,38.90%,28.80%
Return on Assets (ROA),11.40%,12.90%,16.20%,15.70%,16.20%,19.00%,16.10%,16.80%,21.70%,19.70%,16.20%
Return on Capital (ROIC),16.16%,19.72%,26.55%,22.84%,23.98%,30.35%,22.03%,22.14%,35.50%,37.24%,25.70%
Earnings Yield,3.83%,4.38%,5.44%,4.51%,4.26%,5.26%,4.44%,4.32%,6.22%,8.21%,4.51%
FCF Yield,3.89%,3.84%,6.21%,4.92%,4.16%,4.47%,5.45%,3.77%,3.66%,12.35%,7.39%
Dividend Yield,1.40%,1.40%,1.60%,1.50%,1.30%,1.30%,1.30%,1.10%,0.90%,1.30%,1.11%
Payout Ratio,35.50%,33.30%,29.80%,33.60%,30.80%,25.40%,29.00%,25.10%,13.90%,16.10%,25.89%
Buyback Yield / Dilution,2.38%,4.89%,3.33%,3.95%,0.57%,2.11%,2.04%,1.90%,-0.21%,3.98%,9.34%
Total Shareholder Return,3.78%,6.29%,4.93%,5.45%,1.87%,3.41%,3.34%,3.00%,0.69%,5.28%,10.45%
