,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"21,228","14,965","10,923","8,160","11,998","23,268","38,801","49,188","38,463","62,765","71,252"
Market Cap Growth,28.76%,-29.50%,-27.01%,-25.29%,47.03%,93.92%,66.76%,26.77%,-21.80%,63.18%,-
Enterprise Value,"20,470","14,302","10,505","7,622","11,291","25,211","40,978","51,601","41,270","65,495","73,983"
PE Ratio,47.66,31.47,476.20,46.30,67.96,66.45,109.06,75.33,42.78,51.08,58.60
PS Ratio,5.17,3.33,2.80,1.82,2.47,4.17,6.48,6.52,4.45,6.36,7.22
PB Ratio,10.55,7.03,7.79,5.98,8.32,13.83,19.21,21.41,16.24,20.50,23.27
P/FCF Ratio,49.43,35.14,113.41,32.45,35.91,57.92,133.57,58.30,45.57,51.33,58.27
P/OCF Ratio,31.12,21.90,30.76,17.43,19.30,32.24,58.45,38.37,29.07,35.19,39.95
EV/Sales Ratio,4.98,3.18,2.69,1.70,2.32,4.51,6.85,6.84,4.78,6.63,7.49
EV/EBITDA Ratio,24.82,15.89,56.75,17.36,24.00,37.57,76.98,48.34,28.11,33.76,38.14
EV/EBIT Ratio,28.66,18.58,271.18,27.64,42.06,55.01,139.49,63.49,34.93,40.42,45.65
EV/FCF Ratio,47.66,33.58,109.07,30.31,33.79,62.76,141.06,61.16,48.90,53.56,60.51
Debt / Equity Ratio,-,-,-,-,-,1.69,1.56,1.53,1.58,1.32,1.32
Debt / EBITDA Ratio,-,-,-,-,-,4.25,5.93,3.30,2.54,2.09,2.09
Debt / FCF Ratio,-,-,-,-,-,7.10,10.87,4.17,4.42,3.31,3.31
Quick Ratio,3.23,2.51,1.63,1.79,1.71,1.48,1.32,1.38,1.12,1.39,1.39
Current Ratio,3.50,2.91,1.85,1.94,1.81,1.61,1.73,1.58,1.27,1.57,1.57
Asset Turnover,1.75,1.61,1.87,2.17,2.23,1.16,1.08,1.17,1.29,1.29,1.29
Return on Equity (ROE),24.40%,21.30%,1.60%,12.60%,12.50%,22.10%,19.80%,29.40%,40.00%,43.90%,43.90%
Return on Assets (ROA),19.00%,17.00%,1.10%,8.60%,8.10%,7.20%,6.40%,10.10%,13.40%,16.10%,16.10%
Return on Capital (ROIC),22.02%,22.17%,1.46%,12.69%,11.79%,7.48%,6.79%,11.12%,14.48%,16.60%,16.60%
Earnings Yield,2.10%,3.18%,0.21%,2.16%,1.47%,1.50%,0.92%,1.33%,2.34%,1.96%,1.72%
FCF Yield,2.02%,2.85%,0.88%,3.08%,2.79%,1.73%,0.75%,1.72%,2.19%,1.95%,1.72%
Buyback Yield / Dilution,-0.74%,0.06%,5.47%,4.06%,2.10%,-1.19%,-0.43%,-0.33%,1.57%,1.25%,1.25%
Total Shareholder Return,-0.74%,0.06%,5.47%,4.06%,2.10%,-1.19%,-0.43%,-0.33%,1.57%,1.25%,1.25%
