,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,-,"15,255","14,921","14,956","14,781","14,683","15,673","14,834","12,478","13,443","11,527","12,591","13,510","13,855","14,262","15,732","15,671","14,973","13,634","14,445","14,031","13,418","11,646","11,493"
Market Cap Growth,-,-,-,-,-,-,-3.75%,5.04%,-0.82%,-15.59%,-8.44%,-26.45%,-15.12%,8.27%,3.06%,23.73%,24.95%,16.00%,8.08%,-4.41%,-8.19%,-10.46%,-10.39%,-14.58%,-
Enterprise Value,"4,070",-,"22,791","22,543","23,323","23,781","24,301","25,430","24,761","22,564","23,682","21,409","22,768","24,312","24,805","25,021","26,872","27,214","26,873","25,273","26,456","26,353","26,291","24,365","24,212"
PE Ratio,-,-,43.03,27.07,27.91,25.72,23.96,25.10,22.14,19.50,21.22,18.26,20.36,18.24,17.48,16.26,17.88,19.33,18.27,17.07,19.19,18.16,17.72,17.11,16.85
PS Ratio,-,-,5.29,4.07,3.50,3.02,2.81,3.01,2.88,2.47,2.68,2.33,2.56,2.50,2.54,2.57,2.82,3.01,2.77,2.39,2.47,2.37,2.30,2.08,2.05
PB Ratio,-,-,1.40,1.40,1.49,1.57,1.65,1.82,1.73,1.46,1.57,1.31,1.44,1.53,1.54,1.53,1.70,1.70,1.61,1.42,1.52,1.48,1.41,1.20,1.18
P/FCF Ratio,-,-,117.35,32.21,34.94,37.29,27.84,29.40,27.53,27.61,36.88,37.88,65.07,-50.22,-38.50,-26.97,-25.34,-40.80,-31.08,-34.17,-39.62,-52.01,-59.35,-34.88,-34.88
P/OCF Ratio,-,-,16.12,10.96,9.99,9.24,8.47,8.94,8.48,7.31,8.21,6.69,7.18,9.62,9.52,10.42,11.64,9.52,8.73,7.60,8.02,7.39,6.96,6.21,6.13
Debt / Equity Ratio,1.04,-,0.81,0.78,0.85,1.01,1.09,1.14,1.16,1.22,1.22,1.16,1.18,1.28,1.23,1.16,1.21,1.25,1.28,1.21,1.27,1.30,1.35,1.31,1.31
Quick Ratio,0.36,-,0.64,0.52,0.25,0.32,0.20,0.34,0.25,0.34,0.42,0.51,0.33,0.34,0.29,0.28,0.18,0.16,0.20,0.22,0.20,0.17,0.18,0.16,0.16
Current Ratio,0.88,-,0.95,0.87,0.59,0.58,0.44,0.73,0.63,0.72,0.86,0.91,0.69,0.62,0.64,0.68,0.55,0.51,0.50,0.52,0.53,0.52,0.46,0.39,0.39
Interest Coverage,2.69,2.59,1.97,5.70,1.56,2.19,2.72,5.76,1.64,1.83,2.68,5.37,1.64,3.28,3.18,6.41,1.78,2.46,3.18,5.67,0.75,2.26,2.42,3.63,2.34
Return on Capital (ROIC),,0.72%,-,2.97%,4.44%,4.54%,4.89%,5.00%,5.08%,5.68%,5.46%,5.37%,5.35%,5.14%,5.43%,5.71%,6.04%,5.83%,5.47%,5.52%,5.44%,5.35%,5.39%,5.32%,5.10%
Dividend Yield,-,-,0.70%,1.60%,2.40%,3.10%,3.10%,2.90%,3.00%,3.60%,3.40%,4.00%,3.70%,3.50%,3.50%,3.40%,3.20%,3.20%,3.50%,3.90%,3.70%,3.90%,4.10%,4.80%,5.14%
Payout Ratio,0.00%,0.00%,71.40%,34.80%,-431.80%,121.80%,83.30%,30.40%,162.90%,162.90%,85.60%,31.60%,243.20%,63.70%,66.00%,27.30%,249.10%,108.10%,67.40%,30.80%,2043.30%,98.90%,78.60%,40.10%,86.53%
Buyback Yield / Dilution,-,-,-26.93%,-88.63%,-49.83%,-77.30%,-34.48%,12.57%,-6.59%,10.08%,6.49%,3.19%,0.31%,-0.04%,-0.92%,-1.19%,-1.32%,-1.14%,-0.30%,-0.17%,0.35%,-0.04%,-0.04%,0.04%,0.04%
Total Shareholder Return,-,-,-26.23%,-87.03%,-47.43%,-74.20%,-31.38%,15.47%,-3.59%,13.68%,9.89%,7.19%,4.01%,3.46%,2.58%,2.21%,1.88%,2.06%,3.20%,3.73%,4.05%,3.86%,4.06%,4.84%,5.18%
