,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,158.3,33.9,60.5,101.8,355,18.5,99.5,139.7,366.8,63.9,69.4,133.4,364.5,51,191.6,185.3,449.4,53.4,122.5,194.5,428.2,7.5,142.6,179.1,351.6
Depreciation & Amortization,94.6,94.4,89.6,128.1,193.9,207.2,213.6,215.4,216.1,216.6,218.5,221.6,218,222,219.3,225.2,225,226.9,229,232.1,233.2,235.1,263.4,269.4,273.3
Share-Based Compensation,2.1,2.1,2.5,17.5,5.2,4.7,5.4,4,3.5,3.4,4.6,4.1,3.4,3.9,3.1,4.2,4.1,4.2,4.5,6.5,4.2,3.6,4.8,6.7,2.5
Other Operating Activities,124,39.6,107,-109.8,240.3,75.8,43.6,-87.5,227.2,17.8,28.1,-157.2,313.3,55.2,-442.6,-161.5,132.9,31.2,-90.9,-109.3,223.2,78,-47.9,-102.9,209.1
Operating Cash Flow,379,170,259.6,137.6,794.4,306.2,362.1,271.6,813.6,301.7,320.6,201.9,899.2,332.1,-28.6,253.2,811.4,315.7,265.1,323.8,888.8,324.2,362.9,352.3,836.5
Operating Cash Flow Growth,-,-,-,-,109.60%,80.12%,39.48%,97.38%,2.42%,-1.47%,-11.46%,-25.66%,10.52%,10.08%,-,25.41%,-9.76%,-4.94%,-,27.88%,9.54%,2.69%,36.89%,8.80%,-5.88%
Capital Expenditures,-181,-200,-174.8,-260.4,-263.1,-371.4,-309,-263.4,-276.7,-361,-354.4,-281.2,-422.5,-502.2,-467.7,-423.4,-503.6,-577.8,-524.7,-591.7,-498.2,-551.9,-527.7,-576.5,-553.7
Acquisitions,0,0,0,"1,154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-217.9,0
Change in Investments,-0.8,-0.4,0.7,145,-1.9,-3,-2.5,0,-2.6,-3.4,-3.8,-2.8,0.5,-3,-3.7,-4.4,-5,-29.4,-3.9,3.9,-6.2,-17,-3.4,-3.3,-1.2
Other Investing Activities,-0.1,1,-,-17.8,-7.1,-3,40.1,5.3,36.7,56.2,24.8,16.2,-6.7,1.4,-3.8,-15.2,77.7,42.5,-2.7,-9.8,8.2,41.8,34.2,-12.8,70.4
Investing Cash Flow,-181.9,-199.4,-174.1,"1,021",-272.1,-377.4,-271.4,-258.1,-242.6,-308.2,-333.4,-267.8,-428.7,-503.8,-475.2,-443,-430.9,-564.7,-531.3,-597.6,-496.2,-527.1,-496.9,-810.5,-484.5
Dividends Paid,-56.9,-56.8,-57.4,-170.9,-122.1,-124.6,-119.8,-115.8,-111.9,-115,-114.5,-114.5,-114.6,-121.4,-121.4,-122.6,-122.7,-131.2,-131.3,-131.4,-131.4,-140.7,-140.7,-140.6,-140.7
Share Issuance / Repurchase,-0.6,0,0,0,-486.1,-556.2,-578.3,-550.4,-500,0,0,0,0,0,0,112.5,0,0,0,0,0,0,0,0,0
Debt Issued / Paid,-140,89.7,-15.4,295.4,-513.5,233.7,999.5,214.6,60.3,96.1,414.9,56.6,-169.5,78.2,965.4,-221.9,-288.5,383.1,399.9,406.5,-256.9,345.7,282,602.3,-201
Other Financing Activities,0.6,-3.5,-4.9,-14.2,-1,-1.2,-4.5,-2.8,-76.3,-1.5,-6.4,-4.4,-1,-1.8,-3.1,-1.8,-2.4,-2,-6.4,-1.1,-2,-1.6,-4.1,-0.5,-0.7
Financing Cash Flow,-196.9,29.4,-77.7,110.3,"-1,122.7",-448.3,296.9,-454.4,-627.9,-20.4,294,-62.3,-285.1,-45,840.9,-233.8,-413.6,249.9,262.2,274,-390.3,203.4,137.2,461.2,-342.4
Net Cash Flow,0.2,0,7.8,"1,269",-600.4,-519.5,387.6,-440.9,-56.9,-26.9,281.2,-128.2,185.4,-216.7,337.1,-423.6,-33.1,0.9,-4,0.2,2.3,0.5,3.2,3,9.6
Free Cash Flow,198,-30,84.8,-122.8,531.3,-65.2,53.1,8.2,536.9,-59.3,-33.8,-79.3,476.7,-170.1,-496.3,-170.2,307.8,-262.1,-259.6,-267.9,390.6,-227.7,-164.8,-224.2,282.8
Free Cash Flow Growth,-,-,-,-,168.33%,-,-37.38%,-,1.05%,-,-,-,-11.21%,-,-,-,-35.43%,-,-,-,26.90%,-,-,-,-27.60%
Free Cash Flow Margin,24.93%,-5.04%,14.13%,-13.75%,33.57%,-5.43%,4.36%,0.67%,34.03%,-5.24%,-3.03%,-6.69%,31.41%,-15.54%,-30.79%,-13.77%,19.04%,-23.36%,-21.21%,-18.52%,20.46%,-17.79%,-12.71%,-16.56%,16.94%
Free Cash Flow Per Share,1.39,-0.21,0.59,-0.68,1.98,-0.30,0.21,0.03,2.29,-0.26,-0.15,-0.35,2.10,-0.75,-2.18,-0.74,1.34,-1.14,-1.13,-1.17,1.70,-0.99,-0.72,-0.97,1.23
