,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,609.3,794.3,594.8,600.2,893.4,"1,583","1,200","1,217","1,222","1,578","1,132","1,117","1,185","1,518","1,094","1,612","1,236","1,617","1,122","1,224","1,447","1,909","1,280","1,297","1,354","1,669"
Revenue Growth (YoY),-,-,-,-,46.63%,99.23%,101.71%,102.75%,36.75%,-0.31%,-5.68%,-8.23%,-3.03%,-3.80%,-3.29%,44.34%,4.35%,6.52%,2.53%,-24.07%,17.01%,18.10%,14.04%,5.96%,-6.38%,-12.56%
Cost of Revenue,313.2,393,336.9,343.2,581.9,772.5,756.9,700.4,643,731.3,660.1,608.4,600.5,686.9,629.4,980,617.8,694.6,662.5,639.9,778.6,990.8,820.2,651.7,647.8,807
Gross Profit,296.1,401.3,257.9,257,311.5,810,442.9,516.5,578.7,846.3,471.5,508.3,584.2,830.7,465,631.9,618.4,921.9,459.6,584,667.9,918.3,459.4,645.1,706.4,862.3
Other Operating Expenses,135.9,136.4,135.6,133.5,184.6,276.9,292.8,306.9,307,307.6,305.7,310.8,312.5,309,312,314.2,323.1,321.2,318.4,330.9,332.4,339.9,359.2,365.8,369.8,376.4
Operating Expenses,135.9,136.4,135.6,133.5,184.6,276.9,292.8,306.9,307,307.6,305.7,310.8,312.5,309,312,314.2,323.1,321.2,318.4,330.9,332.4,339.9,359.2,365.8,369.8,376.4
Operating Income,160.2,264.9,122.3,123.5,126.9,533.1,150.1,209.6,271.7,538.7,165.8,197.5,271.7,521.7,153,317.7,295.3,600.7,141.2,253.1,335.5,578.4,100.2,279.3,336.6,485.9
Interest Expense / Income,43.7,43.4,42.8,43.8,58.4,89.1,88.3,91.1,95.4,90.8,96.7,96.2,99.5,94.8,93.4,94,93.8,93.6,91.2,91.8,99.3,102.3,110.6,123.1,133.7,136.8
Other Expense / Income,8.5,7.4,7,10,11.7,24.9,12.6,9.7,12.2,15.6,7.4,21.8,5.1,12.4,0.2,9.1,-3.4,0.5,-21,27.3,19.6,-1.6,17.7,1.2,13,-11.3
Pretax Income,108,214.1,72.5,69.7,56.8,419.1,49.2,108.8,164.1,432.3,61.7,79.5,167.1,414.5,59.4,214.6,204.9,506.6,71,134,216.6,477.7,-28.1,155,189.9,360.4
