,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,694,674,"1,211","1,224","2,461","1,252","2,942","4,767","16,414","9,549","22,670"
Market Cap Growth,28.47%,-2.88%,79.56%,1.06%,101.13%,-49.14%,135.06%,62.02%,244.32%,-41.82%,-
Enterprise Value,994,"1,031","3,144","3,047","4,188","2,803","4,518","6,248","19,773","12,958","26,496"
PE Ratio,-16.26,37.15,-53.03,8.48,63.46,6.10,13.26,15.20,9.51,3.47,15.32
PS Ratio,0.47,0.42,0.34,0.19,0.35,0.16,0.40,0.56,0.83,0.42,1.31
PB Ratio,45.18,16.77,8.12,3.95,6.54,2.10,3.57,4.14,3.42,1.92,4.95
P/FCF Ratio,-11.56,338.82,8.81,9.88,20.66,6.72,7.40,30.46,10.73,2.92,10.30
P/OCF Ratio,-14.59,24.52,6.84,7.73,13.78,4.43,5.84,18.33,9.41,2.65,8.50
EV/Sales Ratio,0.67,0.64,0.88,0.48,0.60,0.36,0.62,0.73,0.99,0.57,1.53
EV/EBITDA Ratio,17.42,17.44,21.10,8.80,11.08,6.00,9.18,9.46,6.74,3.04,9.57
EV/EBIT Ratio,20.82,20.79,34.64,12.89,14.69,7.60,11.52,11.49,8.28,3.44,11.98
EV/FCF Ratio,-16.55,518.28,22.87,24.60,35.16,15.05,11.36,39.93,12.93,3.96,12.03
Debt / Equity Ratio,23.03,9.33,13.40,5.94,4.74,2.62,1.93,1.65,0.71,0.70,0.85
Debt / EBITDA Ratio,6.21,6.34,13.41,5.31,4.72,3.34,3.23,2.88,1.16,0.82,1.41
Debt / FCF Ratio,-5.90,188.39,14.53,14.84,14.98,8.39,4.00,12.17,2.22,1.07,1.78
Quick Ratio,1.56,1.06,0.89,0.85,0.95,1.00,0.86,1.23,0.94,0.96,0.96
Current Ratio,2.62,1.93,1.62,1.61,1.75,1.88,1.59,2.07,1.86,1.90,1.76
Asset Turnover,2.81,2.82,1.98,2.16,2.30,2.46,2.24,2.21,1.92,1.97,1.63
Interest Coverage,0.53,1.63,0.83,1.10,1.48,3.41,3.58,4.01,17.57,19.01,11.79
Return on Equity (ROE),-345.50%,64.50%,-23.60%,63.20%,10.50%,41.10%,30.20%,32.10%,33.20%,53.80%,34.00%
Return on Assets (ROA),-8.10%,3.20%,-1.30%,4.90%,1.30%,6.50%,6.80%,8.10%,16.60%,23.80%,14.80%
Return on Capital (ROIC),13.01%,11.26%,4.23%,73.31%,5.57%,13.46%,12.74%,13.66%,22.30%,34.34%,20.25%
Earnings Yield,-6.15%,2.69%,-1.89%,11.80%,1.58%,16.39%,7.54%,6.58%,10.51%,28.79%,6.94%
FCF Yield,-8.65%,0.30%,11.36%,10.12%,4.84%,14.87%,13.52%,3.28%,9.32%,34.24%,9.71%
Buyback Yield / Dilution,-1.03%,-4.22%,-2.65%,-10.07%,-1.77%,-0.83%,-0.40%,-0.76%,-72.55%,19.65%,19.62%
Total Shareholder Return,-1.03%,-4.22%,-2.65%,-10.07%,-1.77%,-0.83%,-0.40%,-0.76%,-72.55%,19.65%,19.62%
