,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,-42.69,18.15,-22.83,144.34,38.78,205.19,221.81,313.54,"1,725","2,749"
Depreciation & Amortization,9.31,9.52,58.28,109.79,92.99,97.91,100.04,116.57,547.35,497.14
Share-Based Compensation,4.25,6.16,6.85,10.55,13.51,14.42,12.24,17.02,31.49,31.34
Other Operating Activities,-18.44,-6.33,134.74,-106.46,33.25,-34.69,169.96,-187.06,-560.71,321.39
Operating Cash Flow,-47.58,27.49,177.03,158.23,178.53,282.83,504.05,260.07,"1,744","3,599"
Operating Cash Flow Growth,-,-,543.92%,-10.62%,12.83%,58.42%,78.22%,-48.40%,570.42%,106.43%
Capital Expenditures,-12.46,-25.5,-39.54,-34.36,-59.43,-96.66,-106.33,-103.58,-214.33,-329.47
Acquisitions,0,-69.34,"-1,468.51",-3.97,0,0,-92.86,-32.64,"-1,130.31",-628.01
Other Investing Activities,13.03,-,-,-,-,-,-,-,-,-
Investing Cash Flow,0.57,-94.84,"-1,508.05",-38.33,-59.43,-96.66,-199.18,-136.23,"-1,344.64",-957.48
Share Issuance / Repurchase,0.72,0.53,117.04,5.54,5.41,-0.95,-5.52,-2.73,"-1,714.04","-2,627.72"
Debt Issued / Paid,-30.41,29.9,"1,261",-176.05,-81.43,-232.63,-295.38,288.6,933.92,23.81
Other Financing Activities,-0.04,-,-,-,-,-,-,-,-,-
Financing Cash Flow,-29.73,30.42,"1,378",-170.51,-76.02,-233.58,-300.9,285.87,-780.11,"-2,603.91"
Net Cash Flow,-76.74,-36.92,47.29,-50.61,43.08,-47.41,3.97,409.71,-381.2,37.84
Free Cash Flow,-60.04,1.99,137.5,123.87,119.1,186.17,397.72,156.49,"1,529","3,270"
Free Cash Flow Growth,-,-,6809.45%,-9.91%,-3.85%,56.31%,113.63%,-60.65%,877.23%,113.82%
Free Cash Flow Margin,-4.03%,0.12%,3.86%,1.95%,1.69%,2.41%,5.46%,1.83%,7.69%,14.39%
Free Cash Flow Per Share,-0.62,0.02,1.33,1.12,1.06,1.63,3.44,1.34,7.58,20.19
