,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,"10,082","4,476","14,427","16,140","16,618","26,696","25,998","16,473","30,557","26,015"
Depreciation & Amortization,"2,683","2,522","2,389","2,241","2,103","2,063","1,729","1,843","1,898","1,978"
Share-Based Compensation,0,78,-89,"1,367","1,649","1,729","1,974","2,031","2,768","2,862"
Other Operating Activities,"78,703","22,675","10,187","-4,153","-12,120","7,581","30,644","16,225","-43,837","-38,695"
Operating Cash Flow,"92,817","30,795","28,397","17,277","9,864","39,520","61,777","37,993","-7,193","-6,327"
Operating Cash Flow Growth,-,-66.82%,-7.79%,-39.16%,-42.91%,300.65%,56.32%,-38.50%,-,-
Change in Investments,"25,546","-5,756","-55,865","-62,693","-59,952","-69,482","-77,656","-174,176","-309,812","2,083"
Other Investing Activities,-488,"-2,504",294,408,"8,411","-1,986","-2,974","-3,489","-3,479","-4,612"
Investing Cash Flow,"25,058","-8,260","-55,571","-62,285","-51,541","-71,468","-80,630","-177,665","-313,291","-2,529"
Dividends Paid,"-1,677","-2,306","-3,574","-4,194","-5,700","-6,895","-5,934","-7,727","-8,055","-8,576"
Share Issuance / Repurchase,"-3,220","-1,675","-2,374","-5,112","-12,814","-20,094","-28,144","-7,025","-25,126","-5,073"
Debt Issued / Paid,"-99,088","-13,832","-26,755","-24,100","19,568","8,824","-16,249","9,386","56,287","38,340"
Other Financing Activities,"8,543","5,612","81,238","66,559","48,214","71,283","53,704","361,185","268,544","-130,730"
Financing Cash Flow,"-95,442","-12,201","48,535","33,153","49,268","53,118","3,377","355,819","291,650","-106,039"
Exchange Rate Effect,"-1,863","-3,067",-597,240,"2,105","-1,200",-368,"2,756","-3,408","-3,123"
Net Cash Flow,"20,570","7,267","20,764","-11,615","9,696","19,970","-15,844","218,903","-32,242","-118,018"
Free Cash Flow,"92,817","30,795","28,397","17,277","9,864","39,520","61,777","37,993","-7,193","-6,327"
Free Cash Flow Growth,-,-66.82%,-7.79%,-39.16%,-42.91%,300.65%,56.32%,-38.50%,-,-
Free Cash Flow Margin,104.36%,35.85%,34.23%,20.64%,11.32%,43.42%,67.71%,44.42%,-8.07%,-6.66%
Free Cash Flow Per Share,8.65,2.92,2.71,1.68,0.97,3.91,6.58,4.34,-0.85,-0.78
