,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,64024000000,58876000000,64664000000,61939000000,63169000000,49746000000,32549000000,43636000000,42650000000,56302000000,65225000000,71349000000,80860000000,87983000000,113031000000,109592000000,91753000000,84007000000,80301000000,88105000000
totalRevenue,71895000000,63625000000,69091000000,65049000000,67173000000,56158000000,32605000000,46199000000,46540000000,59147000000,67742000000,73786000000,84965000000,90500000000,115681000000,112070000000,95429000000,86564000000,82914000000,90760000000
costOfRevenue,4229000000,2770000000,2827000000,3110000000,4004000000,6412000000,56000000,2563000000,3890000000,2845000000,2517000000,2437000000,4105000000,2517000000,2650000000,2478000000,3676000000,2557000000,2613000000,2655000000
costofGoodsAndServicesSold,51985000000,48342000000,53095000000,49011000000,49177000000,2777000000,-2624000000,-153000000,62332000000,45667000000,50752000000,53454000000,61933000000,71512000000,80750000000,77156000000,66190000000,59683000000,60700000000,66187000000
operatingIncome,60117000000,55826000000,61504000000,58887000000,59511000000,46088000000,29926000000,41004000000,37543000000,53671000000,62694000000,68868000000,76695000000,85401000000,110215000000,107050000000,88039000000,81476000000,77719000000,85278000000
sellingGeneralAndAdministrative,2848000000,2770000000,2827000000,2753000000,3048000000,2579000000,2409000000,2444000000,2736000000,2428000000,2345000000,2287000000,2514000000,2409000000,2530000000,2324000000,2832000000,2390000000,2449000000,2489000000
researchAndDevelopment,,,,,,,,,,,,,,,,,,,,
operatingExpenses,3907000000,3050000000,3160000000,3052000000,3658000000,3658000000,2623000000,2632000000,5107000000,2631000000,2531000000,2481000000,4165000000,2582000000,2816000000,2542000000,3714000000,2531000000,2582000000,2827000000
investmentIncomeNet,,,,,,,,,,,,,,,,,,,,
netInterestIncome,-215000000,-181000000,-216000000,-232000000,-201000000,-249000000,-317000000,-279000000,-313000000,-258000000,-254000000,-214000000,-221000000,-188000000,-194000000,-209000000,-207000000,-159000000,-249000000,-169000000
interestIncome,,1528000000,1143000000,964000000,976000000,526000000,214000000,238000000,24000000,1215000000,1182000000,1456000000,1857000000,2350000000,3494000000,4423000000,398000000,2222000000,1133000000,1288000000
interestExpense,215000000,181000000,216000000,232000000,201000000,249000000,317000000,279000000,313000000,258000000,254000000,214000000,221000000,188000000,194000000,209000000,207000000,159000000,249000000,169000000
nonInterestIncome,-211217000000,61646000000,67491000000,63422000000,62920000000,55134000000,32277000000,45425000000,45714000000,57552000000,65943000000,71892000000,81287000000,87734000000,111265000000,106512000000,-305729000000,83644000000,80795000000,
otherNonOperatingIncome,1886000000,270000000,241000000,431000000,2972000000,249000000,225000000,257000000,465000000,122000000,363000000,224000000,1582000000,228000000,728000000,926000000,,,,
depreciation,,,,,,,,,,,,,,,,,,,,
depreciationAndAmortization,5028000000,4571000000,4631000000,4873000000,4923000000,5819000000,4916000000,4983000000,30291000000,5004000000,4952000000,4990000000,5661000000,8883000000,4451000000,5642000000,5064000000,4244000000,4242000000,4415000000
incomeBeforeTax,7915000000,4233000000,4371000000,4644000000,6374000000,-98000000,-1551000000,-343000000,-26080000000,3526000000,6216000000,9414000000,11520000000,8286000000,24209000000,24884000000,18537000000,16390000000,11383000000,13423000000
incomeTaxExpense,1915000000,1883000000,1241000000,1474000000,684000000,512000000,-471000000,337000000,-6010000000,796000000,1526000000,2664000000,2650000000,2806000000,6359000000,5224000000,5787000000,4960000000,3503000000,4353000000
interestAndDebtExpense,215000000,181000000,216000000,232000000,201000000,249000000,317000000,279000000,313000000,258000000,254000000,214000000,221000000,188000000,194000000,209000000,207000000,159000000,249000000,169000000
netIncomeFromContinuingOperations,6206000000,2406000000,3391000000,3247000000,5730000000,-770000000,-1169000000,-709000000,-20603000000,2796000000,4781000000,6942000000,9079000000,5750000000,18574000000,20198000000,13055000000,11843000000,8153000000,9346000000
comprehensiveIncomeNetOfTax,4806000000,3132000000,3707000000,2098000000,5474000000,-5456000000,1642000000,748000000,-16586000000,3345000000,5194000000,5640000000,11802000000,6330000000,15747000000,16874000000,17283000000,11605000000,8318000000,8639000000
