,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"26,032","29,720","23,534","23,435","24,321","30,050","22,067","33,939","22,297","23,224","22,795"
Market Cap Growth,39.25%,14.17%,-20.81%,-0.42%,3.78%,23.56%,-26.57%,53.80%,-34.30%,4.16%,-
Enterprise Value,"36,837","40,599","32,302","32,291","33,022","39,301","30,341","42,233","29,895","30,786","30,357"
PE Ratio,41.51,34.43,5.49,39.03,37.16,31.07,24.24,25.52,28.81,27.90,27.29
PS Ratio,9.96,10.83,9.70,9.48,9.44,11.13,8.58,13.77,8.15,8.08,7.93
PB Ratio,2.51,2.84,2.30,2.29,2.39,2.91,2.10,3.10,2.00,2.10,2.06
P/FCF Ratio,39.74,47.16,3.34,34.61,24.67,48.18,11.35,37.85,12.91,19.63,19.27
P/OCF Ratio,19.66,21.91,19.38,18.51,17.93,20.62,17.44,26.93,15.33,15.15,14.87
EV/Sales Ratio,14.09,14.79,13.32,13.07,12.81,14.55,11.80,17.14,10.93,10.71,10.56
EV/EBITDA Ratio,19.92,19.47,5.89,18.61,17.74,17.86,14.37,17.18,15.29,15.33,15.12
EV/EBIT Ratio,33.79,30.86,6.76,32.69,30.81,28.94,23.71,26.29,28.18,27.83,27.44
EV/FCF Ratio,56.23,64.43,4.59,47.68,33.49,63.02,15.61,47.10,17.30,26.03,25.66
Debt / Equity Ratio,1.05,1.04,0.88,0.87,0.87,0.91,0.80,0.79,0.69,0.69,0.69
Debt / EBITDA Ratio,5.87,5.24,1.64,5.16,4.74,4.26,3.96,3.52,3.96,3.84,3.84
Debt / FCF Ratio,16.55,17.33,1.28,13.23,8.94,15.02,4.31,9.65,4.48,6.51,6.51
Asset Turnover,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.14,0.14
Interest Coverage,2.38,2.96,9.90,2.57,2.59,3.48,3.50,5.90,3.75,4.10,4.10
Return on Equity (ROE),6.10%,8.30%,40.30%,5.80%,6.40%,9.50%,8.60%,12.60%,7.00%,7.50%,7.50%
Return on Assets (ROA),2.70%,3.70%,20.30%,2.90%,3.20%,4.60%,4.40%,6.50%,3.80%,4.10%,4.10%
Return on Capital (ROIC),4.34%,4.71%,4.45%,4.41%,4.51%,4.63%,4.16%,3.08%,4.29%,4.67%,4.67%
Earnings Yield,2.41%,2.90%,18.22%,2.56%,2.69%,3.22%,4.13%,3.92%,3.47%,3.58%,3.65%
FCF Yield,2.52%,2.12%,29.90%,2.89%,4.05%,2.08%,8.81%,2.64%,7.75%,5.09%,5.19%
Dividend Yield,2.80%,2.70%,20.20%,3.20%,3.30%,2.80%,4.10%,2.70%,4.20%,4.30%,4.41%
Payout Ratio,114.90%,93.30%,110.80%,122.90%,121.30%,87.00%,98.40%,67.70%,121.40%,120.50%,120.45%
Buyback Yield / Dilution,-6.61%,-0.76%,-0.36%,-0.18%,-0.27%,-0.69%,0.12%,-0.57%,-0.35%,-0.37%,-0.37%
Total Shareholder Return,-3.81%,1.94%,19.84%,3.02%,3.03%,2.11%,4.22%,2.13%,3.85%,3.93%,4.04%
