,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"15,085","21,334","19,291","23,455","20,604","18,496","27,042","23,778","25,929","24,295","25,434"
Market Cap Growth,2.46%,41.43%,-9.58%,21.58%,-12.15%,-10.23%,46.20%,-12.07%,9.04%,-6.30%,-
Enterprise Value,"25,106","33,129","30,924","35,749","33,924","31,995","43,468","47,838","55,072","56,477","59,756"
PE Ratio,16.49,13.24,18.91,17.89,36.47,-43.73,21.06,32.18,34.16,39.70,20.66
PS Ratio,1.20,1.59,1.67,1.98,1.67,1.46,2.19,1.75,1.74,1.41,1.53
PB Ratio,1.46,1.95,1.70,1.96,1.77,1.60,1.74,1.69,1.63,1.56,1.62
P/FCF Ratio,-23.87,-32.42,67.93,-47.38,-83.42,-13.92,-5.22,-5.63,-4.72,-9.48,-12.68
P/OCF Ratio,5.08,6.57,4.28,7.21,5.73,5.82,-88.09,18.83,2357.16,7.55,6.97
EV/Sales Ratio,2.00,2.47,2.68,3.01,2.75,2.53,3.52,3.52,3.69,3.28,3.59
EV/EBITDA Ratio,7.18,7.29,7.40,8.33,9.11,19.59,11.53,13.68,13.76,12.65,10.31
EV/EBIT Ratio,13.94,12.15,14.22,16.31,21.08,-104.22,22.09,32.59,32.13,30.84,19.24
EV/FCF Ratio,-39.72,-50.35,108.89,-72.22,-137.35,-24.07,-8.39,-11.33,-10.02,-22.04,-30.62
Debt / Equity Ratio,0.99,1.10,1.04,1.04,1.24,1.19,1.06,1.72,1.86,2.12,2.22
Debt / EBITDA Ratio,2.92,2.65,2.84,2.91,3.90,8.38,4.36,6.91,7.38,7.41,6.00
Debt / FCF Ratio,-16.13,-18.28,41.81,-25.18,-58.77,-10.30,-3.17,-5.72,-5.38,-12.92,-18.17
Quick Ratio,0.36,0.30,0.32,0.21,0.30,0.46,0.59,0.25,0.32,0.36,0.47
Current Ratio,0.70,0.65,0.54,0.36,0.53,0.65,0.70,0.49,0.64,0.68,0.80
Asset Turnover,0.28,0.27,0.23,0.23,0.23,0.24,0.20,0.20,0.21,0.23,0.21
Interest Coverage,3.31,4.87,3.92,3.77,2.52,-0.42,2.34,1.63,1.85,1.57,2.02
Return on Equity (ROE),9.40%,15.30%,8.80%,11.20%,4.60%,-3.60%,9.40%,4.70%,4.90%,3.90%,7.90%
Return on Assets (ROA),2.00%,3.30%,2.00%,2.60%,1.10%,-0.80%,2.10%,1.10%,1.00%,0.80%,1.60%
Return on Capital (ROIC),6.74%,8.55%,6.05%,7.50%,3.95%,-2.19%,6.91%,4.90%,3.81%,3.79%,4.78%
Earnings Yield,6.07%,7.56%,5.29%,5.59%,2.74%,-2.29%,4.75%,3.11%,2.93%,2.52%,4.85%
FCF Yield,-4.19%,-3.08%,1.47%,-2.11%,-1.20%,-7.19%,-19.17%,-17.75%,-21.19%,-10.55%,-7.52%
Dividend Yield,3.00%,2.30%,2.90%,2.80%,3.50%,4.30%,3.30%,4.10%,3.90%,4.50%,4.71%
Payout Ratio,48.70%,29.90%,55.30%,49.30%,129.10%,-186.80%,65.50%,130.10%,134.40%,176.30%,97.20%
Buyback Yield / Dilution,0.30%,-,-,-0.30%,0.61%,0.61%,-4.60%,-9.68%,-1.60%,-0.79%,-0.52%
Total Shareholder Return,3.30%,2.30%,2.90%,2.50%,4.11%,4.91%,-1.30%,-5.58%,2.30%,3.71%,4.18%
