,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"3,426","3,098","2,981","3,167","3,784","4,305","4,179","3,897","4,341","5,014","5,545","5,455","6,208","5,979","6,952","7,123","7,327","6,532","7,306","9,080","7,262","8,175","9,196","10,459","11,123","11,242","16,720","20,299","20,944","20,881","26,510","31,407","34,744","30,508","22,398","18,222","17,424","25,686","28,396","27,713","26,788"
Market Cap Growth,83.39%,38.87%,22.68%,10.30%,10.44%,38.93%,40.19%,23.03%,14.73%,16.48%,32.70%,39.98%,43.01%,19.24%,25.38%,30.59%,18.01%,9.26%,5.08%,27.46%,-0.88%,25.15%,25.88%,15.19%,53.17%,37.51%,81.81%,94.08%,88.30%,85.74%,58.55%,54.72%,65.89%,46.11%,-15.51%,-41.98%,-49.85%,-15.81%,26.78%,52.09%,-
Enterprise Value,"3,570","3,273","3,116","3,263","3,864","4,428","4,253","3,943","4,365","5,068","5,574","5,480","6,234","6,038","6,955","7,084","7,288","6,530","7,276","8,979","7,121","8,183","9,142","10,331","11,013","11,234","16,601","20,105","20,655","20,718","26,253","31,035","34,307","30,172","22,012","17,793","16,847","25,114","27,911","27,122","26,196"
PE Ratio,30.51,28.77,25.90,26.55,29.77,32.39,33.95,41.63,45.41,59.13,54.52,39.58,43.23,32.80,39.41,37.53,48.62,48.97,48.48,58.62,35.10,37.38,40.21,45.51,46.02,43.14,58.52,65.12,60.50,49.35,51.06,51.28,52.50,44.58,32.67,28.90,29.74,46.52,54.74,49.54,48.79
PS Ratio,2.50,2.25,2.13,2.24,2.66,3.05,2.98,2.80,3.10,3.52,3.81,3.67,4.11,3.90,4.50,4.55,4.58,4.01,4.36,5.31,4.23,4.68,5.20,5.84,6.05,5.96,8.60,9.96,9.76,8.98,10.51,11.72,12.27,10.59,7.65,6.26,6.04,8.91,9.91,9.47,9.15
PB Ratio,3.78,3.32,3.07,3.27,3.95,4.57,4.22,3.92,4.24,4.67,5.00,4.78,5.56,5.12,5.60,5.41,5.72,5.00,5.70,6.72,5.20,5.97,6.36,7.03,7.07,7.54,10.41,11.81,11.29,11.42,13.04,14.26,14.88,13.12,9.24,7.38,6.49,9.25,10.34,9.66,9.34
P/FCF Ratio,49.94,35.01,42.10,38.58,53.29,69.88,57.48,50.94,53.73,65.03,82.15,113.40,126.18,87.41,83.76,67.97,55.29,39.28,42.40,47.12,39.49,44.02,45.82,48.60,46.19,45.51,59.46,73.57,70.26,67.99,93.48,93.11,105.09,79.86,55.79,46.99,39.65,62.65,71.56,65.98,63.78
P/OCF Ratio,15.54,14.73,15.28,15.40,20.69,25.00,22.53,20.47,20.44,23.07,25.67,25.30,28.30,25.22,28.24,28.09,27.83,22.71,25.70,30.58,25.16,28.07,29.26,31.31,30.29,29.84,39.84,47.18,44.33,41.42,52.98,54.92,59.49,47.19,33.17,27.86,24.07,36.13,40.16,36.08,34.87
Debt / Equity Ratio,0.41,0.43,0.37,0.35,0.35,0.35,0.33,0.30,0.29,0.22,0.21,0.20,0.20,0.20,0.18,0.17,0.15,0.15,0.15,0.15,0.14,0.20,0.19,0.18,0.21,0.22,0.20,0.19,0.18,0.18,0.16,0.14,0.14,0.14,0.14,0.12,0.12,0.11,0.11,0.11,0.11
Quick Ratio,1.75,1.93,1.97,1.83,1.72,1.34,1.44,1.51,1.45,1.61,1.76,1.75,1.67,1.54,1.62,1.74,1.75,1.86,1.82,2.08,2.21,1.94,2.10,2.13,2.22,1.94,2.10,1.99,1.99,1.97,2.24,2.08,2.11,1.99,2.21,2.66,2.70,2.62,2.60,2.66,2.66
