,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"7,985","8,093","9,460","10,362","11,011","11,647","14,080","12,359","11,766","12,181","13,014","11,999","10,314","12,021","11,804","10,612","10,758","11,163","10,521","11,933","10,783","12,144","11,753","13,163","12,565","8,593","7,889","9,092","11,685","11,351","12,480","11,503","10,422","10,843","7,491","6,435","10,061","8,982","11,073","8,725","10,077"
Market Cap Growth,69.91%,29.65%,44.13%,40.72%,37.89%,43.91%,48.84%,19.27%,6.86%,4.59%,-7.57%,-2.91%,-12.35%,-1.31%,-9.30%,-11.56%,4.31%,-7.14%,-10.87%,12.45%,0.23%,8.79%,11.72%,10.30%,16.52%,-29.24%,-32.88%,-30.92%,-7.00%,32.09%,58.20%,26.51%,-10.81%,-4.47%,-39.98%,-44.06%,-3.46%,-17.16%,47.81%,35.59%,-
Enterprise Value,"11,277","11,290","12,593","13,777","14,258","14,752","17,072","15,414","15,137","15,407","16,552","15,571","14,416","15,857","15,852","14,587","14,724","15,011","14,434","15,876","14,677","16,318","16,173","17,382","16,814","12,686","11,218","11,932","14,655","14,528","16,194","15,379","14,866","15,407","12,387","11,527","15,229","14,145","16,171","14,028","15,380"
PE Ratio,15.64,15.30,17.89,20.85,20.19,20.03,23.00,18.19,17.29,17.48,18.58,17.09,14.68,16.75,16.45,15.01,14.30,14.50,12.98,14.19,13.83,15.37,14.65,18.09,15.42,11.89,10.71,10.33,12.38,11.23,11.51,10.84,10.51,11.58,9.66,8.70,14.89,13.12,16.00,12.90,17.02
PS Ratio,1.08,1.08,1.23,1.31,1.34,1.37,1.62,1.39,1.30,1.31,1.38,1.25,1.06,1.21,1.17,1.04,1.03,1.07,1.00,1.12,1.00,1.12,1.06,1.17,1.10,0.75,0.70,0.80,1.01,0.97,1.02,0.92,0.82,0.84,0.57,0.49,0.75,0.66,0.80,0.62,0.72
PB Ratio,2.46,2.39,2.67,2.88,2.95,2.98,3.47,2.99,2.77,2.84,3.02,2.73,2.28,2.54,2.45,2.18,2.16,2.14,1.98,2.23,2.00,2.22,2.18,2.44,2.28,1.59,1.39,1.53,1.85,1.74,1.93,1.83,1.71,1.85,1.29,1.10,1.70,1.49,1.82,1.44,1.66
P/FCF Ratio,15.19,14.84,16.24,16.99,17.08,16.08,19.18,15.62,17.08,14.25,14.20,13.30,12.67,15.12,23.77,19.89,15.59,19.19,16.05,18.13,17.68,18.66,16.29,16.32,15.62,9.99,5.08,4.91,7.17,10.00,73.70,-78.26,371.72,24.14,16.25,24.60,38.40,64.81,21.75,21.20,24.48
P/OCF Ratio,9.03,8.99,9.94,10.38,10.63,10.47,12.69,10.81,11.01,9.57,9.48,8.52,7.73,8.96,11.45,9.86,8.62,9.51,7.97,9.05,8.46,9.37,8.77,9.20,8.73,5.70,3.56,3.56,4.95,5.88,12.14,16.35,11.79,8.62,6.03,6.30,10.10,10.68,9.45,7.84,9.06
Debt / Equity Ratio,1.02,0.95,0.89,0.96,0.88,0.80,0.75,0.75,0.81,0.76,0.84,0.83,0.91,0.82,0.86,0.83,0.81,0.75,0.75,0.75,0.74,0.77,0.83,0.79,0.78,0.77,0.68,0.66,0.66,0.61,0.60,0.65,0.75,0.80,0.86,0.88,0.89,0.88,0.85,0.89,0.89
Quick Ratio,1.07,1.11,1.08,1.10,1.11,1.13,1.18,1.14,1.24,0.85,1.11,1.08,1.12,1.00,1.15,1.09,0.85,1.04,1.13,0.91,1.11,1.01,1.08,0.99,1.04,0.91,0.88,1.00,1.19,1.09,1.01,0.99,0.94,0.87,0.99,1.02,1.11,1.15,1.07,1.16,1.16
