,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash & Equivalents,"6,087","6,642","7,712","7,018","7,762","8,358","11,809","9,294","8,576","10,433"
Short-Term Investments,"1,238",991,"1,614","1,849","1,696",688,483,473,400,592
Cash & Cash Equivalents,"7,325","7,633","9,326","8,867","9,458","9,046","12,292","9,767","8,976","11,025"
Cash Growth,1.65%,4.20%,22.18%,-4.92%,6.67%,-4.36%,35.88%,-20.54%,-8.10%,22.83%
Receivables,"1,109","1,079","1,416","1,969","2,276","2,514","2,646","3,006","3,425","4,060"
Other Current Assets,"2,563","2,272","2,486","2,961","4,437","5,342","4,175","4,176","4,205","3,876"
Total Current Assets,"10,997","10,984","13,228","13,797","16,171","16,902","19,113","16,949","16,606","18,961"
"Property, Plant & Equipment",615,675,733,829,921,"1,828","1,902","1,907","2,006","2,061"
Goodwill and Intangibles,"2,236","2,694","2,478","4,155","3,895","5,438","6,713","11,333","11,381","11,746"
Other Long-Term Assets,"1,481","1,897","2,236","2,548","3,873","5,068","5,856","7,480","8,731","9,680"
Total Long-Term Assets,"4,332","5,266","5,447","7,532","8,689","12,334","14,471","20,720","22,118","23,487"
Total Assets,"15,329","16,250","18,675","21,329","24,860","29,236","33,584","37,669","38,724","42,448"
Accounts Payable,419,472,609,933,537,489,527,738,926,834
Current Debt,0,0,0,0,500,0,649,792,274,"1,337"
Other Current Liabilities,"5,803","5,797","6,597","7,860","10,556","11,415","10,671","11,632","12,971","14,093"
Total Current Liabilities,"6,222","6,269","7,206","8,793","11,593","11,904","11,847","13,162","14,171","16,264"
Long-Term Debt,"1,494","3,268","5,180","5,424","5,834","8,527","12,023","13,109","13,749","14,344"
Other Long-Term Liabilities,789,651,605,"1,544","1,944","2,814","3,197","3,986","4,427","4,843"
Total Long-Term Liabilities,"2,283","3,919","5,785","6,968","7,778","11,341","15,220","17,095","18,176","19,187"
Total Liabilities,"8,505","10,188","12,991","15,761","19,371","23,245","27,067","30,257","32,347","35,451"
Total Debt,"1,494","3,268","5,180","5,424","6,334","8,527","12,672","13,901","14,023","15,681"
Debt Growth,-,118.74%,58.51%,4.71%,16.78%,34.62%,48.61%,9.70%,0.88%,11.82%
Common Stock,"-6,119","-9,518","-12,838","-16,399","-21,170","-27,418","-31,676","-37,527","-46,056","-54,536"
Retained Earnings,"13,169","16,222","19,418","22,364","27,283","33,984","38,747","45,648","53,607","62,564"
Comprehensive Income,-260,-676,-924,-497,-718,-673,-680,-809,"-1,253","-1,099"
Shareholders' Equity,"6,790","6,028","5,656","5,468","5,395","5,893","6,391","7,312","6,298","6,929"
Net Cash / Debt,"5,831","4,365","4,146","3,443","3,124",519,-380,"-4,134","-5,047","-4,656"
Net Cash / Debt Growth,-19.08%,-25.14%,-5.02%,-16.96%,-9.27%,-83.39%,-,-,-,-
Net Cash Per Share,4.99,3.84,3.77,3.21,2.98,0.51,-0.38,-4.17,-5.20,-4.92
Working Capital,"4,775","4,715","6,022","5,004","4,578","4,998","7,266","3,787","2,435","2,697"
Book Value Per Share,5.83,5.32,5.15,5.13,5.18,5.79,6.38,7.40,6.51,7.34
