,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"9,441","9,667","10,776","12,497","14,950","16,883","15,301","18,884","22,237","25,098"
Revenue Growth (YoY),13.58%,2.39%,11.47%,15.97%,19.63%,12.93%,-9.37%,23.42%,17.76%,12.87%
Gross Profit,"9,441","9,667","10,776","12,497","14,950","16,883","15,301","18,884","22,237","25,098"
"Selling, General & Admin","4,014","4,162","4,525","5,424","6,081","6,697","6,567","7,982","8,867","9,752"
Other Operating Expenses,321,427,490,451,"1,587",522,653,820,"1,106","1,338"
Operating Expenses,"4,335","4,589","5,015","5,875","7,668","7,219","7,220","8,802","9,973","11,090"
Operating Income,"5,106","5,078","5,761","6,622","7,282","9,664","8,081","10,082","12,264","14,008"
Interest Expense / Income,48,61,95,154,186,224,380,431,471,575
Other Expense / Income,-21,59,20,-54,-108,-291,-59,-656,61,-206
Pretax Income,"5,079","4,958","5,646","6,522","7,204","9,731","7,760","10,307","11,732","13,639"
Income Tax,"1,462","1,150","1,587","2,607","1,345","1,613","1,349","1,620","1,802","2,444"
Net Income,"3,617","3,808","4,059","3,915","5,859","8,118","6,411","8,687","9,930","11,195"
Net Income Growth,16.08%,5.28%,6.59%,-3.55%,49.66%,38.56%,-21.03%,35.50%,14.31%,12.74%
Shares Outstanding (Basic),"1,165","1,134","1,098","1,067","1,041","1,017","1,002",988,968,944
Shares Outstanding (Diluted),"1,169","1,137","1,101","1,072","1,047","1,022","1,006",992,971,946
Shares Change,-3.79%,-2.74%,-3.17%,-2.63%,-2.33%,-2.39%,-1.57%,-1.39%,-2.12%,-2.57%
EPS (Basic),3.11,3.36,3.70,3.67,5.63,7.98,6.40,8.79,10.26,11.86
EPS (Diluted),3.10,3.35,3.69,3.65,5.60,7.94,6.37,8.76,10.22,11.83
EPS Growth,21.09%,8.06%,10.15%,-1.08%,53.42%,41.79%,-19.77%,37.52%,16.67%,15.75%
Free Cash Flow,"3,073","3,759","4,255","5,241","5,719","7,455","6,516","8,649","10,098","10,892"
Free Cash Flow Per Share,2.64,3.31,3.88,4.91,5.49,7.33,6.50,8.75,10.43,11.54
Dividend Per Share,0.440,0.640,0.760,0.880,1.000,1.320,2.040,3.130,1.960,2.280
Dividend Growth,109.52%,45.45%,18.75%,15.79%,13.64%,32.00%,54.55%,53.43%,-37.38%,16.33%
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,54.08%,52.53%,53.46%,52.99%,48.71%,57.24%,52.81%,53.39%,55.15%,55.81%
Profit Margin,38.31%,39.39%,37.67%,31.33%,39.19%,48.08%,41.90%,46.00%,44.66%,44.61%
Free Cash Flow Margin,32.55%,38.88%,39.49%,41.94%,38.25%,44.16%,42.59%,45.80%,45.41%,43.40%
Effective Tax Rate,28.79%,23.19%,28.11%,39.97%,18.67%,16.58%,17.38%,15.72%,15.36%,17.92%
EBITDA,"5,448","5,385","6,114","7,113","7,849","10,477","8,720","11,464","12,953","15,013"
EBITDA Margin,57.71%,55.70%,56.74%,56.92%,52.50%,62.06%,56.99%,60.71%,58.25%,59.82%
Depreciation & Amortization,321,366,373,437,459,522,580,726,750,799
EBIT,"5,127","5,019","5,741","6,676","7,390","9,955","8,140","10,738","12,203","14,214"
EBIT Margin,54.31%,51.92%,53.28%,53.42%,49.43%,58.96%,53.20%,56.86%,54.88%,56.63%
