,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"99,330","109,313","112,503","160,239","194,837","301,237","355,843","353,053","334,328","399,971","433,957"
Market Cap Growth,-1.23%,10.05%,2.92%,42.43%,21.59%,54.61%,18.13%,-0.78%,-5.30%,19.63%,-
Enterprise Value,"93,499","104,948","108,357","156,796","191,713","300,718","356,223","357,187","339,375","404,627","438,613"
PE Ratio,27.46,28.71,27.72,40.93,33.25,37.11,55.51,40.64,33.67,35.73,39.57
PS Ratio,10.52,11.31,10.44,12.82,13.03,17.84,23.26,18.70,15.04,15.94,17.29
PB Ratio,14.63,18.13,19.89,29.31,36.11,51.12,55.68,48.28,53.09,57.72,62.63
P/FCF Ratio,32.32,29.08,26.44,30.57,34.07,40.41,54.61,40.82,33.11,36.72,39.84
P/OCF Ratio,29.15,26.66,24.26,28.29,31.31,36.81,49.26,37.31,29.86,33.39,36.22
EV/Sales Ratio,9.90,10.86,10.06,12.55,12.82,17.81,23.28,18.91,15.26,16.12,17.48
EV/EBITDA Ratio,17.16,19.49,17.72,22.04,24.43,28.70,40.85,31.16,26.20,26.95,29.22
EV/EBIT Ratio,18.24,20.91,18.87,23.49,25.94,30.21,43.76,33.26,27.81,28.47,30.86
EV/FCF Ratio,30.43,27.92,25.47,29.92,33.52,40.34,54.67,41.30,33.61,37.15,40.27
Debt / Equity Ratio,0.22,0.54,0.92,0.99,1.17,1.45,1.98,1.90,2.23,2.26,2.26
Debt / EBITDA Ratio,0.27,0.61,0.85,0.76,0.81,0.81,1.45,1.21,1.08,1.04,1.04
Debt / FCF Ratio,0.49,0.87,1.22,1.03,1.11,1.14,1.94,1.61,1.39,1.44,1.44
Quick Ratio,1.36,1.39,1.49,1.23,1.01,0.97,1.26,0.97,0.88,0.93,0.93
Current Ratio,1.77,1.75,1.84,1.57,1.40,1.42,1.61,1.29,1.17,1.17,1.17
Asset Turnover,0.64,0.64,0.63,0.62,0.64,0.65,0.48,0.53,0.59,0.63,0.63
Interest Coverage,106.81,82.28,60.43,43.35,39.73,44.44,21.42,24.91,25.91,24.72,24.72
Return on Equity (ROE),55.40%,60.90%,70.00%,67.00%,105.90%,154.50%,106.60%,129.70%,153.60%,186.00%,186.00%
Return on Assets (ROA),24.50%,25.10%,23.80%,19.40%,25.00%,31.40%,20.00%,24.30%,26.50%,28.00%,28.00%
Return on Capital (ROIC),43.89%,41.96%,38.22%,36.49%,50.49%,55.91%,35.02%,40.06%,51.08%,50.85%,50.85%
Earnings Yield,3.64%,3.48%,3.61%,2.44%,3.01%,2.69%,1.80%,2.46%,2.97%,2.80%,2.58%
FCF Yield,3.09%,3.44%,3.78%,3.27%,2.94%,2.47%,1.83%,2.45%,3.02%,2.72%,2.51%
Dividend Yield,0.50%,0.70%,0.70%,0.60%,0.50%,0.40%,0.60%,0.90%,0.60%,0.50%,0.56%
Payout Ratio,14.10%,19.00%,20.50%,24.00%,17.80%,16.50%,31.90%,35.60%,19.10%,19.20%,22.32%
Buyback Yield / Dilution,3.79%,2.74%,3.17%,2.63%,2.33%,2.39%,1.57%,1.39%,2.12%,2.57%,2.57%
Total Shareholder Return,4.29%,3.44%,3.87%,3.23%,2.83%,2.79%,2.17%,2.29%,2.72%,3.07%,3.14%
