,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"4,469","1,516","10,139","10,441","8,259","9,505","6,041","11,961","16,639","19,370","21,615"
Market Cap Growth,19.74%,-66.08%,568.86%,2.98%,-20.90%,15.09%,-36.44%,97.99%,39.10%,16.42%,-
Enterprise Value,"7,457","7,314","14,946","15,357","14,687","16,996","13,554","18,400","27,956","32,182","34,427"
PE Ratio,43.69,26.00,-36.46,-164.68,-69.23,-28.46,-3.59,-742.95,18.55,23.18,26.49
PS Ratio,0.52,0.23,1.52,1.18,0.79,1.10,0.73,0.71,0.80,1.21,1.35
PB Ratio,26.32,1.04,1.93,1.70,1.36,1.93,2.28,5.95,6.24,7.07,7.89
P/FCF Ratio,-11173.29,6.97,36.83,-29.16,-4.19,-6.39,6.09,6.61,15.56,23.31,26.01
P/OCF Ratio,5.87,1.47,12.11,11.11,7.22,6.84,3.46,5.19,6.99,6.03,6.73
EV/Sales Ratio,0.87,1.10,2.23,1.74,1.40,1.96,1.64,1.09,1.34,2.00,2.14
EV/EBITDA Ratio,11.16,7.51,20.64,21.94,14.56,16.79,-24.84,13.69,9.74,8.64,9.24
EV/EBIT Ratio,23.49,22.18,-443.52,-140.37,76.14,417.59,-9.61,38.83,15.76,13.43,14.36
EV/FCF Ratio,-18641.29,33.63,54.29,-42.90,-7.45,-11.42,13.67,10.17,26.14,38.73,41.43
Debt / Equity Ratio,18.07,4.06,0.93,0.82,1.10,1.59,2.92,3.28,4.33,4.73,4.73
Debt / EBITDA Ratio,4.59,6.09,6.74,7.22,6.60,7.73,-14.21,4.91,4.02,3.48,3.48
Debt / FCF Ratio,-7670.50,27.30,17.73,-14.11,-3.38,-5.26,7.82,3.64,10.79,15.59,15.59
Quick Ratio,0.78,0.75,0.64,0.60,0.39,0.63,0.62,0.65,0.53,0.58,0.58
Current Ratio,1.07,1.05,0.86,0.79,0.51,0.89,0.82,0.77,0.77,0.80,0.80
Asset Turnover,1.36,0.50,0.52,0.63,0.66,0.47,0.52,1.09,1.20,0.81,0.81
Interest Coverage,2.16,1.42,-0.13,-0.47,1.04,0.12,-3.61,1.22,3.98,3.48,3.48
Return on Equity (ROE),65.40%,3.90%,-5.30%,-1.00%,-2.00%,-6.20%,-58.90%,-0.70%,40.70%,31.90%,31.90%
Return on Assets (ROA),1.60%,0.40%,-2.10%,-0.50%,-0.70%,-1.80%,-10.50%,-0.10%,5.20%,4.20%,4.20%
Return on Capital (ROIC),11.88%,1.28%,0.55%,-1.09%,0.42%,1.51%,-12.52%,8.32%,10.97%,13.18%,13.18%
Earnings Yield,2.29%,3.85%,-2.74%,-0.61%,-1.44%,-3.51%,-27.89%,-0.13%,5.39%,4.31%,3.87%
FCF Yield,-0.01%,14.35%,2.72%,-3.43%,-23.86%,-15.66%,16.41%,15.13%,6.43%,4.29%,3.84%
Dividend Yield,2.50%,12.50%,6.50%,7.50%,10.10%,8.90%,4.60%,0.80%,1.90%,2.10%,2.06%
Payout Ratio,110.00%,311.00%,-202.20%,-1174.20%,-686.80%,-252.80%,-16.70%,-571.40%,35.40%,50.10%,54.64%
Buyback Yield / Dilution,-0.96%,-27.32%,-188.06%,-34.00%,-8.36%,-3.70%,0.13%,1.55%,-1.09%,2.21%,2.21%
Total Shareholder Return,1.54%,-14.82%,-181.56%,-26.50%,1.74%,5.20%,4.73%,2.35%,0.81%,4.31%,4.27%
