,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"23,471","31,869","25,536","32,767","37,867","43,612","44,318","41,189","56,508","42,959","34,751"
Market Cap Growth,-7.62%,35.78%,-19.87%,28.31%,15.57%,15.17%,1.62%,-7.06%,37.19%,-23.98%,-
Enterprise Value,"41,089","50,556","43,783","66,875","71,368","77,740","80,493","78,777","115,731","82,036","77,211"
PE Ratio,13.65,19.64,11.25,29.23,10.02,21.75,15.10,20.98,33.12,19.80,16.31
PS Ratio,0.94,1.16,0.87,1.05,1.13,1.21,1.29,2.47,3.15,2.25,1.65
PB Ratio,1.03,1.41,0.99,1.27,1.27,1.42,1.38,1.26,1.64,1.74,1.36
P/FCF Ratio,23.95,321.91,183.71,-356.16,-364.11,41.54,-75.24,-10.80,-11.37,-18.87,-10.79
P/OCF Ratio,3.70,7.15,3.35,3.87,5.06,5.05,6.66,9.73,18.76,8.82,8.64
EV/Sales Ratio,1.65,1.84,1.49,2.13,2.13,2.16,2.34,4.73,6.45,4.30,3.67
EV/EBITDA Ratio,5.20,7.00,5.24,7.44,6.71,8.06,7.25,8.05,10.91,10.94,10.24
EV/EBIT Ratio,9.98,15.07,10.01,19.61,13.69,21.14,15.11,24.14,38.16,20.68,18.97
EV/FCF Ratio,41.93,510.67,314.99,-726.90,-686.23,74.04,-136.66,-20.66,-23.29,-36.03,-22.96
Debt / Equity Ratio,0.89,0.98,1.02,1.39,1.19,1.19,1.17,1.21,1.75,1.62,1.70
Debt / EBITDA Ratio,2.55,3.06,3.15,4.00,3.34,3.79,3.40,4.02,5.68,5.34,5.73
Debt / FCF Ratio,20.53,223.38,189.35,-390.36,-342.13,34.79,-64.17,-10.32,-12.12,-17.59,-12.39
Quick Ratio,0.71,0.79,1.23,0.44,0.60,0.72,0.55,0.50,0.24,0.43,0.46
Current Ratio,1.31,1.35,1.68,0.92,1.10,1.17,0.85,0.98,0.87,0.69,0.85
Asset Turnover,0.32,0.33,0.32,0.28,0.29,0.30,0.28,0.13,0.14,0.20,0.22
Interest Coverage,3.04,3.15,4.24,2.22,3.34,2.37,3.30,2.50,2.35,2.74,2.45
Return on Equity (ROE),7.90%,7.10%,9.20%,4.30%,13.50%,6.50%,9.20%,6.00%,5.20%,9.00%,8.50%
Return on Assets (ROA),2.20%,1.90%,2.50%,1.00%,3.20%,1.70%,2.40%,1.50%,1.30%,2.30%,2.20%
Return on Capital (ROIC),5.31%,4.48%,5.74%,3.11%,6.56%,5.46%,4.94%,3.06%,2.77%,4.41%,4.72%
Earnings Yield,7.32%,5.09%,8.89%,3.42%,9.98%,4.60%,6.62%,4.77%,3.02%,5.05%,6.17%
FCF Yield,4.18%,0.31%,0.54%,-0.28%,-0.27%,2.41%,-1.33%,-9.26%,-8.79%,-5.30%,-10.03%
Dividend Yield,5.30%,3.30%,4.50%,3.60%,3.30%,3.10%,3.20%,3.60%,2.60%,3.10%,4.13%
Payout Ratio,72.40%,65.60%,48.60%,104.50%,32.80%,66.70%,48.00%,76.10%,87.90%,61.40%,67.29%
Buyback Yield / Dilution,-5.01%,-0.47%,-3.36%,-3.81%,-2.37%,-2.11%,-0.52%,-0.31%,-0.31%,-0.71%,-0.81%
Total Shareholder Return,0.29%,2.83%,1.14%,-0.21%,0.93%,0.99%,2.68%,3.29%,2.29%,2.39%,3.32%
