,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"18,726","16,132","14,552","21,285","20,722","21,810","23,498","39,634","31,586","50,041","66,781"
Market Cap Growth,31.51%,-13.85%,-9.79%,46.27%,-2.65%,5.25%,7.74%,68.67%,-20.31%,58.43%,-
Enterprise Value,"18,863","17,165","15,463","26,232","24,824","25,547","31,204","45,447","42,502","62,116","78,177"
PE Ratio,17.99,15.94,18.04,21.64,19.53,14.31,19.55,22.70,24.01,24.02,25.72
PS Ratio,1.42,1.27,1.28,1.77,1.45,1.52,1.72,2.76,1.99,2.63,3.37
PB Ratio,2.81,3.16,3.18,4.05,3.54,3.66,3.77,4.72,3.57,4.85,5.91
P/FCF Ratio,15.79,13.82,13.47,19.15,14.48,13.79,12.60,15.82,14.03,19.15,23.35
P/OCF Ratio,13.49,11.83,12.02,16.37,12.98,12.61,11.35,15.39,12.94,16.79,20.51
EV/Sales Ratio,1.43,1.35,1.36,2.18,1.74,1.78,2.28,3.17,2.68,3.26,3.94
EV/EBITDA Ratio,9.55,9.19,9.93,14.21,10.42,9.92,13.27,14.70,17.41,15.26,16.21
EV/EBIT Ratio,11.51,11.07,12.36,17.60,12.96,11.94,17.20,18.21,22.74,19.10,19.94
EV/FCF Ratio,15.91,14.70,14.31,23.60,17.35,16.15,16.73,18.14,18.88,23.78,27.34
Debt / Equity Ratio,0.35,0.58,0.66,1.12,0.85,1.19,1.36,0.78,1.30,1.22,1.04
Debt / EBITDA Ratio,1.18,1.58,1.94,3.18,2.08,2.76,3.60,2.13,4.70,3.09,2.44
Debt / FCF Ratio,1.96,2.52,2.79,5.28,3.46,4.49,4.54,2.63,5.10,4.81,4.12
Quick Ratio,1.36,1.66,1.66,0.92,1.04,1.84,0.91,1.06,0.59,0.47,0.44
Current Ratio,1.87,2.32,2.20,1.41,1.59,2.44,1.60,1.81,2.06,0.88,0.90
Asset Turnover,1.02,1.02,0.95,0.88,0.90,0.90,0.68,0.72,0.70,0.63,0.66
Interest Coverage,19.85,13.09,9.16,9.18,8.96,11.25,5.89,9.98,7.32,5.67,6.85
Return on Equity (ROE),16.30%,17.90%,16.80%,20.50%,18.60%,25.50%,19.30%,23.70%,15.00%,21.80%,25.10%
Return on Assets (ROA),8.00%,8.10%,6.70%,7.20%,6.70%,9.60%,5.90%,8.80%,5.80%,6.90%,8.80%
Return on Capital (ROIC),12.02%,13.23%,11.34%,10.25%,11.12%,12.44%,9.49%,12.81%,11.29%,11.68%,13.63%
Earnings Yield,5.56%,6.27%,5.54%,4.62%,5.12%,6.99%,5.12%,4.41%,4.17%,4.16%,3.94%
FCF Yield,6.33%,7.24%,7.42%,5.22%,6.91%,7.25%,7.94%,6.32%,7.13%,5.22%,4.28%
Dividend Yield,1.50%,2.00%,2.30%,1.60%,1.80%,1.90%,1.90%,1.20%,1.80%,1.40%,1.14%
Payout Ratio,26.60%,33.50%,42.30%,35.00%,34.30%,26.90%,37.60%,27.10%,43.20%,33.70%,29.28%
Buyback Yield / Dilution,0.21%,6.89%,2.88%,1.11%,0.17%,3.52%,0.05%,-0.65%,0.53%,0.06%,-0.05%
Total Shareholder Return,1.71%,8.89%,5.18%,2.71%,1.97%,5.42%,1.95%,0.55%,2.33%,1.46%,1.08%
