,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"32,220","24,225","30,526","35,120","29,819","39,688","48,320","68,903","62,576","96,111","110,814"
Market Cap Growth,-10.61%,-24.81%,26.01%,15.05%,-15.09%,33.10%,21.75%,42.60%,-9.18%,53.59%,-
Enterprise Value,"40,473","32,406","38,260","42,310","37,057","47,971","56,266","77,522","71,396",-,"118,007"
PE Ratio,17.97,12.24,15.88,11.77,13.90,17.95,34.27,32.14,25.42,29.87,34.56
PS Ratio,1.43,1.16,1.55,1.72,1.38,1.86,2.71,3.51,3.02,4.14,4.78
PB Ratio,2.04,1.60,2.05,2.04,1.85,2.47,3.24,4.20,3.67,0,5.81
P/FCF Ratio,25.86,12.99,14.85,16.37,14.25,13.86,18.91,43.39,32.34,-8737.39,61.22
P/OCF Ratio,17.16,10.22,11.96,13.17,11.22,11.50,16.41,31.86,24.70,-8737.39,47.68
EV/Sales Ratio,1.79,1.55,1.94,2.07,1.71,2.24,3.15,3.95,3.44,-,5.09
EV/EBITDA Ratio,15.38,13.63,16.21,16.68,12.48,16.97,33.61,31.99,23.56,-,29.87
EV/EBIT Ratio,24.54,22.32,26.74,26.07,17.93,24.69,65.20,51.65,34.37,-,36.24
EV/FCF Ratio,32.48,17.38,18.62,19.72,17.71,16.75,22.02,48.82,36.90,-,65.20
Debt / Equity Ratio,0.57,0.56,0.56,0.45,0.47,0.54,0.56,0.54,0.53,0,0.51
Debt / EBITDA Ratio,3.63,3.80,3.58,3.26,2.61,2.66,5.17,3.46,2.94,2.38,2.48
Debt / FCF Ratio,7.66,4.84,4.11,3.86,3.70,2.63,3.39,5.28,4.61,-828.55,5.42
Quick Ratio,0.88,0.85,0.79,1.00,0.83,0.78,0.68,0.54,0.73,0,0.91
Current Ratio,1.51,1.43,1.27,1.65,1.47,1.70,1.55,1.04,1.37,0,1.51
Asset Turnover,0.67,0.67,0.65,0.63,0.70,0.65,0.56,0.58,0.59,0,0.63
Interest Coverage,10.79,10.09,9.67,10.16,10.94,8.23,5.79,10.42,14.42,25.31,40.26
Return on Equity (ROE),10.68%,12.54%,12.66%,20.04%,12.43%,13.73%,8.77%,14.36%,15.00%,18.89%,16.88%
Return on Assets (ROA),5.05%,5.90%,6.19%,9.81%,6.58%,7.11%,4.30%,6.74%,7.24%,9.19%,8.38%
Return on Capital (ROIC),9.52%,8.71%,8.63%,9.56%,10.50%,7.02%,2.83%,4.77%,6.95%,12.31%,11.30%
Earnings Yield,5.56%,8.17%,6.30%,8.50%,7.19%,5.57%,2.92%,3.11%,3.93%,3.35%,2.90%
FCF Yield,3.87%,7.70%,6.73%,6.11%,7.02%,7.22%,5.29%,2.30%,3.09%,-0.01%,1.63%
Dividend Yield,2.88%,4.24%,3.40%,3.04%,3.85%,3.03%,2.43%,1.77%,2.08%,0.00%,1.24%
Payout Ratio,51.81%,51.84%,53.95%,35.78%,53.57%,54.32%,83.33%,56.86%,52.76%,0.00%,42.84%
Buyback Yield / Dilution,-0.02%,2.03%,2.27%,2.08%,2.26%,3.69%,3.99%,0.59%,0.20%,-0.07%,-0.37%
Total Shareholder Return,2.86%,6.27%,5.67%,5.12%,6.11%,6.71%,6.42%,2.36%,2.28%,-0.07%,0.87%
