,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"35,134","17,974","17,279","35,617","61,192","49,307","51,473","83,295","63,221","76,605","87,761"
Market Cap Growth,149.31%,-48.84%,-3.87%,106.13%,71.81%,-19.42%,4.39%,61.82%,-24.10%,21.17%,-
Enterprise Value,"37,179","21,843","22,791","41,344","59,029","47,203","50,507","81,942","61,406","80,944","92,819"
PE Ratio,11.54,6.20,-62.60,7.00,4.33,7.81,19.16,14.21,7.28,-13.13,-12.16
PS Ratio,2.15,1.11,1.39,1.75,2.01,2.11,2.40,3.01,2.06,4.93,5.42
PB Ratio,3.27,1.46,1.43,1.91,1.90,1.37,1.32,1.90,1.27,1.74,2.05
P/FCF Ratio,13.55,15.14,-6.52,10.42,7.18,14.46,620.15,34.17,20.30,-12.52,-16.70
P/OCF Ratio,6.16,3.45,5.45,4.37,3.52,3.74,6.20,6.68,4.16,49.14,43.51
EV/Sales Ratio,2.27,1.35,1.84,2.03,1.94,2.02,2.36,2.96,2.00,5.21,5.74
EV/EBITDA Ratio,6.61,3.58,7.21,4.28,3.04,3.76,5.73,6.48,3.64,32.53,58.41
EV/EBIT Ratio,10.55,6.37,126.62,7.12,4.03,6.62,15.98,12.73,6.29,-15.37,-14.39
EV/FCF Ratio,14.34,18.40,-8.60,12.09,6.93,13.85,608.51,33.61,19.72,-13.23,-17.71
Debt / Equity Ratio,0.61,0.60,0.82,0.60,0.14,0.16,0.18,0.17,0.15,0.32,0.33
Debt / EBITDA Ratio,1.17,1.21,3.14,1.15,0.24,0.47,0.81,0.58,0.45,5.60,8.88
Debt / FCF Ratio,2.54,6.23,-3.74,3.26,0.54,1.72,86.46,2.99,2.41,-2.28,-2.82
Quick Ratio,1.55,1.54,1.34,1.72,2.13,1.74,1.82,2.17,1.92,2.53,2.01
Current Ratio,2.14,2.20,1.96,2.34,2.79,2.58,2.71,3.10,2.89,4.46,3.53
Asset Turnover,0.79,0.68,0.48,0.63,0.74,0.50,0.42,0.50,0.48,0.24,0.25
Interest Coverage,10.01,9.24,0.41,9.66,42.82,55.73,16.29,35.18,51.66,-13.58,-13.14
Return on Equity (ROE),31.10%,23.70%,-2.30%,33.20%,51.80%,18.10%,7.10%,14.10%,18.00%,-12.50%,-15.30%
Return on Assets (ROA),14.60%,12.10%,-1.10%,15.80%,34.50%,13.50%,5.20%,10.50%,13.50%,-8.80%,-10.60%
Return on Capital (ROIC),17.09%,14.44%,0.76%,19.28%,40.12%,15.93%,5.89%,11.50%,15.33%,-9.90%,-11.69%
Earnings Yield,8.67%,16.13%,-1.60%,14.29%,23.10%,12.80%,5.22%,7.04%,13.74%,-7.61%,-7.83%
FCF Yield,7.38%,6.60%,-15.33%,9.60%,13.93%,6.91%,0.16%,2.93%,4.93%,-7.99%,-5.70%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,0.70%,0.58%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.30%,-8.60%,-7.30%
Buyback Yield / Dilution,-13.34%,2.34%,11.45%,-11.39%,-6.50%,7.00%,1.05%,-0.88%,1.67%,2.58%,-0.92%
Total Shareholder Return,-13.34%,2.34%,11.45%,-11.39%,-6.50%,7.00%,1.05%,-0.88%,2.37%,3.28%,-0.34%
