,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"15,161","16,596","16,152","24,254","25,737","20,089","22,400","16,332","19,763","25,039","22,954"
Market Cap Growth,20.28%,9.46%,-2.67%,50.16%,6.11%,-21.94%,11.50%,-27.09%,21.01%,26.70%,-
Enterprise Value,"17,207","17,951","19,976","27,590","27,553","23,222","20,822","-4,443","-19,914","6,080","4,925"
PE Ratio,14.27,16.96,16.35,19.82,19.39,10.94,12.11,12.77,11.12,13.24,7.94
PS Ratio,3.48,3.83,3.59,4.75,4.71,3.47,3.72,3.17,3.26,3.27,2.46
PB Ratio,1.34,1.35,1.00,1.47,1.58,1.30,1.43,1.01,1.10,0.99,0.88
P/FCF Ratio,18.89,16.18,9.73,22.55,9.52,10.08,10.28,26.47,7.70,5.74,6.04
P/OCF Ratio,16.26,15.10,9.27,20.50,9.25,9.61,9.50,20.69,7.28,5.47,5.66
EV/Sales Ratio,3.95,4.14,4.44,5.40,5.04,4.01,3.46,-0.86,-3.28,0.79,0.53
EV/EBITDA Ratio,9.09,10.24,11.36,12.73,11.29,8.91,7.52,-2.20,-7.38,2.06,1.13
EV/EBIT Ratio,10.18,11.55,12.62,14.03,12.28,9.57,8.44,-2.62,-8.39,2.42,1.26
EV/FCF Ratio,21.43,17.50,12.03,25.65,10.19,11.66,9.55,-7.20,-7.76,1.39,1.30
Debt / Equity Ratio,0.47,0.75,0.79,0.59,0.51,0.83,0.45,0.27,0.20,0.30,0.53
Debt / EBITDA Ratio,2.84,5.25,7.27,4.46,3.41,4.93,2.55,2.20,1.31,2.55,3.17
Debt / FCF Ratio,6.69,8.97,7.70,8.98,3.08,6.45,3.23,7.20,1.38,1.72,3.64
Asset Turnover,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.05
Return on Equity (ROE),9.80%,8.00%,7.30%,7.50%,8.20%,11.80%,11.80%,8.00%,10.40%,8.00%,11.40%
Return on Assets (ROA),1.30%,1.00%,0.90%,1.00%,1.10%,1.50%,1.50%,0.90%,1.20%,1.00%,1.40%
Return on Capital (ROIC),7.10%,5.50%,4.13%,5.66%,6.36%,7.49%,9.34%,7.67%,9.87%,7.19%,8.62%
Earnings Yield,7.01%,5.90%,6.11%,5.04%,5.16%,9.14%,8.26%,7.83%,8.99%,7.55%,12.72%
FCF Yield,5.29%,6.18%,10.28%,4.44%,10.50%,9.92%,9.73%,3.78%,12.98%,17.41%,16.57%
Dividend Yield,2.40%,2.20%,2.30%,1.80%,1.80%,2.50%,2.40%,3.50%,2.90%,3.30%,3.76%
Payout Ratio,33.90%,37.50%,38.80%,35.90%,34.40%,27.80%,29.80%,44.30%,32.60%,41.40%,29.83%
Buyback Yield / Dilution,-1.74%,-1.45%,-0.89%,-16.32%,2.92%,6.75%,5.98%,2.78%,-0.31%,-34.14%,4.98%
Total Shareholder Return,0.66%,0.75%,1.41%,-14.52%,4.72%,9.25%,8.38%,6.28%,2.59%,-30.84%,8.74%
