,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,-,188,511,798,"2,547","2,802","4,638","15,469","19,994","8,926","9,170"
Market Cap Growth,-,-,171.59%,56.28%,218.96%,10.04%,65.51%,233.51%,29.26%,-55.36%,-
Enterprise Value,136,867,"1,294","1,535","4,581","6,751","7,970","38,107","44,821","33,134","33,219"
PE Ratio,-,-13.04,4.47,32.55,34.71,29.50,57.26,-8.80,-19.62,-9.93,12.96
PS Ratio,-,0.52,0.71,0.89,1.72,1.36,1.84,4.26,2.09,0.83,0.80
PB Ratio,-,1.24,1.89,2.68,2.71,2.72,4.15,3.08,4.46,2.40,1.99
P/FCF Ratio,-,8.61,23.90,14.85,54.50,15.92,32.66,-21.34,29.45,217.71,13.19
P/OCF Ratio,-,5.95,9.01,8.37,19.61,8.68,14.82,-27.57,16.68,8.99,5.02
EV/Sales Ratio,0.55,2.40,1.80,1.71,3.09,3.28,3.15,10.50,4.68,3.06,2.88
EV/EBITDA Ratio,2.63,18.57,7.93,10.10,28.23,14.52,12.53,219.00,20.77,12.82,7.54
EV/EBIT Ratio,3.92,47.98,12.19,17.34,81.26,21.99,19.39,-90.09,45.14,25.01,15.39
EV/FCF Ratio,8.40,39.71,60.53,28.56,98.05,38.36,56.13,-52.56,66.01,808.15,47.80
Debt / Equity Ratio,2.26,5.12,3.20,2.68,2.33,4.10,3.17,5.27,5.85,6.83,5.43
Debt / EBITDA Ratio,3.31,16.59,5.31,5.27,13.50,9.08,5.57,151.93,12.15,9.82,5.68
Debt / FCF Ratio,10.58,35.48,40.53,14.89,46.87,23.99,24.94,-36.46,38.61,618.95,36.00
Quick Ratio,1.54,1.12,0.88,0.77,0.90,0.83,0.39,1.66,0.35,0.67,0.60
Current Ratio,1.57,1.28,1.10,1.00,1.12,1.43,0.88,2.41,1.13,0.79,0.73
Asset Turnover,-,0.50,0.60,0.70,0.48,0.47,0.42,0.17,0.25,0.31,0.35
Interest Coverage,2.21,0.59,1.72,1.74,0.57,1.78,1.44,-0.35,0.43,0.58,0.92
Return on Equity (ROE),-,-12.70%,63.10%,8.50%,10.00%,9.50%,7.40%,-64.20%,-21.30%,-24.00%,17.30%
Return on Assets (ROA),-,-2.00%,9.50%,1.90%,2.40%,2.20%,1.40%,-8.30%,-2.70%,-2.60%,2.10%
Return on Capital (ROIC),7.81%,1.60%,15.55%,5.26%,3.04%,4.15%,5.70%,-1.22%,4.76%,5.98%,8.18%
Earnings Yield,-,-7.67%,22.35%,3.07%,2.88%,3.39%,1.75%,-11.36%,-5.10%,-10.07%,7.74%
FCF Yield,-,11.61%,4.18%,6.73%,1.83%,6.28%,3.06%,-4.69%,3.40%,0.46%,7.58%
Buyback Yield / Dilution,-,-28.27%,-57.21%,-1.47%,-42.77%,-14.53%,-1.28%,-64.56%,-62.31%,-1.42%,-0.47%
Total Shareholder Return,-,-28.27%,-57.21%,-1.47%,-42.77%,-14.53%,-1.28%,-64.56%,-62.31%,-1.42%,-0.47%
