,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,Upgrade,18.9,-14.43,114.18,24.53,73.38,95,81,"-1,757","-1,019",-899
Depreciation & Amortization,Upgrade,17.03,28.64,56.92,63.45,105.89,158,225,597,"1,165","1,259"
Share-Based Compensation,Upgrade,0,0,1.49,3.34,6.32,13,20,79,82,101
Other Operating Activities,Upgrade,-12.39,17.39,-115.88,4.06,-55.71,57,-13,520,971,532
Operating Cash Flow,Upgrade,23.54,31.61,56.72,95.37,129.89,323,313,-561,"1,199",993
Operating Cash Flow Growth,Upgrade,-17.03%,34.29%,79.44%,68.16%,36.19%,148.68%,-3.10%,-,-,-17.18%
Capital Expenditures,Upgrade,-7.39,-9.76,-35.34,-41.61,-83.16,-147,-171,-164,-520,-952
Acquisitions,Upgrade,0,48.11,-126.03,-0.19,"-1,313.52","-1,113",535,"-5,984","-1,211",28
Change in Investments,Upgrade,0,0,0,0,0,-8,5,25,239,126
Other Investing Activities,Upgrade,-0.17,2.07,2.62,-,-,-,-,23,44,30
Investing Cash Flow,Upgrade,-7.56,40.41,-158.75,-41.81,"-1,396.68","-1,268",369,"-6,100","-1,448",-768
Dividends Paid,Upgrade,-6.1,-0.58,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,Upgrade,0,0.25,0,0.39,2.9,-9,0,"2,718",3,1
Debt Issued / Paid,Upgrade,-5.37,-13.75,92.71,-73.04,"1,360","1,091",-703,"8,295","-1,041","-1,241"
Other Financing Activities,Upgrade,-,-0.15,-,-1.02,-11.9,-38,-9,-372,-103,-42
Financing Cash Flow,Upgrade,-11.47,-14.23,92.71,-73.67,"1,351","1,044",-712,"10,641","-1,141","-1,282"
Exchange Rate Effect,Upgrade,0,0,0,0,0,0,0,129,32,-29
Net Cash Flow,Upgrade,4.51,57.79,-9.33,-20.11,84.31,99,-30,"4,063","-2,259",-718
Free Cash Flow,Upgrade,16.14,21.84,21.37,53.76,46.73,176,142,-725,679,41
Free Cash Flow Growth,Upgrade,-15.91%,35.32%,-2.16%,151.54%,-13.08%,276.67%,-19.32%,-,-,-93.96%
Free Cash Flow Margin,Upgrade,6.53%,6.04%,2.97%,5.97%,3.16%,8.56%,5.62%,-19.98%,7.10%,0.38%
Free Cash Flow Per Share,Upgrade,0.69,0.73,0.46,1.14,0.70,2.29,1.82,-5.58,3.22,0.19
