,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,Upgrade,247.19,361.82,719.78,900.47,"1,481","2,056","2,528","3,628","9,570","10,821"
Revenue Growth (YoY),Upgrade,-2.97%,46.38%,98.93%,25.10%,64.45%,38.84%,22.96%,43.51%,163.78%,13.07%
Cost of Revenue,Upgrade,138.79,216.15,431.46,516.03,781.51,"1,092","1,243","1,706","4,274","4,990"
Gross Profit,Upgrade,108.4,145.67,288.33,384.44,699.29,964,"1,285","1,922","5,296","5,831"
"Selling, General & Admin",Upgrade,61.45,85.34,144.57,191.49,354.95,427,569,"1,097","2,091","2,354"
Other Operating Expenses,Upgrade,27.72,45.49,74.7,104.25,249.16,227,306,"1,208","1,745","1,738"
Operating Expenses,Upgrade,89.17,130.82,219.27,295.74,604.11,654,875,"2,305","3,836","4,092"
Operating Income,Upgrade,19.23,14.85,69.06,88.7,95.18,310,410,-383,"1,460","1,739"
Interest Expense / Income,Upgrade,15.67,30.73,61.56,50.92,99.77,172,286,"1,202","2,295","2,265"
Other Expense / Income,Upgrade,-15.34,-3.23,-37.11,0.16,38.8,3,-1,40,467,414
Pretax Income,Upgrade,18.9,-12.66,44.6,37.63,-43.39,135,125,"-1,625","-1,302",-940
Income Tax,Upgrade,0,1.77,-69.58,13.1,-116.77,40,44,132,-283,-41
Net Income,Upgrade,18.9,-14.43,114.18,24.53,73.38,95,81,"-1,757","-1,019",-899
Net Income Growth,Upgrade,-,-,-,-78.52%,199.18%,29.46%,-14.74%,-,-,-
Shares Outstanding (Basic),Upgrade,23,30,47,47,67,77,78,130,211,214
Shares Outstanding (Diluted),Upgrade,23,30,47,48,68,78,79,130,211,214
Shares Change,Upgrade,-,28.27%,57.21%,1.47%,42.77%,14.53%,1.28%,64.56%,62.31%,1.42%
EPS (Basic),Upgrade,0.81,-0.48,2.45,0.52,1.09,1.23,1.04,-13.50,-4.83,-4.19
EPS (Diluted),Upgrade,0.81,-0.48,2.43,0.51,1.08,1.22,1.03,-13.50,-4.83,-4.19
EPS Growth,Upgrade,-,-,-,-79.01%,111.76%,12.96%,-15.57%,-,-,-
Free Cash Flow,Upgrade,16.14,21.84,21.37,53.76,46.73,176,142,-725,679,41
Free Cash Flow Per Share,Upgrade,0.69,0.73,0.46,1.14,0.70,2.29,1.82,-5.58,3.22,0.19
Gross Margin,Upgrade,43.85%,40.26%,40.06%,42.69%,47.22%,46.89%,50.83%,52.98%,55.34%,53.89%
Operating Margin,Upgrade,7.78%,4.10%,9.59%,9.85%,6.43%,15.08%,16.22%,-10.56%,15.26%,16.07%
Profit Margin,Upgrade,7.64%,-3.99%,15.86%,2.72%,4.96%,4.62%,3.20%,-48.43%,-10.65%,-8.31%
Free Cash Flow Margin,Upgrade,6.53%,6.04%,2.97%,5.97%,3.16%,8.56%,5.62%,-19.98%,7.10%,0.38%
Effective Tax Rate,Upgrade,-,-,-156.00%,34.82%,-,29.63%,35.20%,-,-,-
EBITDA,Upgrade,51.59,46.72,163.08,151.99,162.27,465,636,174,"2,158","2,584"
EBITDA Margin,Upgrade,20.87%,12.91%,22.66%,16.88%,10.96%,22.62%,25.16%,4.80%,22.55%,23.88%
Depreciation & Amortization,Upgrade,17.03,28.64,56.92,63.45,105.89,158,225,597,"1,165","1,259"
EBIT,Upgrade,34.56,18.08,106.16,88.55,56.38,307,411,-423,993,"1,325"
EBIT Margin,Upgrade,13.98%,5.00%,14.75%,9.83%,3.81%,14.93%,16.26%,-11.66%,10.38%,12.24%
