,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,Upgrade,12.64,196.3,-28.85,-16.56,-40.29,133.13,334.33,733.61,"1,033",103.15
Depreciation & Amortization,Upgrade,74.34,216.99,674.95,704.58,714.22,663.1,468.93,456.1,361.42,338.85
Share-Based Compensation,Upgrade,29.85,50.95,138.58,88.85,68.16,71.58,75.98,89.32,83.51,105.58
Other Operating Activities,Upgrade,14.02,-158.62,-96.76,-0.04,110.44,-57.44,66.41,22.82,-429.03,295.65
Operating Cash Flow,Upgrade,130.85,305.62,687.93,776.82,852.52,810.36,945.65,"1,302","1,049",843.23
Operating Cash Flow Growth,Upgrade,83.64%,133.57%,125.09%,12.92%,9.74%,-4.94%,16.69%,37.67%,-19.40%,-19.63%
Capital Expenditures,Upgrade,-64.25,-169.86,-315.62,-552.7,-269.84,-220.94,-164.1,-186.96,-213.47,-158.95
Acquisitions,Upgrade,0,224.32,0,-117.99,0,0,-946.04,-47.07,-389.14,-0.1
Change in Investments,Upgrade,8.55,-126.55,49.48,186.32,0,0.4,0,0,0,0
Other Investing Activities,Upgrade,-1.33,8.15,-12.57,-5.98,-7.57,-27.02,4.41,15.37,6.65,5.64
Investing Cash Flow,Upgrade,-57.03,-63.94,-278.71,-490.35,-277.41,-247.55,"-1,105.74",-218.66,-595.96,-153.41
Share Issuance / Repurchase,Upgrade,4.7,-4.8,"-1,248.13",-150.21,-162.5,-596.79,-464.93,-472.49,"-1,113.98",-829.24
Debt Issued / Paid,Upgrade,-0.12,-87.54,986.41,0,-7.73,-145.33,659,118.76,301.57,0
Other Financing Activities,Upgrade,-8.82,-20.56,-21.26,-15.44,-26.62,-34.55,-28.51,-48.19,-63.1,-24.11
Financing Cash Flow,Upgrade,-4.25,-112.9,-282.98,-165.65,-196.85,-776.66,165.56,-401.92,-875.51,-853.35
Exchange Rate Effect,Upgrade,0.67,-0.87,-0.29,-1.11,2.36,-1.17,-1.23,1.43,-3.28,-0.33
Net Cash Flow,Upgrade,70.24,127.92,125.94,119.72,380.62,-215.02,4.23,682.7,-425.5,-163.86
Free Cash Flow,Upgrade,66.6,135.76,372.3,224.12,582.69,589.43,781.54,"1,115",835.78,684.28
Free Cash Flow Growth,Upgrade,281.50%,103.86%,174.23%,-39.80%,159.99%,1.16%,32.59%,42.65%,-25.04%,-18.13%
Free Cash Flow Margin,Upgrade,5.80%,7.93%,14.26%,7.39%,19.60%,19.07%,24.13%,27.77%,17.99%,19.17%
Free Cash Flow Per Share,Upgrade,0.94,1.50,2.62,1.76,4.59,4.73,6.68,9.78,7.58,6.70
