,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,510.73,545.34,680.53,702.41,752.3,779.71,814.85,943.95,991.59,675.61
Depreciation & Amortization,337.36,375.62,398.62,416.61,447.88,453.08,490.39,510.49,533.21,581.86
Share-Based Compensation,27.78,31.09,87.34,93.33,56.74,66.58,69.43,65.84,73.69,85.38
Other Operating Activities,8.37,83.82,-98.22,121.5,-9.34,-24.62,63.79,839.89,-714.79,-346.83
Operating Cash Flow,884.24,"1,036","1,068","1,334","1,248","1,275","1,438","2,360",883.7,996.02
Operating Cash Flow Growth,10.64%,17.15%,3.13%,24.86%,-6.47%,2.18%,12.84%,64.08%,-62.56%,12.71%
Capital Expenditures,-358.49,-391.15,-379.32,-519.94,-557.51,-664.96,-634.1,-731.31,-855.66,-734
Acquisitions,24.85,-441.7,-533.56,-635.28,-59.79,-148.54,-34.55,-49.42,-60.26,-8.31
Change in Investments,0,0,0,0,-64.33,66.15,-19.76,-21.74,1.36,94.91
Other Investing Activities,-49.81,-,-,-,-3.1,0.1,-,-0.1,0.1,0.1
Investing Cash Flow,-383.46,-832.85,-912.89,"-1,155.22",-684.73,-747.25,-688.41,-802.56,-914.47,-647.3
Dividends Paid,-19.62,-29.67,-39.53,-38.88,-38.21,-37.34,-53,-17.34,-65.9,-58.45
Share Issuance / Repurchase,-21.49,-93.89,-201.34,-343.88,-354.15,-387.23,-759.7,-194.4,"-1,207.5",-818.85
Debt Issued / Paid,-424.46,-49.13,166.23,711.62,-102.01,-39.25,-17.92,-160.97,217.11,615.95
Other Financing Activities,-41.44,-14.74,-49.97,-500.03,-24.79,-28.38,-14.41,-12.15,-12.66,-57.06
Financing Cash Flow,-507.02,-187.42,-124.61,-171.17,-519.15,-492.2,-845.04,-384.86,"-1,068.95",-318.4
Exchange Rate Effect,0,-0.78,-1.61,-2.79,1.65,-2.91,0.96,0.74,-0.5,-8.42
Net Cash Flow,-6.23,14.83,29.16,4.67,45.35,32.39,-94.02,"1,173","-1,100.22",21.9
Free Cash Flow,525.75,644.73,688.94,813.9,690.08,609.78,804.37,"1,629",28.04,262.02
Free Cash Flow Growth,20.57%,22.63%,6.86%,18.14%,-15.21%,-11.64%,31.91%,102.50%,-98.28%,834.59%
Free Cash Flow Margin,7.14%,7.86%,7.62%,8.33%,6.63%,5.66%,7.07%,14.09%,0.22%,1.96%
Free Cash Flow Per Share,5.36,6.52,6.97,8.37,7.21,6.54,9.06,19.15,0.34,3.58
