,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"7,985","11,011","11,766","10,314","10,758","10,783","12,565","11,685","10,422","10,061","10,077"
Market Cap Growth,69.91%,37.89%,6.86%,-12.35%,4.31%,0.23%,16.52%,-7.00%,-10.81%,-3.46%,-
Enterprise Value,"11,277","14,258","15,137","14,416","14,724","14,677","16,814","14,655","14,866","15,229","15,380"
PE Ratio,15.64,20.19,17.29,14.68,14.30,13.83,15.42,12.38,10.51,14.89,17.02
PS Ratio,1.08,1.34,1.30,1.06,1.03,1.00,1.10,1.01,0.82,0.75,0.72
PB Ratio,2.46,2.95,2.77,2.28,2.16,2.00,2.28,1.85,1.71,1.70,1.66
P/FCF Ratio,15.19,17.08,17.08,12.67,15.59,17.68,15.62,7.17,371.72,38.40,24.48
P/OCF Ratio,9.03,10.63,11.01,7.73,8.62,8.46,8.73,4.95,11.79,10.10,9.06
EV/Sales Ratio,1.53,1.74,1.67,1.48,1.41,1.36,1.48,1.27,1.18,1.14,1.10
EV/EBITDA Ratio,8.61,10.34,9.53,8.72,8.62,9.04,9.85,7.88,7.77,9.56,9.29
EV/EBIT Ratio,11.60,14.21,12.73,11.66,11.67,12.53,13.82,10.86,10.76,15.05,14.18
EV/FCF Ratio,21.45,22.11,21.97,17.71,21.34,24.07,20.90,9.00,530.24,58.12,37.37
Debt / Equity Ratio,1.02,0.88,0.81,0.91,0.81,0.74,0.78,0.66,0.75,0.89,0.89
Debt / EBITDA Ratio,2.53,2.38,2.16,2.50,2.36,2.46,2.53,2.25,2.38,3.31,3.25
Debt / FCF Ratio,6.29,5.09,4.98,5.08,5.85,6.56,5.36,2.58,162.63,20.12,13.08
Quick Ratio,1.07,1.11,1.24,1.12,0.85,1.11,1.04,1.19,0.94,1.11,1.16
Current Ratio,1.35,1.37,1.56,1.28,0.97,1.34,1.23,1.32,1.14,1.33,1.38
Asset Turnover,0.89,0.94,0.98,1.00,0.98,0.97,0.97,0.92,0.98,1.00,1.03
Interest Coverage,6.65,7.51,10.48,9.89,8.69,7.56,7.47,12.70,16.50,7.97,5.51
Return on Equity (ROE),16.80%,15.30%,16.60%,16.00%,15.50%,14.70%,15.00%,16.10%,15.60%,11.50%,11.20%
Return on Assets (ROA),6.10%,6.20%,7.40%,7.20%,7.10%,7.00%,7.00%,7.50%,7.60%,5.10%,4.90%
Return on Capital (ROIC),9.57%,9.83%,10.37%,9.34%,9.56%,9.60%,9.58%,9.81%,9.78%,6.85%,7.36%
Earnings Yield,6.40%,4.95%,5.78%,6.81%,6.99%,7.23%,6.49%,8.08%,9.51%,6.72%,6.71%
FCF Yield,6.58%,5.86%,5.86%,7.89%,6.41%,5.65%,6.40%,13.94%,0.27%,2.60%,4.08%
Dividend Yield,0.20%,0.30%,0.30%,0.40%,0.40%,0.30%,0.40%,0.10%,0.60%,0.60%,0.49%
Payout Ratio,3.80%,5.40%,5.80%,5.50%,5.10%,4.80%,6.60%,1.80%,6.70%,8.70%,8.39%
Buyback Yield / Dilution,-1.69%,-1.19%,-0.15%,2.30%,2.09%,2.67%,5.02%,3.88%,2.21%,11.78%,4.70%
Total Shareholder Return,-1.49%,-0.89%,0.15%,2.70%,2.49%,2.97%,5.42%,3.98%,2.81%,12.38%,5.20%
