,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"8,978","9,522","10,381","13,822","8,933","13,729","14,374","17,140","10,525","15,037","16,078"
Market Cap Growth,10.45%,6.06%,9.02%,33.15%,-35.37%,53.69%,4.70%,19.24%,-38.59%,42.86%,-
Enterprise Value,"10,717","11,213","12,187","15,605","11,360","15,967","15,992","19,345","13,479","17,609","18,650"
PE Ratio,10.49,26.82,21.06,25.93,12.17,14.68,11.74,41.80,12.47,16.56,18.20
PS Ratio,1.28,1.33,1.41,2.30,1.34,2.05,2.00,2.05,1.21,1.89,2.02
PB Ratio,9.72,-70.53,-34.84,-260.79,-80.47,-58.42,73.71,-95.75,-21.93,-119.34,-119.34
P/FCF Ratio,18.32,14.21,17.05,22.96,10.80,19.47,17.11,21.37,17.09,12.85,13.74
P/OCF Ratio,14.91,11.76,13.16,18.40,8.66,16.48,15.08,18.43,12.53,10.64,11.38
EV/Sales Ratio,1.53,1.57,1.66,2.59,1.71,2.38,2.22,2.31,1.55,2.21,2.34
EV/EBITDA Ratio,12.08,11.15,10.58,13.18,8.97,10.77,9.03,18.44,9.73,12.22,12.94
EV/EBIT Ratio,14.88,12.84,11.97,14.76,10.22,12.06,9.77,21.54,10.87,13.63,14.43
EV/FCF Ratio,21.87,16.74,20.01,25.92,13.74,22.65,19.04,24.12,21.88,15.05,15.94
Debt / Equity Ratio,3.71,-25.24,-10.06,-58.21,-26.84,-12.49,15.10,-17.49,-7.10,-25.44,-25.44
Debt / EBITDA Ratio,3.86,3.39,2.60,2.61,2.35,1.98,1.66,2.98,2.46,2.22,2.22
Debt / FCF Ratio,6.99,5.09,4.92,5.12,3.60,4.16,3.50,3.90,5.53,2.74,2.74
Quick Ratio,1.13,1.07,1.44,1.42,0.92,1.09,1.27,1.08,0.85,1.02,1.02
Current Ratio,1.64,1.39,2.01,1.96,1.64,1.75,1.80,1.77,1.56,1.69,1.69
Asset Turnover,0.98,1.16,1.32,1.11,1.20,1.23,1.34,1.51,1.61,1.48,1.48
Interest Coverage,3.20,3.88,4.45,3.79,7.12,8.33,11.37,3.23,11.48,12.19,12.19
Return on Equity (ROE),103.20%,331.80%,-308.60%,-348.90%,-1622.10%,-608.10%,-3308.10%,-344.50%,-152.80%,-482.30%,-482.30%
Return on Assets (ROA),11.90%,5.70%,8.80%,9.80%,13.20%,17.20%,22.80%,7.40%,15.60%,16.90%,16.90%
Return on Capital (ROIC),28.68%,15.30%,25.16%,23.25%,28.86%,32.34%,33.82%,31.47%,33.05%,33.51%,33.51%
Earnings Yield,9.53%,3.73%,4.75%,3.86%,8.22%,6.81%,8.52%,2.39%,8.02%,6.04%,5.65%
FCF Yield,5.46%,7.04%,5.87%,4.36%,9.26%,5.14%,5.84%,4.68%,5.85%,7.78%,7.28%
Dividend Yield,1.30%,1.30%,1.20%,0.90%,1.50%,1.00%,1.00%,1.20%,2.40%,1.70%,1.59%
Payout Ratio,13.80%,35.40%,25.80%,24.10%,18.30%,15.30%,11.80%,51.80%,30.70%,28.30%,28.86%
Buyback Yield / Dilution,0.20%,5.55%,2.43%,4.19%,2.88%,6.36%,8.53%,6.72%,7.60%,0.46%,0.46%
Total Shareholder Return,1.50%,6.85%,3.63%,5.09%,4.38%,7.36%,9.53%,7.92%,10.00%,2.16%,2.04%
