,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"4,264","5,309","6,323","6,145","7,562","7,577","11,572","10,712","11,879","9,247","11,625"
Market Cap Growth,-,24.51%,19.09%,-2.81%,23.05%,0.20%,52.73%,-7.43%,10.90%,-22.16%,-
Enterprise Value,"5,340","6,283","7,646","7,296","8,573","8,731","12,641","11,661","12,924","11,053","13,278"
PE Ratio,132.01,30.30,41.08,26.82,27.67,17.42,28.80,34.08,24.60,20.19,20.95
PS Ratio,2.06,2.51,3.06,2.75,3.14,2.77,4.06,3.94,4.14,2.83,3.22
PB Ratio,-64.51,-1106.06,246.97,54.24,18.83,11.64,15.28,12.92,15.65,9.82,9.43
P/FCF Ratio,17.38,25.91,28.47,18.34,25.38,18.54,27.38,24.17,26.80,23.38,23.71
P/OCF Ratio,19.04,20.75,24.60,16.28,21.78,16.55,23.70,21.85,24.31,20.12,20.27
EV/Sales Ratio,2.58,2.97,3.70,3.26,3.56,3.20,4.43,4.29,4.51,3.38,3.67
EV/EBITDA Ratio,20.26,17.36,24.30,17.20,15.18,14.20,20.59,23.45,19.67,16.07,16.07
EV/EBIT Ratio,24.55,20.06,29.25,20.43,17.21,16.51,23.81,28.01,22.52,18.73,18.59
EV/FCF Ratio,21.76,30.66,34.43,21.77,28.78,21.36,29.91,26.31,29.16,27.95,27.08
Debt / Equity Ratio,-20.33,-263.46,59.50,12.92,3.68,2.22,1.89,1.72,1.90,2.22,1.64
Debt / EBITDA Ratio,5.10,3.49,4.84,3.45,2.62,2.35,2.33,2.87,2.19,3.04,2.44
Debt / FCF Ratio,5.48,6.17,6.86,4.37,4.96,3.54,3.38,3.23,3.25,5.30,4.12
Quick Ratio,1.40,0.98,1.13,1.33,1.66,1.18,1.36,1.54,1.13,0.97,1.24
Current Ratio,1.93,1.88,1.64,1.93,2.24,1.79,1.98,2.20,1.86,1.73,2.03
Asset Turnover,1.04,1.07,0.96,0.98,1.01,1.01,0.99,0.93,0.94,0.90,0.88
Interest Coverage,21.32,5.82,4.94,5.56,4.71,9.79,9.48,8.15,11.43,7.77,7.60
Return on Equity (ROE),5.10%,-507.50%,910.70%,191.70%,92.20%,78.70%,58.70%,42.70%,61.60%,56.30%,51.20%
Return on Assets (ROA),1.60%,8.80%,7.20%,10.00%,11.50%,16.10%,14.00%,10.80%,15.90%,12.60%,13.50%
Return on Capital (ROIC),2.94%,17.49%,17.09%,21.54%,18.26%,22.98%,21.88%,15.37%,22.21%,17.20%,19.57%
Earnings Yield,0.76%,3.30%,2.43%,3.73%,3.61%,5.74%,3.47%,2.93%,4.07%,4.95%,4.79%
FCF Yield,5.76%,3.86%,3.51%,5.45%,3.94%,5.39%,3.65%,4.14%,3.73%,4.28%,4.22%
Dividend Yield,0.00%,0.60%,0.60%,0.70%,0.80%,1.10%,0.90%,1.10%,1.10%,1.60%,1.45%
Payout Ratio,0.00%,17.60%,25.00%,20.10%,22.30%,18.30%,25.20%,37.50%,26.80%,31.50%,30.38%
Buyback Yield / Dilution,Upgrade,-,0.79%,-0.19%,-0.11%,1.01%,-0.01%,2.25%,0.94%,2.55%,2.06%
Total Shareholder Return,-,1.39%,0.41%,0.59%,1.81%,1.09%,3.15%,2.04%,3.65%,3.66%,1.45%
