,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,32.3,175.2,153.9,229.1,273.3,434.9,401.8,314.3,483,458
Depreciation & Amortization,46.1,48.8,53.2,66.9,66.9,86.2,83,81,83.1,97.9
Share-Based Compensation,0.8,8.6,14.6,16.6,16.2,19.6,20.4,20.8,23.4,24.5
Other Operating Activities,144.7,23.3,35.3,64.9,-9.2,-82.9,-17,74.2,-100.9,-120.9
Operating Cash Flow,223.9,255.9,257,377.5,347.2,457.8,488.2,490.3,488.6,459.5
Operating Cash Flow Growth,-16.83%,14.29%,0.43%,46.89%,-8.03%,31.85%,6.64%,0.43%,-0.35%,-5.96%
Capital Expenditures,21.5,-51,-34.9,-42.4,-49.3,-49.1,-65.6,-47.1,-45.4,-64
Acquisitions,0,-24,-511.2,-35.7,-19.6,-376.1,-4.3,-12.5,-6.5,-923.1
Change in Investments,0,0,12.3,14.1,15.6,-14.3,0,0,7.6,0
Other Investing Activities,-40.2,40.2,-,-,3.1,-4.3,-7.7,2.9,12.7,-7
Investing Cash Flow,-18.7,-34.8,-533.8,-64,-50.2,-443.8,-77.6,-56.7,-31.6,-994.1
Dividends Paid,0,-30,-38.3,-46,-60.9,-79.4,-100.6,-117.3,-129,-143.9
Share Issuance / Repurchase,1.3,-36.2,-19,-79.3,-52.8,-64.1,-219.5,-208.8,-412.8,-61
Debt Issued / Paid,"2,649",-161.8,547.6,-129.1,10.7,-72.2,-40,-0.4,22.2,"1,313"
Other Financing Activities,"-2,942.4",78,-295.3,58.4,-47.9,32.3,17.9,4.6,-9.7,-670.9
Financing Cash Flow,-292.4,-150,195,-196,-150.9,-183.4,-342.2,-321.9,-529.3,437
Exchange Rate Effect,-2.9,-8,-9,-4.8,7.7,-6.2,-0.3,10,-10.2,-12.3
Net Cash Flow,-90.1,63.1,-90.8,112.7,153.8,-175.6,68.1,121.7,-82.5,-109.9
Free Cash Flow,245.4,204.9,222.1,335.1,297.9,408.7,422.6,443.2,443.2,395.5
Free Cash Flow Growth,-2.50%,-16.50%,8.39%,50.88%,-11.10%,37.19%,3.40%,4.87%,0%,-10.76%
Free Cash Flow Margin,11.86%,9.67%,10.74%,14.97%,12.37%,14.96%,14.81%,16.29%,15.46%,12.09%
Free Cash Flow Per Share,2.54,2.14,2.32,3.49,3.13,4.30,4.55,4.82,4.94,4.50
