,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"8,634","9,278","10,981","15,847","14,165","19,320","27,118","39,011","32,225","26,302","25,748"
Market Cap Growth,19.90%,7.45%,18.36%,44.31%,-10.61%,36.39%,40.37%,43.86%,-17.40%,-18.38%,-
Enterprise Value,"9,001","9,768","11,717","16,678","15,022","20,403","28,358","40,595","34,144","28,313","27,759"
PE Ratio,25.53,26.30,28.57,42.15,27.63,34.43,44.99,50.73,36.93,33.35,33.08
PS Ratio,3.47,3.87,4.38,5.82,4.83,6.42,8.79,10.49,8.22,6.94,6.80
PB Ratio,12.00,15.98,25.25,28.96,24.01,45.91,95.93,227.58,1299.77,-175.42,-175.42
P/FCF Ratio,26.15,25.90,32.56,39.53,32.91,38.07,42.68,48.47,43.65,30.53,29.89
P/OCF Ratio,20.61,21.10,23.83,30.69,25.07,32.02,37.42,42.93,37.51,27.23,26.66
EV/Sales Ratio,3.62,4.08,4.67,6.12,5.12,6.78,9.19,10.92,8.71,7.47,7.33
EV/EBITDA Ratio,16.91,17.60,19.49,24.41,19.48,25.27,32.00,36.88,27.56,24.15,23.68
EV/EBIT Ratio,19.17,19.90,22.01,27.48,21.89,28.38,36.02,40.90,30.32,26.94,26.41
EV/FCF Ratio,27.26,27.27,34.74,41.60,34.90,40.20,44.64,50.43,46.25,32.87,32.23
Debt / Equity Ratio,0.63,1.02,2.06,1.79,1.75,3.07,4.72,9.81,81.25,-13.88,-13.88
Debt / EBITDA Ratio,0.85,1.06,1.49,1.43,1.34,1.60,1.51,1.53,1.63,1.78,1.78
Debt / FCF Ratio,1.37,1.65,2.65,2.44,2.40,2.54,2.10,2.09,2.73,2.42,2.42
Quick Ratio,0.77,0.91,1.04,0.98,0.97,1.03,0.82,0.65,0.70,0.62,0.62
Current Ratio,1.25,1.43,1.53,1.46,1.42,1.47,1.26,1.11,1.20,1.04,1.04
Asset Turnover,1.18,1.19,1.18,1.15,1.15,1.12,1.11,1.17,1.16,1.13,1.13
Interest Coverage,19.14,17.88,18.99,18.51,19.89,19.21,20.39,22.95,20.33,13.59,13.59
Return on Equity (ROE),39.80%,56.70%,78.00%,76.60%,92.60%,116.60%,162.70%,424.50%,10320.60%,-852.80%,-852.80%
Return on Assets (ROA),16.10%,17.50%,18.10%,15.80%,20.00%,20.90%,21.60%,24.20%,25.90%,23.50%,23.50%
Return on Capital (ROIC),30.46%,31.94%,30.53%,26.03%,32.16%,34.28%,38.51%,43.25%,44.62%,43.92%,43.92%
Earnings Yield,3.92%,3.80%,3.50%,2.37%,3.62%,2.90%,2.22%,1.97%,2.71%,3.00%,3.06%
FCF Yield,3.82%,3.86%,3.07%,2.53%,3.04%,2.63%,2.34%,2.06%,2.29%,3.28%,3.35%
Buyback Yield / Dilution,3.77%,4.40%,4.41%,2.33%,2.32%,3.13%,3.10%,3.06%,3.15%,3.29%,3.29%
Total Shareholder Return,3.77%,4.40%,4.41%,2.33%,2.32%,3.13%,3.10%,3.06%,3.15%,3.29%,3.29%
