,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"7,009","8,207","9,601","9,359","12,053","14,316","13,776","11,639","38,348","26,730","20,726"
Market Cap Growth,29.13%,17.10%,16.98%,-2.53%,28.79%,18.78%,-3.77%,-15.52%,229.48%,-30.29%,-
Enterprise Value,"7,536","8,671","10,487","10,360","13,324","18,220","17,535","15,660","49,703","37,879","31,042"
PE Ratio,19.82,19.80,22.90,23.11,40.77,42.44,30.21,32.06,142.03,-14.29,1159.86
PS Ratio,2.37,2.66,3.18,3.00,3.55,3.60,2.68,2.29,3.29,2.15,1.78
PB Ratio,4.79,5.41,6.04,5.76,7.16,2.37,2.22,1.84,1.82,1.51,1.22
P/FCF Ratio,23.31,21.68,25.91,21.73,43.37,52.57,27.61,21.59,36.25,-264.66,43.00
P/OCF Ratio,17.20,15.83,20.55,17.01,30.84,32.72,19.71,16.30,26.69,67.33,20.66
EV/Sales Ratio,2.55,2.81,3.47,3.32,3.92,4.58,3.41,3.08,4.26,3.04,2.67
EV/EBITDA Ratio,12.25,12.67,15.54,15.25,18.50,24.24,17.29,17.52,27.77,-323.75,18.35
EV/EBIT Ratio,14.17,14.57,17.92,17.96,22.12,31.53,25.38,27.52,78.40,-29.23,55.93
EV/FCF Ratio,25.06,22.91,28.30,24.06,47.94,66.90,35.14,29.05,46.98,-375.04,64.40
Debt / Equity Ratio,0.64,0.62,0.67,0.81,0.97,0.75,0.70,0.74,0.57,0.66,0.65
Debt / EBITDA Ratio,1.52,1.38,1.58,1.95,2.28,6.06,4.32,5.23,6.74,-99.50,6.47
Debt / FCF Ratio,3.10,2.49,2.88,3.08,5.90,16.72,8.78,8.68,11.41,-115.27,22.73
Quick Ratio,1.66,1.87,0.99,0.97,1.34,1.41,0.97,0.83,0.72,0.62,0.67
Current Ratio,2.95,3.30,1.98,1.79,2.47,2.61,1.90,1.61,1.92,1.99,1.74
Asset Turnover,0.90,0.90,0.82,0.76,0.76,0.50,0.39,0.39,0.29,0.33,0.34
Interest Coverage,11.38,12.92,12.70,10.88,9.22,4.36,5.01,4.31,2.19,-3.86,1.26
Return on Equity (ROE),25.40%,26.40%,26.30%,24.50%,17.50%,9.90%,7.40%,6.00%,1.30%,-9.90%,0.10%
Return on Assets (ROA),10.70%,12.10%,11.40%,9.90%,6.60%,4.20%,3.50%,2.80%,0.70%,-5.00%,0.10%
Return on Capital (ROIC),15.70%,18.17%,17.21%,14.49%,9.15%,4.18%,5.17%,4.28%,1.38%,-4.53%,0.30%
Earnings Yield,5.04%,5.05%,4.37%,4.33%,2.45%,2.36%,3.31%,3.12%,0.70%,-7.00%,0.09%
FCF Yield,4.29%,4.61%,3.86%,4.60%,2.31%,1.90%,3.62%,4.63%,2.76%,-0.38%,2.33%
Dividend Yield,1.70%,1.70%,1.70%,2.00%,1.70%,2.10%,2.30%,2.80%,2.10%,3.10%,3.99%
Payout Ratio,33.80%,33.80%,39.70%,47.30%,71.30%,74.50%,73.10%,93.50%,281.10%,-43.70%,4628.57%
Buyback Yield / Dilution,0.06%,0.66%,0.65%,1.12%,0.76%,-11.03%,-28.23%,-0.88%,-113.16%,-4.94%,-0.39%
Total Shareholder Return,1.76%,2.36%,2.35%,3.12%,2.46%,-8.93%,-25.93%,1.92%,-111.06%,-1.84%,3.60%
