,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,"22,074","12,193","20,539","25,489","16,571","39,240","44,281","61,271","72,738","72,361"
Depreciation & Amortization,"5,212","5,957","6,622","8,778","10,261","11,682","12,796","11,686","14,460","13,861"
Share-Based Compensation,"2,446","2,574","2,668","3,266","3,940","4,652","5,289","6,118","7,502","9,611"
Other Operating Activities,"2,770","8,944","3,496","1,974","13,112","-3,389","-1,691","-2,335","-5,665","-8,251"
Operating Cash Flow,"32,502","29,668","33,325","39,507","43,884","52,185","60,675","76,740","89,035","87,582"
Operating Cash Flow Growth,12.73%,-8.72%,12.33%,18.55%,11.08%,18.92%,16.27%,26.48%,16.02%,-1.63%
Capital Expenditures,"-5,485","-5,944","-8,343","-8,129","-11,632","-13,925","-15,441","-20,622","-23,886","-28,107"
Acquisitions,"-5,937","-3,723","-1,393","-25,944",-888,"-2,388","-2,521","-8,909","-22,038","-1,670"
Change in Investments,"-7,324","-12,868","-14,417","-12,511","6,557",540,"6,980","2,876","18,438","10,213"
Other Investing Activities,-87,-466,203,-197,-98,-,"-1,241",-922,"-2,825","-3,116"
Investing Cash Flow,"-18,833","-23,001","-23,950","-46,781","-6,061","-15,773","-12,223","-27,577","-30,311","-22,680"
Dividends Paid,"-8,879","-9,882","-11,006","-11,845","-12,699","-13,811","-15,137","-16,521","-18,135","-19,800"
Share Issuance / Repurchase,"-6,709","-13,809","-15,301","-11,016","-9,719","-18,401","-21,625","-25,692","-30,855","-20,379"
Debt Issued / Paid,"6,962","13,661","18,283","31,459","-10,201","-4,000","-8,935","-5,504","-9,023","-2,750"
Other Financing Activities,-39,362,-369,-190,-971,-675,-334,-769,-863,"-1,006"
Financing Cash Flow,"-8,665","-9,668","-8,393","8,408","-33,590","-36,887","-46,031","-48,486","-58,876","-43,935"
Exchange Rate Effect,-139,-73,-67,19,50,-115,-201,-29,-141,-194
Net Cash Flow,"4,865","-3,074",915,"1,153","4,283",-590,"2,220",648,-293,"20,773"
Free Cash Flow,"27,017","23,724","24,982","31,378","32,252","38,260","45,234","56,118","65,149","59,475"
Free Cash Flow Growth,9.93%,-12.19%,5.30%,25.60%,2.79%,18.63%,18.23%,24.06%,16.09%,-8.71%
Free Cash Flow Margin,31.11%,25.35%,27.41%,32.49%,29.22%,30.40%,31.63%,33.39%,32.86%,28.07%
Free Cash Flow Per Share,3.25,2.90,3.15,4.05,4.19,4.99,5.94,7.44,8.69,7.99
