,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"86,833","93,580","91,154","96,571","110,360","125,843","143,015","168,088","198,270","211,915"
Revenue Growth (YoY),11.54%,7.77%,-2.59%,5.94%,14.28%,14.03%,13.65%,17.53%,17.96%,6.88%
Cost of Revenue,"27,078","33,038","32,780","34,261","38,353","42,910","46,078","52,232","62,650","65,863"
Gross Profit,"59,755","60,542","58,374","62,310","72,007","82,933","96,937","115,856","135,620","146,052"
"Selling, General & Admin","20,488","20,324","19,198","19,942","22,223","23,098","24,709","25,224","27,725","30,334"
Research & Development,"11,381","12,046","11,988","13,037","14,726","16,876","19,269","20,716","24,512","27,195"
Other Operating Expenses,127,"10,011","1,110",306,0,0,0,0,0,0
Operating Expenses,"31,996","42,381","32,296","33,285","36,949","39,974","43,978","45,940","52,237","57,529"
Operating Income,"27,759","18,161","26,078","29,025","35,058","42,959","52,959","69,916","83,383","88,523"
Interest Expense / Income,597,781,"1,243","2,222","2,733","2,686","2,591","2,346","2,063","1,968"
Other Expense / Income,-658,"-1,127",-804,"-3,098","-4,149","-3,415","-2,668","-3,532","-2,396","-2,756"
Pretax Income,"27,820","18,507","25,639","29,901","36,474","43,688","53,036","71,102","83,716","89,311"
Income Tax,"5,746","6,314","5,100","4,412","19,903","4,448","8,755","9,831","10,978","16,950"
Net Income,"22,074","12,193","20,539","25,489","16,571","39,240","44,281","61,271","72,738","72,361"
Net Income Growth,0.97%,-44.76%,68.45%,24.10%,-34.99%,136.80%,12.85%,38.37%,18.72%,-0.52%
Shares Outstanding (Basic),"8,299","8,177","7,925","7,746","7,700","7,673","7,610","7,547","7,496","7,446"
Shares Outstanding (Diluted),"8,399","8,254","8,013","7,832","7,794","7,753","7,683","7,608","7,540","7,472"
Shares Change,-0.84%,-1.73%,-2.92%,-2.26%,-0.49%,-0.53%,-0.90%,-0.98%,-0.89%,-0.90%
EPS (Basic),2.66,1.49,2.59,3.29,2.15,5.11,5.82,8.12,9.70,9.72
EPS (Diluted),2.63,1.48,2.56,3.25,2.13,5.06,5.76,8.05,9.65,9.68
EPS Growth,1.94%,-43.73%,72.97%,26.95%,-34.46%,137.56%,13.83%,39.76%,19.88%,0.31%
Free Cash Flow,"27,017","23,724","24,982","31,378","32,252","38,260","45,234","56,118","65,149","59,475"
Free Cash Flow Per Share,3.25,2.90,3.15,4.05,4.19,4.99,5.94,7.44,8.69,7.99
Dividend Per Share,1.070,1.210,1.390,1.530,1.650,1.800,1.990,2.190,2.420,2.660
Dividend Growth,20.22%,13.08%,14.88%,10.07%,7.84%,9.09%,10.56%,10.05%,10.50%,9.92%
Gross Margin,68.82%,64.70%,64.04%,64.52%,65.25%,65.90%,67.78%,68.93%,68.40%,68.92%
Operating Margin,31.97%,19.41%,28.61%,30.06%,31.77%,34.14%,37.03%,41.59%,42.06%,41.77%
Profit Margin,25.42%,13.03%,22.53%,26.39%,15.02%,31.18%,30.96%,36.45%,36.69%,34.15%
Free Cash Flow Margin,31.11%,25.35%,27.41%,32.49%,29.22%,30.40%,31.63%,33.39%,32.86%,28.07%
Effective Tax Rate,20.65%,34.12%,19.89%,14.76%,54.57%,10.18%,16.51%,13.83%,13.11%,18.98%
EBITDA,"33,629","25,245","33,504","40,901","49,468","58,056","68,423","85,134","100,239","105,140"
EBITDA Margin,38.73%,26.98%,36.76%,42.35%,44.82%,46.13%,47.84%,50.65%,50.56%,49.61%
Depreciation & Amortization,"5,212","5,957","6,622","8,778","10,261","11,682","12,796","11,686","14,460","13,861"
EBIT,"28,417","19,288","26,882","32,123","39,207","46,374","55,627","73,448","85,779","91,279"
EBIT Margin,32.73%,20.61%,29.49%,33.26%,35.53%,36.85%,38.90%,43.70%,43.26%,43.07%
