,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"13,313","16,488","19,765","16,607","14,722","14,009","16,945","18,286","15,908","16,615","13,007"
Market Cap Growth,-8.14%,23.86%,19.87%,-15.98%,-11.35%,-4.84%,20.96%,7.91%,-13.01%,4.45%,-
Enterprise Value,"22,118","24,228","24,422","19,352","18,409","24,450","26,139","27,212","24,804","25,756","22,015"
PE Ratio,43.92,-65.28,-29.19,25.98,18.21,20.65,20.17,14.08,17.91,24.31,13.21
PS Ratio,1.13,1.83,2.28,2.12,1.85,1.47,1.53,1.64,1.38,1.35,1.07
PB Ratio,2.53,3.64,5.32,4.16,4.01,1.90,2.15,2.14,1.81,1.90,1.44
P/FCF Ratio,11.60,13.00,19.43,17.64,20.72,17.62,11.39,18.96,21.70,26.11,11.16
P/OCF Ratio,8.49,10.96,15.70,14.19,15.43,12.45,9.20,12.46,13.51,16.69,8.38
EV/Sales Ratio,1.87,2.68,2.82,2.47,2.32,2.56,2.36,2.43,2.15,2.10,1.81
EV/EBITDA Ratio,18.23,42.29,-433.78,14.26,13.16,15.08,13.63,11.83,12.83,15.31,10.58
EV/EBIT Ratio,25.75,84.04,-72.94,17.76,16.12,18.98,17.10,14.23,15.91,19.63,12.95
EV/FCF Ratio,19.27,19.11,24.00,20.56,25.91,30.76,17.58,28.22,33.83,40.47,18.89
Debt / Equity Ratio,1.70,1.75,1.47,0.75,1.04,1.45,1.24,1.05,1.02,1.06,1.01
Debt / EBITDA Ratio,7.37,13.80,-96.89,2.21,2.73,6.58,5.08,3.91,4.64,5.49,4.36
Debt / FCF Ratio,7.80,6.23,5.36,3.18,5.37,13.43,6.55,9.34,12.25,14.51,7.78
Quick Ratio,0.45,0.27,0.57,0.47,0.30,0.49,0.43,0.26,0.27,0.24,0.27
Current Ratio,1.60,1.08,1.41,1.17,0.83,1.28,0.88,0.82,0.86,0.76,0.91
Asset Turnover,0.59,0.49,0.59,0.70,0.77,0.49,0.50,0.50,0.51,0.55,0.55
Interest Coverage,2.28,0.88,-1.13,5.57,7.19,3.29,3.14,4.55,4.10,3.20,3.94
Return on Equity (ROE),5.60%,-5.00%,-19.10%,15.60%,21.70%,10.50%,10.90%,15.60%,10.20%,7.90%,11.10%
Return on Assets (ROA),1.50%,-1.40%,-4.60%,5.70%,7.80%,3.50%,3.80%,5.80%,3.90%,3.10%,4.40%
Return on Capital (ROIC),5.09%,7.34%,4.41%,9.47%,11.34%,5.08%,6.67%,9.07%,5.99%,4.64%,6.43%
Earnings Yield,2.28%,-1.53%,-3.43%,3.85%,5.49%,4.84%,4.96%,7.10%,5.58%,4.11%,7.57%
FCF Yield,8.62%,7.69%,5.15%,5.67%,4.83%,5.67%,8.78%,5.27%,4.61%,3.83%,8.96%
Dividend Yield,3.20%,2.60%,2.20%,2.30%,2.30%,3.00%,2.40%,2.70%,3.80%,3.80%,5.14%
Payout Ratio,138.90%,-166.70%,-63.70%,60.80%,42.50%,55.60%,49.50%,38.90%,67.60%,92.30%,67.96%
Buyback Yield / Dilution,-1.04%,-1.40%,-2.19%,2.50%,7.52%,-23.48%,-0.24%,1.46%,0.01%,0.62%,0.27%
Total Shareholder Return,2.16%,1.20%,0.01%,4.80%,9.82%,-20.48%,2.16%,4.16%,3.81%,4.42%,5.41%
