,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"5,855","6,495","7,198","6,859","7,866","8,806","8,295","8,934","9,844","10,100","9,863","9,611","9,749","9,695","10,420","10,176","10,314","9,552","10,046","10,822","10,634","12,529","12,650","13,830","13,686","10,766","11,023","9,622","11,317","13,019","14,539","15,727","18,548","18,259","14,659","13,553","12,608","13,516","14,141","11,753","11,868"
Market Cap Growth,-1.57%,7.32%,12.63%,15.42%,34.35%,35.59%,15.24%,30.25%,25.15%,14.70%,18.89%,7.58%,-0.96%,-4.01%,5.65%,5.87%,5.79%,-1.48%,-3.59%,6.35%,3.10%,31.17%,25.92%,27.80%,28.70%,-14.07%,-12.86%,-30.43%,-17.31%,20.92%,31.90%,63.45%,63.90%,40.25%,0.83%,-13.83%,-32.02%,-25.98%,-3.53%,-13.28%,-
Enterprise Value,"9,325","10,084","10,896","10,448","11,394","12,293","11,834","12,422","13,387","13,487","13,302","13,131","13,129","13,210","14,034","13,833","13,964","13,212","13,767","14,605","13,973","16,183","16,584","17,873","18,558","15,826","15,964","14,712","16,465","18,220","20,149","21,413","24,125","23,903","20,339","19,339","18,255","19,252","19,726","17,660","17,775"
PE Ratio,142.49,108.76,85.16,56.27,52.23,42.73,31.55,37.91,29.24,36.97,48.27,44.09,33.73,31.83,35.11,35.58,87.52,55.02,54.59,58.06,53.37,88.28,80.63,83.61,75.67,66.65,60.02,73.36,188.50,224.73,1223.51,286.65,127.23,116.78,97.95,87.16,152.81,135.59,31.99,26.05,26.14
PS Ratio,7.72,8.41,9.15,8.55,9.62,10.49,9.74,10.31,11.00,11.10,10.58,10.07,10.16,10.01,10.65,10.32,10.36,9.50,9.88,10.49,10.16,11.77,11.65,12.40,11.88,8.95,8.97,7.74,9.12,10.66,11.87,12.63,14.37,13.56,10.44,9.24,8.31,8.67,8.87,7.28,7.35
PB Ratio,2.08,2.37,2.68,2.47,2.88,3.13,2.90,3.11,3.40,3.40,3.35,3.29,3.15,3.19,3.60,3.58,3.65,3.32,3.64,4.17,3.66,4.25,4.29,4.26,4.08,3.11,3.25,2.91,3.50,4.34,5.22,5.08,5.39,5.38,3.79,3.43,3.08,3.45,3.43,2.83,2.86
P/FCF Ratio,-57.39,-46.68,-86.08,-38.33,180.27,55.74,38.86,26.31,-1448.49,792.03,-595.43,458.17,98.38,582.97,-20924.21,-468.56,217.29,72.29,64.47,54.08,36.26,-187.37,-37.24,-16.18,-14.41,-15.21,-29.25,94.78,-114.47,7577.75,-57.55,-18.37,-20.05,-20.27,-15.25,-42.65,280.89,262.20,38.46,34.48,34.82
P/OCF Ratio,17.22,18.26,20.35,19.02,19.80,21.44,19.38,21.21,21.46,21.25,21.07,17.93,18.17,17.82,18.96,18.75,19.88,17.99,18.80,20.18,18.97,22.15,21.37,22.64,21.70,17.12,16.67,15.26,18.73,21.97,23.55,24.93,27.94,26.03,20.03,17.30,15.37,16.34,17.00,14.14,14.28
Debt / Equity Ratio,1.25,1.32,1.40,1.31,1.30,1.25,1.25,1.22,1.23,1.15,1.18,1.21,1.10,1.17,1.26,1.29,1.30,1.28,1.36,1.47,1.22,1.25,1.34,1.25,1.46,1.47,1.46,1.54,1.60,1.74,2.03,1.85,1.63,1.67,1.48,1.47,1.39,1.47,1.36,1.43,1.43
Interest Coverage,2.10,1.46,1.88,2.15,2.78,3.55,3.88,1.42,5.97,1.32,1.57,1.85,9.52,1.86,1.31,1.54,2.99,3.74,1.66,1.55,3.15,1.80,2.04,1.67,2.62,1.14,2.54,0.60,1.44,1.05,1.33,1.50,4.23,1.39,1.15,1.60,2.01,1.71,8.73,1.75,3.59
Return on Capital (ROIC),Upgrade,5.02%,5.04%,4.56%,1.97%,2.25%,2.45%,2.48%,2.60%,2.52%,2.46%,2.49%,2.52%,6.00%,6.01%,6.08%,6.08%,3.49%,4.57%,4.76%,4.98%,5.47%,4.28%,4.25%,4.03%,2.58%,2.38%,2.72%,2.40%,2.90%,3.26%,2.54%,2.45%,2.81%,2.63%,2.62%,2.87%,2.53%,2.75%,6.30%,6.23%
