,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash & Equivalents,Upgrade,"2,201","1,393","1,590","2,883","7,575","7,349","4,794","5,197","7,776","9,081"
Short-Term Investments,Upgrade,"3,615","6,202","8,733","10,524","4,066","7,384","11,058","9,149","10,523","10,975"
Cash & Cash Equivalents,Upgrade,"5,816","7,595","10,323","13,407","11,641","14,733","15,852","14,346","18,299","20,056"
Cash Growth,Upgrade,23.38%,30.59%,35.92%,29.88%,-13.17%,26.56%,7.60%,-9.50%,27.55%,9.60%
Receivables,Upgrade,"11,371","12,398","14,577","18,525","20,375","22,962","33,995","36,941","37,227","40,004"
Other Current Assets,Upgrade,378,655,833,713,947,800,"1,148","1,287","1,898","2,509"
Total Current Assets,Upgrade,"17,565","20,648","25,733","32,645","32,963","38,495","50,995","52,574","57,424","62,569"
"Property, Plant & Equipment",Upgrade,922,"1,344","1,482","1,528","1,724","1,693","1,807","1,909","1,730","1,488"
Long-Term Investments,Upgrade,31,"2,348","1,539","1,961",971,"2,863","6,089","6,797","5,018","3,273"
Goodwill and Intangibles,Upgrade,"3,345","4,427","4,270","4,507","7,109","6,990","10,183","12,786","11,997","11,563"
Other Long-Term Assets,Upgrade,54,114,79,133,565,"1,292","1,305","1,737","2,455","3,273"
Total Long-Term Assets,Upgrade,"4,352","8,233","7,370","8,129","10,369","12,838","19,384","23,229","21,200","19,597"
Total Assets,Upgrade,"21,917","28,881","33,103","40,774","43,332","51,333","70,379","75,803","78,624","82,166"
Accounts Payable,Upgrade,"10,727","12,406","15,355","19,999","21,843","24,759","35,670","39,038","40,140","42,074"
Current Debt,Upgrade,"1,093",0,0,"1,000","1,998",0,0,0,0,0
Other Current Liabilities,Upgrade,"1,463","1,211","1,523","1,864","2,063","2,160","2,777","3,991","4,868","6,392"
Total Current Liabilities,Upgrade,"13,283","13,617","16,878","22,863","25,904","26,919","38,447","43,029","45,008","48,466"
Long-Term Debt,Upgrade,0,0,0,0,0,"4,965","8,939","8,049","10,417","9,676"
Other Long-Term Liabilities,Upgrade,386,"1,505","1,513","1,917","2,042","2,520","2,930","2,998","2,925","2,973"
Total Long-Term Liabilities,Upgrade,386,"1,505","1,513","1,917","2,042","7,485","11,869","11,047","13,342","12,649"
Total Liabilities,Upgrade,"13,669","15,122","18,391","24,780","27,946","34,404","50,316","54,076","58,350","61,115"
Total Debt,Upgrade,"1,093",0,0,"1,000","1,998","4,965","8,939","8,049","10,417","9,676"
Debt Growth,Upgrade,-,-,-,-,99.80%,148.50%,80.04%,-9.96%,29.42%,-7.11%
Common Stock,Upgrade,"8,138","13,100","12,584","12,313","9,428","8,716","8,137","5,328","2,248","-1,403"
Retained Earnings,Upgrade,0,668,"2,069","3,823","5,880","8,342","12,366","16,535","18,954","23,200"
Comprehensive Income,Upgrade,110,-9,59,-142,78,-173,-484,-136,-928,-746
Shareholders' Equity,Upgrade,"8,248","13,759","14,712","15,994","15,386","16,885","20,019","21,727","20,274","21,051"
Net Cash / Debt,Upgrade,"4,723","7,595","10,323","12,407","9,643","9,768","6,913","6,297","7,882","10,380"
Net Cash / Debt Growth,Upgrade,0.19%,60.81%,35.92%,20.19%,-22.28%,1.30%,-29.23%,-8.91%,25.17%,31.69%
Net Cash Per Share,Upgrade,3.86,6.18,8.48,10.16,8.02,8.22,5.82,5.31,6.81,9.38
Working Capital,Upgrade,"4,282","7,031","8,855","9,782","7,059","11,576","12,548","9,545","12,416","14,103"
Book Value Per Share,Upgrade,6.77,11.26,12.16,13.29,12.99,14.38,17.07,18.51,17.57,19.09
