,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"27,294","33,924","36,404","37,874","57,774","67,927","76,584","79,856","112,508","122,511","120,447"
Market Cap Growth,47.54%,24.29%,7.31%,4.04%,52.54%,17.57%,12.74%,4.27%,40.89%,8.89%,-
Enterprise Value,"21,413","27,422","31,774","30,878","53,104","64,998","71,047","69,158","102,511","112,333","106,396"
PE Ratio,10.96,13.20,14.22,15.33,15.03,18.11,15.93,17.47,18.43,20.33,20.11
PS Ratio,0.38,0.46,0.46,0.45,0.64,0.74,0.74,0.66,0.81,0.78,0.71
PB Ratio,1.10,1.40,1.58,1.51,2.18,2.38,2.41,2.40,3.12,3.38,3.13
P/FCF Ratio,11.16,12.37,10.09,14.10,17.02,25.94,15.37,8.26,15.46,16.91,14.61
P/OCF Ratio,8.94,10.07,8.64,11.58,13.80,17.75,12.64,7.47,13.45,14.59,12.66
EV/Sales Ratio,0.30,0.37,0.40,0.36,0.59,0.71,0.68,0.57,0.74,0.72,0.63
EV/EBITDA Ratio,4.11,4.70,5.13,4.99,9.49,9.35,9.03,8.46,10.22,10.91,10.02
EV/EBIT Ratio,4.98,5.51,6.01,5.85,11.29,11.17,10.56,9.85,11.74,13.02,12.05
EV/FCF Ratio,8.76,10.00,8.80,11.50,15.65,24.82,14.25,7.15,14.09,15.50,12.90
Debt / Equity Ratio,0.59,0.62,0.69,0.63,0.75,0.67,0.63,0.60,0.64,0.67,0.65
Debt / EBITDA Ratio,2.78,2.58,2.56,2.54,3.56,2.76,2.55,2.45,2.30,2.34,2.34
Debt / FCF Ratio,5.93,5.49,4.40,5.86,5.87,7.34,4.03,2.07,3.16,3.33,3.01
Quick Ratio,1.55,1.52,1.44,1.46,1.42,1.43,1.53,1.42,1.33,1.27,1.29
Current Ratio,1.82,1.70,1.62,1.61,1.55,1.56,1.66,1.55,1.47,1.40,1.41
Asset Turnover,1.19,1.19,1.25,1.32,1.31,1.25,1.36,1.42,1.43,1.54,1.56
Interest Coverage,7.13,8.29,8.09,7.30,6.36,7.73,9.02,8.96,10.94,10.14,8.83
Return on Equity (ROE),10.10%,10.60%,10.90%,10.10%,14.60%,13.20%,15.50%,13.70%,17.40%,16.70%,16.20%
Return on Assets (ROA),4.20%,4.10%,4.00%,3.80%,5.60%,5.10%,6.30%,5.30%,6.30%,5.90%,5.60%
Return on Capital (ROIC),7.87%,7.54%,7.49%,7.01%,10.41%,9.04%,10.44%,9.72%,11.38%,11.07%,10.89%
Earnings Yield,9.12%,7.57%,7.03%,6.52%,6.65%,5.52%,6.28%,5.73%,5.43%,4.92%,5.05%
FCF Yield,8.96%,8.08%,9.91%,7.09%,5.87%,3.86%,6.51%,12.11%,6.47%,5.92%,6.85%
Dividend Yield,1.60%,1.40%,1.80%,1.80%,1.20%,1.10%,1.10%,1.20%,1.00%,1.00%,1.27%
Payout Ratio,18.00%,18.80%,25.70%,27.70%,18.40%,20.60%,17.00%,20.80%,18.10%,20.40%,25.58%
Buyback Yield / Dilution,2.71%,8.62%,3.29%,-0.91%,2.53%,-0.73%,1.96%,1.92%,2.41%,1.60%,1.81%
Total Shareholder Return,4.31%,10.02%,5.09%,0.89%,3.73%,0.37%,3.06%,3.12%,3.41%,2.60%,3.09%
